track,artist,track_clean,artist_clean,final_emotion,reason
luna piena,akiko shikata (志方 あきこ),luna piena,akiko shikata 志方 あきこ,anger,Already processed
madness,adrian belew,madness,adrian belew,anger,Already processed
maze,大森俊之,maze,大森俊之,fear,Already processed
memento mori,the cracow klezmer band,memento mori,the cracow klezmer band,fear,Already processed
messages,maston,messages,maston,fear,Already processed
necropolis,nine inch nails,necropolis,nine inch nails,fear,Already processed
obsession,cabaret voltaire,obsession,cabaret voltaire,fear,Already processed
oh smania! oh furie! ~ d'oreste e d'aiace,シカタ★アキコ,oh smania oh furie doreste e daiace,シカタアキコ,anger,Already processed
ominous,punishment of scaphae,ominous,punishment of scaphae,fear,Already processed
paranoia,harmonic 33,paranoia,harmonic 33,fear,Already processed
paranoid,[unknown],paranoid,unknown,fear,Already processed
parterre,志方あき,parterre,志方あき,anger,Already processed
pet,katie paisant,pet,katie paisant,fear,Already processed
pirates of the caribbean,井元ともこ,pirates of the caribbean,井元ともこ,anger,Already processed
polymorphia,antoni wit,polymorphia,antoni wit,fear,Already processed
premonitions,arbiter,premonitions,arbiter,fear,Already processed
rape your god,xmh,rape your god,xmh,anger,Already processed
riot,flying lotus,riot,flying lotus,anger,Already processed
ruiner,the body,ruiner,the body,anger,Already processed
scary,"kelley deal 6000, the",scary,kelley deal 6000 the,fear,Already processed
seamless,tanya tagaq gillis,seamless,tanya tagaq gillis,fear,Already processed
shelter,midland,shelter,midland,fear,Already processed
six,john most,six,john most,fear,Already processed
sneak,岩崎琢,sneak,岩崎琢,fear,Already processed
some are,philip glass,some are,philip glass,anger,Already processed
stay,astrobrite,stay,astrobrite,fear,Already processed
strip tease,alain goraguer,strip tease,alain goraguer,fear,Already processed
suiren,"pauline oliveros, stuart dempster & panaiotis",suiren,pauline oliveros stuart dempster panaiotis,fear,Already processed
suspiria,claudio simonetti,suspiria,claudio simonetti,fear,Already processed
syncope,x-fusion,syncope,xfusion,fear,Already processed
syndrome,mariel ito,syndrome,mariel ito,anger,Already processed
television,hans zimmer,television,hans zimmer,fear,Already processed
thaleia - タレイア,vagrancy,thaleia タレイア,vagrancy,anger,Already processed
the boss,joseph gershwin & the universal-international orchestra,the boss,joseph gershwin the universalinternational orchestra,anger,Already processed
the lighthouse,hector zazou,the lighthouse,hector zazou,fear,Already processed
the passage,ephel duath,the passage,ephel duath,anger,Already processed
the wheel of fortune - fortuna,井元ともこ,the wheel of fortune fortuna,井元ともこ,anger,Already processed
the wheel of fortune,井元ともこ,the wheel of fortune,井元ともこ,anger,Already processed
trigger happy,counterstrike,trigger happy,counterstrike,anger,Already processed
under control,sporto kantès,under control,sporto kantès,fear,Already processed
wanted,nekromantix,wanted,nekromantix,fear,Already processed
war,aadf,war,aadf,anger,Already processed
work (poker face club mix),ciara feat. missy elliott,work poker face club mix,ciara feat missy elliott,anger,Already processed
恋ヒ数え,música japonesa,恋ヒ数え,música japonesa,anger,Already processed
Mutherfuker,Beck,mutherfuker,beck,anger,Already processed
L.A. Blues,The Stooges,la blues,the stooges,anger,Already processed
Hollowpoint,Anybody Killa,hollowpoint,anybody killa,anger,Already processed
Tension,Orbital,tension,orbital,anger,Already processed
Rattlesnake,Boris,rattlesnake,boris,anger,Already processed
Buckeye,Lamb of God,buckeye,lamb of god,anger,Already processed
孤独に死す、故に孤独。,DIR EN GREY,孤独に死す故に孤独,dir en grey,anger,Already processed
I Love Secret Agents,The Dillinger Escape Plan,i love secret agents,the dillinger escape plan,anger,Already processed
Monticello,The Dillinger Escape Plan,monticello,the dillinger escape plan,anger,Already processed
Andrew,Crystal Antlers,andrew,crystal antlers,anger,Already processed
Cokane in My Brain,Die Toten Hosen,cokane in my brain,die toten hosen,anger,Already processed
Schools Are Prisons,Sex Pistols,schools are prisons,sex pistols,anger,Already processed
Speedball,John Zorn,speedball,john zorn,anger,Already processed
羅刹国,DIR EN GREY,羅刹国,dir en grey,anger,Already processed
Getdafucout,Onyx,getdafucout,onyx,anger,Already processed
Cop Killer,Body Count,cop killer,body count,anger,Already processed
Electronic Battle Weapon 9,The Chemical Brothers,electronic battle weapon 9,the chemical brothers,anger,Already processed
Blitz,Schelmish,blitz,schelmish,anger,Already processed
Damone,Deftones,damone,deftones,anger,Already processed
Statement,Boris,statement,boris,anger,Already processed
Must Attack,Extrawelt,must attack,extrawelt,anger,Already processed
This Love You Breathe,Eyes Set to Kill,this love you breathe,eyes set to kill,anger,Already processed
Super Bitch,Authority Zero,super bitch,authority zero,anger,Already processed
Yuppie Cadillac,Jello Biafra with The Melvins,yuppie cadillac,jello biafra with the melvins,anger,Already processed
AFX 114,Caustic Window,afx 114,caustic window,anger,Already processed
Transylvania Blues,Silver Jews,transylvania blues,silver jews,anger,Already processed
Optimisitic,Radiohead,optimisitic,radiohead,anger,Already processed
Happy Fucking Birthday,Combichrist,happy fucking birthday,combichrist,anger,Already processed
I Want Love (Studio Mix),Mary Elizabeth McGlynn,i want love studio mix,mary elizabeth mcglynn,anger,Already processed
Mondo Anthem,Chrome,mondo anthem,chrome,anger,Already processed
The Monitors,Chrome,the monitors,chrome,anger,Already processed
Bag Lady,Manic Street Preachers,bag lady,manic street preachers,anger,Already processed
Dust,Crystal Antlers,dust,crystal antlers,anger,Already processed
Anne Boleyn,The Pastels,anne boleyn,the pastels,anger,Already processed
Turned Around,Chrome,turned around,chrome,anger,Already processed
Buildings,Honey is Cool,buildings,honey is cool,anger,Already processed
Vexation,Crystal Antlers,vexation,crystal antlers,anger,Already processed
Zero Time,Chrome,zero time,chrome,anger,Already processed
Schwarzwaldklinik,Die Toten Hosen,schwarzwaldklinik,die toten hosen,anger,Already processed
Daremo Inai Ie,ムック,daremo inai ie,ムック,anger,Already processed
Dead on It,Prince,dead on it,prince,anger,Already processed
Dub,Pylon,dub,pylon,anger,Already processed
Tentacles,Crystal Antlers,tentacles,crystal antlers,anger,Already processed
Appendage,Nine Inch Nails,appendage,nine inch nails,anger,Already processed
Knuckle Up,Snowgoons,knuckle up,snowgoons,anger,Already processed
Precaution,Pylon,precaution,pylon,anger,Already processed
The Immortal Ones,Hate Forest,the immortal ones,hate forest,anger,Already processed
Месяц,Агата Кристи,месяц,агата кристи,anger,Already processed
Ruiner,Unter Null,ruiner,unter null,anger,Already processed
The Golden,Shinichi Osawa,the golden,shinichi osawa,anger,Already processed
gentou sanka,ムック,gentou sanka,ムック,anger,Already processed
Not Even Dead,Dimension Zero,not even dead,dimension zero,anger,Already processed
Take It Or Leave It,Arctic Monkeys,take it or leave it,arctic monkeys,anger,Already processed
Arcturus,Crystal Antlers,arcturus,crystal antlers,anger,Already processed
Morituri Salutant,Heimataerde,morituri salutant,heimataerde,anger,Already processed
Boom Blast,Freestylers,boom blast,freestylers,anger,Already processed
Look Away,Sepultura,look away,sepultura,anger,Already processed
Последнее желание,Агата Кристи,последнее желание,агата кристи,anger,Already processed
Hör varningen!,Martyrdöd,hör varningen,martyrdöd,anger,Already processed
Cavern of Mind,Saviours,cavern of mind,saviours,anger,Already processed
Hadrons,Lento,hadrons,lento,anger,Already processed
Finale Vollendung,Straftanz,finale vollendung,straftanz,anger,Already processed
Abel to Cain,D'espairsRay,abel to cain,despairsray,anger,Already processed
The Wolf,Jedi Mind Tricks,the wolf,jedi mind tricks,anger,Already processed
Slip it to the Android,Chrome,slip it to the android,chrome,anger,Already processed
Cobrastyle,Teddy Bears,cobrastyle,teddy bears,anger,Already processed
Take Me to Your Leader,Hanzel und Gretyl,take me to your leader,hanzel und gretyl,anger,Already processed
Violet,Fuck...I'm Dead,violet,fuckim dead,anger,Already processed
All of This for You,Joy Division,all of this for you,joy division,anger,Already processed
Deshumanization,Tamtrum,deshumanization,tamtrum,anger,Already processed
Wardrobe,Einstürzende Neubauten,wardrobe,einstürzende neubauten,anger,Already processed
Magnetic Dwarf Reptile,Chrome,magnetic dwarf reptile,chrome,anger,Already processed
Your Spears,Crystal Antlers,your spears,crystal antlers,anger,Already processed
Puppet,Mankind Is Obsolete,puppet,mankind is obsolete,anger,Already processed
Aftermath,Dioxyde,aftermath,dioxyde,anger,Already processed
Oskillatah,Skream,oskillatah,skream,anger,Already processed
Driving School,Pylon,driving school,pylon,anger,Already processed
Mocking Bird,Eminem,mocking bird,eminem,anger,Already processed
Hot City Nites,Armand van Helden,hot city nites,armand van helden,anger,Already processed
Conquer,Eisenfunk,conquer,eisenfunk,anger,Already processed
In Gefangenschaft,Feindflug,in gefangenschaft,feindflug,anger,Already processed
Where's Bill?,Venetian Snares,wheres bill,venetian snares,anger,Already processed
Meet You In the Subway,Chrome,meet you in the subway,chrome,anger,Already processed
The Vanishing Prairie,Drowning Pool,the vanishing prairie,drowning pool,anger,Already processed
Several Tongues,Crystal Antlers,several tongues,crystal antlers,anger,Already processed
Real World,Snowgoons,real world,snowgoons,anger,Already processed
The sin,Wynardtage,the sin,wynardtage,anger,Already processed
Pharoah Chromium,Chrome,pharoah chromium,chrome,anger,Already processed
dakukuu,ムック,dakukuu,ムック,anger,Already processed
Evil Playground,Front Line Assembly,evil playground,front line assembly,anger,Already processed
Broadcast,Corrupt Souls,broadcast,corrupt souls,anger,Already processed
Virgin Soil,Illnath,virgin soil,illnath,anger,Already processed
Oboro no tsuki,D'espairsRay,oboro no tsuki,despairsray,anger,Already processed
End of Days (Pt. 2),Ministry,end of days pt 2,ministry,anger,Already processed
MAZE,D'espairsRay,maze,despairsray,anger,Already processed
Streets of London,Sex Pistols,streets of london,sex pistols,anger,Already processed
Top Shelf,Outerspace,top shelf,outerspace,anger,Already processed
Ananga-Ranga,Merzbow,anangaranga,merzbow,anger,Already processed
Jenny (feat. Spalding Rockwell),Armand van Helden,jenny feat spalding rockwell,armand van helden,anger,Already processed
last Human,Uberbyte,last human,uberbyte,anger,Already processed
Flight on Broken Wings,Eyes Set to Kill,flight on broken wings,eyes set to kill,anger,Already processed
El Consuelo Final,Amduscia,el consuelo final,amduscia,anger,Already processed
Killing of Kings,Secret Chiefs 3,killing of kings,secret chiefs 3,anger,Already processed
Power Company,Eric Burdon,power company,eric burdon,anger,Already processed
The Hand That Feeds (Dub Mix),Nine Inch Nails,the hand that feeds dub mix,nine inch nails,anger,Already processed
Eisenfunk,Eisenfunk,eisenfunk,eisenfunk,anger,Already processed
Railways,Juzhin,railways,juzhin,anger,Already processed
Pale forest,Wyrd,pale forest,wyrd,anger,Already processed
Tanzflaechenmann,Accessory,tanzflaechenmann,accessory,anger,Already processed
Brainwashing (feat. Virgin Killer),Armand van Helden,brainwashing feat virgin killer,armand van helden,anger,Already processed
Repeat,Acrnym,repeat,acrnym,anger,Already processed
Six Inch Gold Blade,The Birthday Party,six inch gold blade,the birthday party,anger,Already processed
Morituri Te Salutant,C-Drone-Defect,morituri te salutant,cdronedefect,anger,Already processed
Dusted Decks,The Chemical Brothers,dusted decks,the chemical brothers,anger,Already processed
vengeance,Concord Dawn,vengeance,concord dawn,anger,Already processed
Mindkill,Rotten Sound,mindkill,rotten sound,anger,Already processed
Ubermensch,Angerfist,ubermensch,angerfist,anger,Already processed
Nihilistic Elitist,Jr Ewing,nihilistic elitist,jr ewing,anger,Already processed
Obeyer's of their own Death,Xasthur,obeyers of their own death,xasthur,anger,Already processed
Total War,:Wumpscut:,total war,wumpscut,anger,Already processed
My War,Henry Rollins,my war,henry rollins,anger,Already processed
Pimps of Gennesaret,Grand Belial's Key,pimps of gennesaret,grand belials key,anger,Already processed
Tonight the City Burns (ft. Cahir O'Doherty & Johnny Black),And So I Watch You From Afar,tonight the city burns ft cahir odoherty johnny black,and so i watch you from afar,anger,Already processed
Is this the End,Wynardtage,is this the end,wynardtage,anger,Already processed
NY3,Robert Fripp,ny3,robert fripp,anger,Already processed
Rapid Fire,Testament,rapid fire,testament,anger,Already processed
Superloop,I Will Never Be The Same,superloop,i will never be the same,anger,Already processed
Cleaning Out My Closet,Eminem,cleaning out my closet,eminem,anger,Already processed
Dead Wrong,The Notorious B.I.G.,dead wrong,the notorious big,anger,Already processed
Snake Charmer,Rage Against the Machine,snake charmer,rage against the machine,anger,Already processed
Obsession,Gesaffelstein,obsession,gesaffelstein,anger,Already processed
Save Me From Myself,Head,save me from myself,head,anger,Already processed
Arpeggiator,Fugazi,arpeggiator,fugazi,anger,Already processed
Pneumonic,Jakob,pneumonic,jakob,anger,Already processed
Ngised Wen (Main Version),Motograter,ngised wen main version,motograter,anger,Already processed
"Hate, Rain on Me",Andrew Jackson Jihad,hate rain on me,andrew jackson jihad,anger,Already processed
Valhalla,30 Seconds to Mars,valhalla,seconds to mars,anger,Already processed
Vice Campaign,The Black Dahlia Murder,vice campaign,the black dahlia murder,anger,Already processed
Pointless,Dinosaur Jr.,pointless,dinosaur jr,anger,Already processed
We Didn't Come Here to Rock,Andrew Jackson Jihad,we didnt come here to rock,andrew jackson jihad,anger,Already processed
The Archer's Bows Are Broken,Brand New,the archers bows are broken,brand new,anger,Already processed
Single K.O.,Wire,single ko,wire,anger,Already processed
Delivering the Groceries at 138 Beats per Minute,Don Caballero,delivering the groceries at 138 beats per minute,don caballero,anger,Already processed
Mother/Father,Swans,motherfather,swans,anger,Already processed
Let's Go (Nothing for Me),New Order,lets go nothing for me,new order,anger,Already processed
Olde(y) Tyme(y),Andrew Jackson Jihad,oldey tymey,andrew jackson jihad,anger,Already processed
U And Ur Hand,Pink,u and ur hand,pink,anger,Already processed
The LSB,Make Model,the lsb,make model,anger,Already processed
A Heavy Hearted Work of Stagge,Anberlin,a heavy hearted work of stagge,anberlin,anger,Already processed
Song of the Highwire Shrimper,Tim Hecker,song of the highwire shrimper,tim hecker,anger,Already processed
What I've Learned,Lewis Black,what ive learned,lewis black,anger,Already processed
Top 3 Selected,Ghetto,top 3 selected,ghetto,anger,Already processed
Scenesters,Andrew Jackson Jihad,scenesters,andrew jackson jihad,anger,Already processed
My Daughter's First Date,David Cross,my daughters first date,david cross,anger,Already processed
Без нас,Дельфин,без нас,дельфин,anger,Already processed
Netlon Sentinel,Autechre,netlon sentinel,autechre,anger,Already processed
Adagio,Franz Schubert,adagio,franz schubert,anger,Already processed
She's Not Me,Lana Del Rey,shes not me,lana del rey,anger,Already processed
Because Of All The Things You Say,Comeback Kid,because of all the things you say,comeback kid,anger,Already processed
Heaven's Gate,Lewis Black,heavens gate,lewis black,anger,Already processed
Hand of God,Fall Out Boy,hand of god,fall out boy,anger,Already processed
Sailing Through,Neutral Milk Hotel,sailing through,neutral milk hotel,anger,Already processed
Mississippi River,David Banner,mississippi river,david banner,anger,Already processed
Moron Bros,Rancid,moron bros,rancid,anger,Already processed
Calling,Archive,calling,archive,anger,Already processed
God Hates Us All,Slayer,god hates us all,slayer,anger,Already processed
Next To Nothing,Bowery Electric,next to nothing,bowery electric,anger,Already processed
Cold Knees (In April),Don Caballero,cold knees in april,don caballero,anger,Already processed
Breathe (remix),Blu Cantrell,breathe remix,blu cantrell,anger,Already processed
Out of Control,Yo La Tengo,out of control,yo la tengo,anger,Already processed
Seamless  Version (Explicit)),American Head Charge,seamless version explicit,american head charge,anger,Already processed
"P, P, P, Antless",Don Caballero,p p p antless,don caballero,anger,Already processed
SUBG,Kelly,subg,kelly,anger,Already processed
Toucher ce vide béant attise ma fascination,Celeste,toucher ce vide béant attise ma fascination,celeste,anger,Already processed
El Distorto de Melodica [Instrumental],Everclear,el distorto de melodica instrumental,everclear,anger,Already processed
A Violent Reaction  Version (Explicit)),American Head Charge,a violent reaction version explicit,american head charge,anger,Already processed
Down a Stair Backward,Oxbow,down a stair backward,oxbow,anger,Already processed
Rat In A Cage,The Smashing Pumpkins,rat in a cage,the smashing pumpkins,anger,Already processed
The Sad Witch,Hefner,the sad witch,hefner,anger,Already processed
Pressure Torture,Venetian Snares,pressure torture,venetian snares,anger,Already processed
Drunk and Belligerent,Adam Sapphire,drunk and belligerent,adam sapphire,fear,Already processed
Enchanted Thoughtfist,Jello Biafra with The Melvins,enchanted thoughtfist,jello biafra with the melvins,anger,Already processed
Bonus Track 1,dead prez,bonus track 1,dead prez,anger,Already processed
Vietnow (live),Rage Against the Machine,vietnow live,rage against the machine,anger,Already processed
Louie Louie,The Clash,louie louie,the clash,anger,Already processed
Buisness,Eminem,buisness,eminem,anger,Already processed
They Want Us To Make A Symphon,Le Tigre,they want us to make a symphon,le tigre,anger,Already processed
Scarlet Sunrise,Soilent Green,scarlet sunrise,soilent green,anger,Already processed
The Theme,Kimza International,the theme,kimza international,anger,Already processed
Southern Spirit Suite,Soilent Green,southern spirit suite,soilent green,anger,Already processed
Pledge Of Allegiance,Jello Biafra,pledge of allegiance,jello biafra,anger,Already processed
Paper Cut,Soilent Green,paper cut,soilent green,anger,Already processed
fast forward to the gore,Annihilation Time,fast forward to the gore,annihilation time,anger,Already processed
Uuu...,Jyoji,uuu,jyoji,anger,Already processed
Cobalto Azul,Jyoji,cobalto azul,jyoji,anger,Already processed
Night and Day (Drunk),Kimza International,night and day drunk,kimza international,anger,Already processed
Fam (Members Only) ft Rza and,GZA/Genius,fam members only ft rza and,gzagenius,anger,Already processed
Wholly Bun-Bull,Jello Biafra with The Melvins,wholly bunbull,jello biafra with the melvins,anger,Already processed
Oishii? (Taste Good?) Feat. Kana Sakaguchi,Kimza International,oishii taste good feat kana sakaguchi,kimza international,anger,Already processed
Overdrive Generation,Kimza International,overdrive generation,kimza international,anger,Already processed
Jonny Machine Music,PENTAGONIC,jonny machine music,pentagonic,anger,Already processed
Air Mattress,Florian Filsinger,air mattress,florian filsinger,anger,Already processed
Talk on Censorship,Jello Biafra,talk on censorship,jello biafra,anger,Already processed
Lonely One,Kimza International,lonely one,kimza international,anger,Already processed
99 ovosoK,GeorgeShinshu,ovosok,georgeshinshu,anger,Already processed
Aha Bullshit,GeorgeShinshu,aha bullshit,georgeshinshu,anger,Already processed
I'm Infected with AIDS,GG Allin,im infected with aids,gg allin,anger,Already processed
Mind as A Weapon Feat Hellraza,Killah Priest,mind as a weapon feat hellraza,killah priest,anger,Already processed
Miso Shabu Documentary,Kimza International,miso shabu documentary,kimza international,anger,Already processed
Cyalis,Florian Filsinger,cyalis,florian filsinger,anger,Already processed
8 Hour Fake (Prototune),Kimza International,hour fake prototune,kimza international,anger,Already processed
Further Maths,PENTAGONIC,further maths,pentagonic,anger,Already processed
Jonny! Never Go Home,PENTAGONIC,jonny never go home,pentagonic,anger,Already processed
Marinetti,Neo-Rista,marinetti,neorista,anger,Already processed
Prison Break,Irving Joseph,prison break,irving joseph,anger,Already processed
The Dance: The Desert (Part 2),Diamanda Galás,the dance the desert part 2,diamanda galás,anger,Already processed
Sugar On My Tongue,Vinyl Stickons,sugar on my tongue,vinyl stickons,anger,Already processed
How Many Licks (dirty,Lil' Kim,how many licks dirty,lil kim,anger,Already processed
Neo-rista,Neo-Rista,neorista,neorista,anger,Already processed
The Underflesh,Superjoint Ritual,the underflesh,superjoint ritual,anger,Already processed
Alien Axe,Neo-Rista,alien axe,neorista,anger,Already processed
Pick Heads (Intro),Neo-Rista,pick heads intro,neorista,anger,Already processed
You!,Fleshies,you,fleshies,anger,Already processed
YOAKE,Neo-Rista,yoake,neorista,anger,Already processed
Ge Washa,Neo-Rista,ge washa,neorista,anger,Already processed
Indica Trail,Neo-Rista,indica trail,neorista,anger,Already processed
Tracy Dick,Neo-Rista,tracy dick,neorista,anger,Already processed
When The Days Fall,Neo-Rista,when the days fall,neorista,anger,Already processed
White Beat,Neo-Rista,white beat,neorista,anger,Already processed
Fear Is the Door (Version),Neo-Rista,fear is the door version,neorista,anger,Already processed
Melacholy,Neo-Rista,melacholy,neorista,anger,Already processed
Demolition 2,Neo-Rista,demolition 2,neorista,anger,Already processed
Ocean Pollution,Wouter Bruys,ocean pollution,wouter bruys,anger,Already processed
Plecid,Neo-Rista,plecid,neorista,anger,Already processed
Inbetween,Vinyl Stickons,inbetween,vinyl stickons,anger,Already processed
Mountains Of You,Vinyl Stickons,mountains of you,vinyl stickons,anger,Already processed
Demolition 1,Neo-Rista,demolition 1,neorista,anger,Already processed
Paradise Gone,Neo-Rista,paradise gone,neorista,anger,Already processed
When I Dream,Neo-Rista,when i dream,neorista,anger,Already processed
ChinaWhite StarTrek,Neo-Rista,chinawhite startrek,neorista,anger,Already processed
SHINJUKU,Neo-Rista,shinjuku,neorista,anger,Already processed
Mr. TACHIBANA,Neo-Rista,mr tachibana,neorista,anger,Already processed
Cool Like Free Shades,Vinyl Stickons,cool like free shades,vinyl stickons,anger,Already processed
Janus,Neo-Rista,janus,neorista,anger,Already processed
Manifesto,Neo-Rista,manifesto,neorista,anger,Already processed
Closing Jam,Neo-Rista,closing jam,neorista,anger,Already processed
burnt,Neo-Rista,burnt,neorista,anger,Already processed
Disgrace,Neo-Rista,disgrace,neorista,anger,Already processed
Post Armageddon,Neo-Rista,post armageddon,neorista,anger,Already processed
Six,Neo-Rista,six,neorista,anger,Already processed
National Blvd,Neo-Rista,national blvd,neorista,anger,Already processed
Yo Thang Boy,Neo-Rista,yo thang boy,neorista,anger,Already processed
Gun Down,Neo-Rista,gun down,neorista,anger,Already processed
Quantum Fireball,Vinyl Stickons,quantum fireball,vinyl stickons,anger,Already processed
Sarah,Vinyl Stickons,sarah,vinyl stickons,anger,Already processed
Pick Heads (The Story),Neo-Rista,pick heads the story,neorista,anger,Already processed
noitacovnI,Neo-Rista,noitacovni,neorista,anger,Already processed
Burnt Mothership,Neo-Rista,burnt mothership,neorista,anger,Already processed
Chilli Faht Song,Neo-Rista,chilli faht song,neorista,anger,Already processed
Dying For Metaphores,Neo-Rista,dying for metaphores,neorista,anger,Already processed
Sounds Of BS,Neo-Rista,sounds of bs,neorista,anger,Already processed
O COMPLÔ  *A  MAFIA * = suppa g,O COMPLÔ,o complô a mafia suppa g,o complô,anger,Already processed
Bloodfeast,Alaska,bloodfeast,alaska,anger,Already processed
Jose,Vinyl Stickons,jose,vinyl stickons,anger,Already processed
Busting Barriers,Neo-Rista,busting barriers,neorista,anger,Already processed
Desert Song,Vinyl Stickons,desert song,vinyl stickons,anger,Already processed
Sweet Caroline,Alaska,sweet caroline,alaska,anger,Already processed
Pacifique,Neo-Rista,pacifique,neorista,anger,Already processed
Juan,Alaska,juan,alaska,anger,Already processed
Electric Death Song,Alaska,electric death song,alaska,anger,Already processed
Hey Hey Sounds,Vinyl Stickons,hey hey sounds,vinyl stickons,anger,Already processed
Chungi,Alaska,chungi,alaska,anger,Already processed
Three Crosses,Alaska,three crosses,alaska,anger,Already processed
O COMPLÔ  *A  MAFIA * =  a festa da mafia,O COMPLÔ,o complô a mafia a festa da mafia,o complô,anger,Already processed
Noose,Alaska,noose,alaska,anger,Already processed
Sacking Offence,Alaska,sacking offence,alaska,anger,Already processed
Blacklist,Alaska,blacklist,alaska,anger,Already processed
My Idea of fun (live),The Stooges,my idea of fun live,the stooges,anger,Already processed
Dawn Of The Locusts  (Daleh Remix),Jello Biafra with The Melvins,dawn of the locusts daleh remix,jello biafra with the melvins,anger,Already processed
8 Hour Fake (Shuto Lounge Mix),Kimza International,hour fake shuto lounge mix,kimza international,anger,Already processed
Don't Forget Me,Mankind's Remedy,dont forget me,mankinds remedy,anger,Already processed
I Don't Need It,Haymaker,i dont need it,haymaker,anger,Already processed
Born In Chicago,Paul Butterfield Blues Band,born in chicago,paul butterfield blues band,anger,Already processed
Yuma Idhiri,Kimza International,yuma idhiri,kimza international,anger,Already processed
motherOfPearl,Nellie McKay,motherofpearl,nellie mckay,anger,Already processed
Funhouse,The Stooges,funhouse,the stooges,anger,Already processed
Freak Out Requiem,Amon Düül II,freak out requiem,amon düül ii,anger,Already processed
Unison Mews,Vinyl Stickons,unison mews,vinyl stickons,anger,Already processed
House of Rock,Tatanka Iyotake,house of rock,tatanka iyotake,anger,Already processed
Electric Death Song (Demo),Vinyl Stickons,electric death song demo,vinyl stickons,anger,Already processed
Sarah (Demo),Vinyl Stickons,sarah demo,vinyl stickons,anger,Already processed
Pretty Smiles And Shattered Teeth,Soilent Green,pretty smiles and shattered teeth,soilent green,anger,Already processed
If You Wanna Do The People A Favour,The Perishers,if you wanna do the people a favour,the perishers,anger,Already processed
When The President Talks To Go,Bright Eyes,when the president talks to go,bright eyes,anger,Already processed
Enchanted Thoughtfist  (Enchanted Al Remix),Jello Biafra with The Melvins,enchanted thoughtfist enchanted al remix,jello biafra with the melvins,anger,Already processed
Caped Crusader  (Subway Gas-Hello Kitty Mix),Jello Biafra with The Melvins,caped crusader subway gashello kitty mix,jello biafra with the melvins,anger,Already processed
Forgive and Regret,Soilent Green,forgive and regret,soilent green,anger,Already processed
Liquor And Cigarettes,Soilent Green,liquor and cigarettes,soilent green,anger,Already processed
Those Dumb Punk Kids  (Will Buy Anything),Jello Biafra with The Melvins,those dumb punk kids will buy anything,jello biafra with the melvins,anger,Already processed
うみねこのなく頃に,志方あきこ,うみねこのなく頃に,志方あきこ,anger,Already processed
Let's Leave,Allison Weiss,lets leave,allison weiss,anger,Already processed
花帰葬,志方あきこ,花帰葬,志方あきこ,anger,Already processed
EXEC_CHRONICLE_KEY/.,志方あきこ,exec_chronicle_key,志方あきこ,anger,Already processed
大地の鼓動,志方あきこ,大地の鼓動,志方あきこ,anger,Already processed
