track,artist,track_clean,artist_clean,final_emotion,lyrics
paranoid,[unknown],paranoid,unknown,fear,"(mom, it's gecko season!)
(Yeah)

Yea-yeah I'm paranoid, all these thoughts gettin' to me (it's like I feel like a gecko!) (Gettin' to me)
I'm off 'codone right now, can't feel a thing
She wonder why I pour up with styrofoam, I got lean (I got lean)
Yeah, I got lean
And she wonder why I pour up, cannot feel a thing (Feel a thing)
And I'm tryna take these pills to numb my pain (Numb my pain)
I got all this past shit that happened in my brain (In my brain)

She said it's my fault when it really ain't
She expect me to just walk off, I cannot just change
You know I won't switch up yuh, baby I ain't strange
I've been tryna get my cash up, yeah I cannot think

I find it hard to think
When I'm paranoid, I feel like I shrink (Yеah-yeah)
I'm too scared to make this a thing
I'm too scarеd to give it a ring
(Yeah-yeah, yeah-yeah)
Girl I know-ow
I don't wanna hurt you no mo-o
I rode a thousand miles for you, girl
I'd even go to mars, go around the world
Around the world, around the world
Paranoid, to be on my own
Paranoid, without my phone
Paranoid, away from home
Paranoid, without my song
Paranoid, when I ain't involved
Paranoid, when she don't call yeah (Woah-oh)
(it's like I feel like a gecko!)

Yea-yeah I'm paranoid, all these thoughts gettin' to me (Gettin' to me)
I'm off 'codone right now, can't feel a thing
She wonder why I pour up with styrofoam, I got lean (I got lean)
Yeah, I got lean
And she wonder why I pour up, cannot feel a thing (Feel a thing)
And I'm tryna take these pills to numb my pain (Numb my pain)
I got all this past shit that happened in my brain (In my brain)

(where do you come from, yvkie)"
ruiner,the body,ruiner,the body,anger,"There is pain
There is guilt
Every moment remorse
Oh, Elohim
Oh, gods of science
Oh, scholars of divinity
I will ruin this
I swear I will ruin this"
scary,"kelley deal 6000, the",scary,kelley deal 6000 the,fear,"Not long for this world are you jumpy are you bored
Call me
Don't understand how to be a better man
Call me
Oopps uh oh
Oopps uh oh scary, scary
Oops uh oh
Want to withdraw read the writing on the wall
Call me
Can't find the words can not listen can't be heard
Call me
Oopps uh oh
Oopps uh oh scary, scary
Oops uh oh
When the weight of the world is your forever more
Call me
Burn candle wax while your whole world burns black
Call me
Oopps uh oh
Oopps uh oh scary, scary
Oops uh oh
Oopps uh oh scary, scary
Oops uh oh"
shelter,midland,shelter,midland,fear,"(NiF, pull up)

Er macht auf Shooter, doch er hat niemals 'ne Waffe geseh'n (Niemals)
Push' mit Takt und System (Ah)
Baby, V8, lass die Nacht übernehm'n (Mh)
Gang steht stramm so wie Sadio Mané
Er macht auf Shooter, doch er hat niemals 'ne Waffe geseh'n (Niemals)
Push' mit Takt und System (Ah)
Baby, V8, lass die Nacht übernehm'n (Mh)
Zu viel Straße, muss den Hass widersteh'n

Er macht auf Shooter, hatte niemals eine Waffe in der Hand
Und dein Bruder will kein'n Beef, sondern Waffenstillstand
Schick' ihm Plattenversand, nicht mit Ratten verwandt
Nach ein' ganzen KG abpacken ist mein Nacken verspannt
Ta-Tabanca lang, Trap-Phone, abgeklebte Handycam
Fass' das nicht an, trag' ich keine Latex-Eldiven (Niemals)
Merdiven muss ich runtergeh'n, weil meine Kunnis warten
Mama ist kein Freund davon, sagt lieber, ich soll Uni starten
Frag' mein'n Ortak: „Wie lang lohnt sich das noch?“
Keine Schrecki an Silvester, schieß' Patron'n aus der Glock
Bunker' bei Chaya, sie ist hohl in ihr' Kopf
Sechs-Milli-, Neun-Milli-Muni, Hohlspitzgeschoss

Er macht auf Shooter, doch er hat niemals 'ne Waffe geseh'n
Push' mit Takt und System
Baby, V8, lass die Nacht übernehm'n
Gang steht stramm so wie Sadio Mané
Er macht auf Shooter, doch er hat niemals 'ne Waffe geseh'n
Push' mit Takt und System
Baby, V8, lass die Nacht übernehm'n
Zu viel Straße, muss den Hass widersteh'n

Er macht auf Shooter, am Ende geht er blasen
Er war noch nie in U-Haft und war auch niemals straße
Er rappt von Luger, er fühlt sich wie der Pate
Ich kiff' mein Nouga, er pudert sich die Nase
Ein Bruder von ganz unten dreht im Benz seine Runden
Vertickt Flex an die Kunden, kifft Static und paar Unzen
Shooter in Trackies schießen dir den Schädel auf
Ich schick' sie los wie ein'n Lebenslauf
So hat die Straße mir das beigebracht
Mein Eisen, was dir Beine macht
In Hamburg eine Eigenschaft
Ich trag' sogar Ballermann in Einzelhaft

Er macht auf Shooter, doch er hat niemals 'ne Waffe geseh'n (Niemals)
Push' mit Takt und System (Ah)
Baby, V8, lass die Nacht übernehm'n (Mh)
Gang steht stramm so wie Sadio Mané
Er macht auf Shooter, doch er hat niemals 'ne Waffe geseh'n (Niemals)
Push' mit Takt und System (Ah)
Baby, V8, lass die Nacht übernehm'n (Mh)
Zu viel Straße, muss den Hass widersteh'n"
six,john most,six,john most,fear,"Monsieur Firmin

Monsieur André

Dear André, what a splendid party!

The prologue to a bright new year!

Quite a night, I'm impressed

Well, one does one's best!

Here's to us

I must say all the same, that it's a shame that Phantom fellow isn't here!"
the passage,ephel duath,the passage,ephel duath,anger,"I've a thousand ways to ruin all
But I'm walking to poor choices
A negative pulse will be searching for me
Immobilised in the cerebral cell
I'm observing my steps... In vain...
Are you coming to poison my remarks?
This grating
Offers
Protective trees and feeble barriers
But is too distant
The innocence's round dance
My various eyes are melting
'cause the past is kidding me with the same
Consoling mask
(But) I'm coming to The Passage
The exit from this opaque, filthy case.....
Come to listen.... It's so refined the whisper of my rise
(I'm) coming to the passage!"
wanted,nekromantix,wanted,nekromantix,fear,"Well, I was riding with my brother on the prairie late one night
I realized it was a full moon and I felt this ancient rage inside
I jumped off my horse and as I killed it, I heard myself growl
When I ate up my brother, the wolves up in the hills, they began to howl
Now I'm wanted dead or alive, nowhere to run to, nowhere to hide
Now I'm wanted dead or alive
Now I'm wanted dead or alive, nowhere to run to, nowhere to hide
Now I'm wanted dead or alive
Well, I went into the nearest town and I paid a visit to the local morgue
The sheriff, he ran after me but I blew his brains out just like a dog
Now I'm running, I'm being hunted down in every state
I'm so sorry for those nasty things I did but now it's too late
Now I'm wanted dead or alive, nowhere to run to, nowhere to hide
Now I'm wanted dead or alive
Now I'm wanted dead or alive, nowhere to run to, nowhere to hide
Now I'm wanted dead or alive
Now I'm wanted dead or alive, nowhere to run to, nowhere to hide
Now I'm wanted dead or alive
Now I'm wanted dead or alive, nowhere to run to, nowhere to hide
Now I'm wanted dead or alive"
war,aadf,war,aadf,anger,"I'm a God not a devil
You in the fog and you revel
I'm the order
You staying disheveled
I live by the truth and they call me a rebel
Defying dishonnor
I'm dying for honor
I'm shinning my armor
The timings upon us
I Dali the lama
Lao tzu
I'm about truth
The taller the tree
The deeper the root
When you think it's over
They hit you with more
They let you feel calm
Then it hits you a storm
Praying for peace but
I'm ready for war
Armor of faith &
I'm strapped to my core
They living in sin
& under a spell
If they won't let me live
Then I'm giving them hell
Cary the weight of my team
Building the dream
I'm giving them wisdom
That They never head
Building a garden but I am a warrior
I'm never starving I fight for euphoria
Bringing the harmony restoring the order
We blowing up cus I'm building a morter
Stand out from the pack
Weird is my normal
You hating me but I'm doing this for you
Black sheep & I'm building a portal
I sip from the chalice and now I'm immortal"
Mutherfuker,Beck,mutherfuker,beck,anger,"Yo, homey, don't play like that
You with your weak-ass shit

Hey mister asshole, what's your dirty hassle?
Sitting in your castle judging everyone
You're acting like it's chill when the deal's getting ill
Why don't you break your face on my head?

Everyone's out to get you, motherfucker
Everyone's out to get you, motherfucker
Everyone's out to get you, motherfucker
Everyone's out to get you, motherfucker

Total paranoia, trying to annoy you
Everything I do is to try and fuck you up
Screwdrivers drilling and I was such a spasm
Dropped yourself on the situation, dude

Everyone's out to get you, motherfucker
Everyone's out to get you, motherfucker
Everyone's out to get you, motherfucker
Everyone's out to get you, motherfucker

Everyone's out to get you, motherfucker
Everyone's out to get you, motherfucker
Everyone's out to get you, motherfucker
Everyone's out to get you, motherfucker"
L.A. Blues,The Stooges,la blues,the stooges,anger,(Random unintelligible screaming)
Hollowpoint,Anybody Killa,hollowpoint,anybody killa,anger,"Two seperate worlds, opposites
Yet alike in so many many ways
Both of these worlds are engaged in an eternal war with each other
The war of good versus evil, which is which, you decide
Only one thing will outlast both armies, only one thing will survive in the end
And that special magical little item is that of which we call....The hollow tip bullet

Sit back and let me take you into the mind of a killa (Yup!)
Dark Carnival psychopathic wig splitter (Anybody!)
Move and change it's time to rearrange
So love a dinosaur that you can't tame
I bring pain, what you think I'm playin' a game?
Detroit is my home, Eastside's what I claim
Fuck a baller, I represent the 313
With tech nines and green tree it's a luxury
That's how it is and I ain't changin' for shit
Walk the earth mean muggin', waitin' for someone to trip
I'm sick and tired of fuckin' waitin' for you wanna be thugs to quit
That's why I keep it underground and drop the killa shit
For Juggalos that keep it real non-stop
Keep away from Juggahos until I load up my Glock
'Cause in Detroit we got motherfuckin' problems
And all the gun play that you hear is my homies tryin to solve them

You can't tell me anything
Hollowpoints control the game
I can tell ya once they're triggered
Things will never be the same (Anybody Killa)
You can't tell me anything
Hollowpoints control the game
I can tell ya once they're triggered
Things will never be the same

I got a brand new tech that I'm dyin' to use
Play games with this killa and you destined to lose (Yup!)
Mental stress, keepin' me alive (Me alive)
Sniffin' lines of gunpowder to start off the night
Curbside gangbanger with some mark ass bitches
Gun smoke from bullet holes leaves you dead in the ditches
I'm just an average individual, street slangin' convict
Pocket full of bullets ready to use 'em up quick
You ask my name (ABK), you know the game ain't changed
Labeled as a killa bustin' caps all the same
As any other mother fucker with a piece and little bit of attitude
Runnin through the streets actin rude
So hate if you want to, but I'mma keep my focus
And continue with the magic that I practice with the lotus (Lotus, yup!)
Psychopathic and I'm down for life
And anyone who disagree let these hollowpoints change your mind

You can't tell me anything
Hollowpoints control the game
I can tell ya once they're triggered
Things will never be the same (Anybody Killa)
You can't tell me anything
Hollowpoints control the game (Anybody Killa)
I can tell ya once they're triggered
Things will never be the same (Anybody Killa)

I feel the urge to murder, there's no need to cure me
Civilized under the light, at night I'm filled with fury
Is it true that the people who you hang with rub off?
Is that why me and Violent J love cutting bitches heads off?
Imagine every time you woke up, you was gettin choked up
And had to grab a shank and slit a throat up
The type of shit that most people call unreal
But it's the thing that makes you feel the way to deal is just to kill
Crazy ballistic cause my head is untrained
With the empty fuckin wallet, so there's so much to gain
If I appeal to you do you think I keep it real with you?
Turn your back and let my hollowpoints drill in you?
What type of person do you think that I am?
Because we had a conversation and afterwards we shook hands (How you doin', what's up?)
Don't get it in your head that I would never hurt you (Bitch!)
'Cause the ones that gettin shot are the ones that deserve to

You can't tell me anything
Hollowpoints control the game (Anybody Killa)
I can tell ya once they're triggered
Things will never be the same (Anybody Killa)
You can't tell me anything
Hollowpoints control the game (Anybody Killa)
I can tell ya once they're triggered
Things will never be the same (Anybody Killa)

Yeah, yeah, Anybody Killa
Anybody Killa, yeah yeah
Anybody Killa, yeah
Anybody Killa, Killa...
Okay, let's get down to it, boppers. We're gonna have to do better out there. Our friends just made it past one of the minor league teams. Remember boppers, be lookin' good!"
Buckeye,Lamb of God,buckeye,lamb of god,anger,"Turn on all the lights and punch them out
All four burners going, pile it on fire
Metal sparks in the nuclear box
Fist through a window pane
And our broken coffee cups litter the kitchen floor
Smoke rolling across the ceiling
Suck down the bride's champagne
And swallow a few more sleepy ones
Pass the bottle to none and swing from the gate
Speak in the name of suffering as loud as it gets
Knuckled holes in everything spittle
And love fling into a crying eye that runs away
A dead dog in the street nothing brings a slain king back
You'll never know the bittersweet smell
Of leaving this world of your own volition, so jacked up"
孤独に死す、故に孤独。,DIR EN GREY,孤独に死す故に孤独,dir en grey,anger,"押さえつけられ生きてきました 「忘れたい」よりも消えたいから
解ったふりの君達を視て 笑い返す
目の前の君達は笑いながら生きている
明日は良い事あるからって言うけど
軽々しく答える君達とは始めからドコかココが違う
Ash to ash, ash to ash
Ash to ash, ash to ash
Ash to ash, ash to ash
傘を差した 廃棄物さ 夢をちょうだい
Ash to ash, ash to ash
Ash to ash, ash to ash
Ash to ash, ash to ash
傘で隠し なれた俺に 君もちょうだい
聞こえているかい?
傷付く事がいつの間にやら当たり前の事の様にほら
また傷つけた君達を視て 笑い返す
違うと願うのは後ろ向きの 唯一の救いであり
違うと願うのは後ろ向きの 唯一の救いであり
違うと願うのは後ろ向きの 唯一の救いであり
違うと願うのは後ろ向きの 唯一の救いであり
Ash to ash, ash to ash
Ash to ash, ash to ash
Ash to ash, ash to ash
傘を差した 廃棄物さ 夢をちょうだい
Ash to ash, ash to ash
Ash to ash, ash to ash
Ash to ash, ash to ash
傘で隠し なれた俺に 君もちょうだい"
I Love Secret Agents,The Dillinger Escape Plan,i love secret agents,the dillinger escape plan,anger,"I'm paranoid
Watching over you
Are you looking this way
Talking this way
So paranoid
I hide from you
So just stop breathing
Delude
Veracity
Life has no meaning
When it's not justified
So paranoid
Breath
Belong
Comply"
Monticello,The Dillinger Escape Plan,monticello,the dillinger escape plan,anger,"Watered down
Letters of hate
Creep in on me
I've watched that water
Drip into mud
As charred fingers stab
At my eyes
No regrets can touch this soul
Cause i'm a devil
In a three-piece suit
That good old green
Paint on paper
Prostitute
For now four walls closing
Stabbing at my fate
Soon dirt starts staring
Down that barrel
Turning water into wine
It never seemed so sweet
Turning faith into blind
It never was so easy"
Andrew,Crystal Antlers,andrew,crystal antlers,anger,"Si no es el momento dime cuando lo será
Si las voces cantan dime quién las va a callar
Y si la noche espanta quién la va a desafiar
Lágrimas corriendo en tu carita de cristal
El humo de lo que fue revienta en tus pupilas
Coloreando un paisaje perfecto de luces y fantasías
Si tienes preguntas quién las va a contestar
No tengo respuestas pero te puedo abrazar
Si pierdes el camino entre la eterna oscuridad
Yo seré una luz seré una posibilidad
Lo que fuiste y puedes ser en una melodía
Dibujando las frases más lindas, acercarte a la mía"
Cokane in My Brain,Die Toten Hosen,cokane in my brain,die toten hosen,anger,"Ey, Jim! Jim!

I want you to spell for me something
I want you to spell ""New York""
N-E-W
Y-O-R-K - That's New York
No man, I'm sorry
You've made a mistake
I'm gonna teach you the right way
And the proper way to spell ""New York""
Here it comes

A knife, a fork, a bottle and a cork
And that's the way we spell ""New York""
Yeah!

Cause I've got cocaine runnin' around my brain
Cocaine runnin' around my brain
Yeah, I got cocaine
Whole lot of cocaine

Whenever I walk in the rain
I can feel a burnin' pain
Keep's a burning like a flame
Burning in my bloody brain
You know I'm always on the run
'cause one day I wanna meet the 7th son
Yeah!

I've got cocaine runnin' around my brain
Cocaine runnin' around my brain
Cocaine
Whole lot of cocaine

No matter how I treat my guests
They always like my kitchen best
Like a burnin' flame
In my bloody brain
I got a burnin' flame
In my brain
Ride on
Yeah, ride on

Yeah (yeah)
Ride on (ride on)
Yeah (yeah)
Ride on (ride on)
Yeah (yeah)
Ride on (ride on)
Yeah (yeah)
Ride on (ride on)

I got cocaine runnin' around my brain
Yeah, I got cocaine runnin' around my brain
Whole lot of cocaine runnin' around my brain
Yeah, I got cocaine runnin' around my brain

Running 'round my brain
Running 'round my brain
Running 'round my brain
Screwing up my brain
Mixing up my brain
Fucking up my brain

Cocaine
Runnin' around my brain
Runnin' around my brain
Runnin' around my brain
Runnin' around my"
Schools Are Prisons,Sex Pistols,schools are prisons,sex pistols,anger,"They took the best years of my life
And made it so I couldn’t decide
I don't turn this want
To make beautiful word that goes on and on
And on and on
Those 13 years in prison
Didn’t teach me how to love

They say they have their reasons
All coming from above
You can forget the seasons inside your factory
There's one thing they can't teach you is how to feel free
And stand alone in a beautiful world
We have to respond
Schools are prisons
Forget the seasons
Schools are prisons
Schools are one of the reasons for this waste of the spring
And where to begin
Outside or within

It took the best years of my life
And made it so I couldn’t decide
Statistic as in prisons
Statistic as in life


Schools are prisons
Forget the seasons
Schools are prisons
One of the reasons
Schools are prisons
Forget the seasons
Schools are prisons
One of the reasons for this waste of the spring"
