track,artist,track_clean,artist_clean,final_emotion,reason
The LSB,Make Model,the lsb,make model,anger,LYRICS_NOT_FOUND
A Heavy Hearted Work of Stagge,Anberlin,a heavy hearted work of stagge,anberlin,anger,LYRICS_NOT_FOUND
Song of the Highwire Shrimper,Tim Hecker,song of the highwire shrimper,tim hecker,anger,LYRICS_NOT_FOUND
What I've Learned,Lewis Black,what ive learned,lewis black,anger,LYRICS_NOT_FOUND
My Daughter's First Date,David Cross,my daughters first date,david cross,anger,LYRICS_NOT_FOUND
Netlon Sentinel,Autechre,netlon sentinel,autechre,anger,LYRICS_NOT_FOUND
Adagio,Franz Schubert,adagio,franz schubert,anger,LYRICS_NOT_FOUND
Because Of All The Things You Say,Comeback Kid,because of all the things you say,comeback kid,anger,LYRICS_NOT_FOUND
Mississippi River,David Banner,mississippi river,david banner,anger,LYRICS_NOT_FOUND
God Hates Us All,Slayer,god hates us all,slayer,anger,LYRICS_NOT_FOUND
Cold Knees (In April),Don Caballero,cold knees in april,don caballero,anger,LYRICS_NOT_FOUND
Breathe (remix),Blu Cantrell,breathe remix,blu cantrell,anger,LYRICS_NOT_FOUND
Seamless  Version (Explicit)),American Head Charge,seamless version explicit,american head charge,anger,LYRICS_NOT_FOUND
"P, P, P, Antless",Don Caballero,p p p antless,don caballero,anger,LYRICS_NOT_FOUND
El Distorto de Melodica [Instrumental],Everclear,el distorto de melodica instrumental,everclear,anger,LYRICS_NOT_FOUND
A Violent Reaction  Version (Explicit)),American Head Charge,a violent reaction version explicit,american head charge,anger,LYRICS_NOT_FOUND
Rat In A Cage,The Smashing Pumpkins,rat in a cage,the smashing pumpkins,anger,LYRICS_NOT_FOUND
Drunk and Belligerent,Adam Sapphire,drunk and belligerent,adam sapphire,fear,LYRICS_NOT_FOUND
Enchanted Thoughtfist,Jello Biafra with The Melvins,enchanted thoughtfist,jello biafra with the melvins,anger,LYRICS_NOT_FOUND
Bonus Track 1,dead prez,bonus track 1,dead prez,anger,LYRICS_NOT_FOUND
Vietnow (live),Rage Against the Machine,vietnow live,rage against the machine,anger,LYRICS_NOT_FOUND
Scarlet Sunrise,Soilent Green,scarlet sunrise,soilent green,anger,LYRICS_NOT_FOUND
The Theme,Kimza International,the theme,kimza international,anger,LYRICS_NOT_FOUND
Southern Spirit Suite,Soilent Green,southern spirit suite,soilent green,anger,LYRICS_NOT_FOUND
Paper Cut,Soilent Green,paper cut,soilent green,anger,LYRICS_NOT_FOUND
fast forward to the gore,Annihilation Time,fast forward to the gore,annihilation time,anger,LYRICS_NOT_FOUND
Uuu...,Jyoji,uuu,jyoji,anger,LYRICS_NOT_FOUND
Cobalto Azul,Jyoji,cobalto azul,jyoji,anger,LYRICS_NOT_FOUND
Night and Day (Drunk),Kimza International,night and day drunk,kimza international,anger,LYRICS_NOT_FOUND
Wholly Bun-Bull,Jello Biafra with The Melvins,wholly bunbull,jello biafra with the melvins,anger,LYRICS_NOT_FOUND
Oishii? (Taste Good?) Feat. Kana Sakaguchi,Kimza International,oishii taste good feat kana sakaguchi,kimza international,anger,LYRICS_NOT_FOUND
Overdrive Generation,Kimza International,overdrive generation,kimza international,anger,LYRICS_NOT_FOUND
Jonny Machine Music,PENTAGONIC,jonny machine music,pentagonic,anger,LYRICS_NOT_FOUND
Air Mattress,Florian Filsinger,air mattress,florian filsinger,anger,LYRICS_NOT_FOUND
Talk on Censorship,Jello Biafra,talk on censorship,jello biafra,anger,LYRICS_NOT_FOUND
Lonely One,Kimza International,lonely one,kimza international,anger,LYRICS_NOT_FOUND
99 ovosoK,GeorgeShinshu,ovosok,georgeshinshu,anger,LYRICS_NOT_FOUND
Aha Bullshit,GeorgeShinshu,aha bullshit,georgeshinshu,anger,LYRICS_NOT_FOUND
I'm Infected with AIDS,GG Allin,im infected with aids,gg allin,anger,LYRICS_NOT_FOUND
Mind as A Weapon Feat Hellraza,Killah Priest,mind as a weapon feat hellraza,killah priest,anger,LYRICS_NOT_FOUND
Miso Shabu Documentary,Kimza International,miso shabu documentary,kimza international,anger,LYRICS_NOT_FOUND
Cyalis,Florian Filsinger,cyalis,florian filsinger,anger,LYRICS_NOT_FOUND
8 Hour Fake (Prototune),Kimza International,hour fake prototune,kimza international,anger,LYRICS_NOT_FOUND
Further Maths,PENTAGONIC,further maths,pentagonic,anger,LYRICS_NOT_FOUND
Jonny! Never Go Home,PENTAGONIC,jonny never go home,pentagonic,anger,LYRICS_NOT_FOUND
Marinetti,Neo-Rista,marinetti,neorista,anger,LYRICS_NOT_FOUND
Prison Break,Irving Joseph,prison break,irving joseph,anger,LYRICS_NOT_FOUND
The Dance: The Desert (Part 2),Diamanda Galás,the dance the desert part 2,diamanda galás,anger,LYRICS_NOT_FOUND
Sugar On My Tongue,Vinyl Stickons,sugar on my tongue,vinyl stickons,anger,LYRICS_NOT_FOUND
How Many Licks (dirty,Lil' Kim,how many licks dirty,lil kim,anger,LYRICS_NOT_FOUND
The Underflesh,Superjoint Ritual,the underflesh,superjoint ritual,anger,LYRICS_NOT_FOUND
Alien Axe,Neo-Rista,alien axe,neorista,anger,LYRICS_NOT_FOUND
Pick Heads (Intro),Neo-Rista,pick heads intro,neorista,anger,LYRICS_NOT_FOUND
YOAKE,Neo-Rista,yoake,neorista,anger,LYRICS_NOT_FOUND
Ge Washa,Neo-Rista,ge washa,neorista,anger,LYRICS_NOT_FOUND
Indica Trail,Neo-Rista,indica trail,neorista,anger,LYRICS_NOT_FOUND
Tracy Dick,Neo-Rista,tracy dick,neorista,anger,LYRICS_NOT_FOUND
When The Days Fall,Neo-Rista,when the days fall,neorista,anger,LYRICS_NOT_FOUND
White Beat,Neo-Rista,white beat,neorista,anger,LYRICS_NOT_FOUND
Fear Is the Door (Version),Neo-Rista,fear is the door version,neorista,anger,LYRICS_NOT_FOUND
Melacholy,Neo-Rista,melacholy,neorista,anger,LYRICS_NOT_FOUND
Demolition 2,Neo-Rista,demolition 2,neorista,anger,LYRICS_NOT_FOUND
Ocean Pollution,Wouter Bruys,ocean pollution,wouter bruys,anger,LYRICS_NOT_FOUND
Plecid,Neo-Rista,plecid,neorista,anger,LYRICS_NOT_FOUND
Inbetween,Vinyl Stickons,inbetween,vinyl stickons,anger,LYRICS_NOT_FOUND
Mountains Of You,Vinyl Stickons,mountains of you,vinyl stickons,anger,LYRICS_NOT_FOUND
Demolition 1,Neo-Rista,demolition 1,neorista,anger,LYRICS_NOT_FOUND
Paradise Gone,Neo-Rista,paradise gone,neorista,anger,LYRICS_NOT_FOUND
When I Dream,Neo-Rista,when i dream,neorista,anger,LYRICS_NOT_FOUND
ChinaWhite StarTrek,Neo-Rista,chinawhite startrek,neorista,anger,LYRICS_NOT_FOUND
SHINJUKU,Neo-Rista,shinjuku,neorista,anger,LYRICS_NOT_FOUND
Mr. TACHIBANA,Neo-Rista,mr tachibana,neorista,anger,LYRICS_NOT_FOUND
Cool Like Free Shades,Vinyl Stickons,cool like free shades,vinyl stickons,anger,LYRICS_NOT_FOUND
Janus,Neo-Rista,janus,neorista,anger,LYRICS_NOT_FOUND
Manifesto,Neo-Rista,manifesto,neorista,anger,LYRICS_NOT_FOUND
Closing Jam,Neo-Rista,closing jam,neorista,anger,LYRICS_NOT_FOUND
burnt,Neo-Rista,burnt,neorista,anger,LYRICS_NOT_FOUND
Disgrace,Neo-Rista,disgrace,neorista,anger,LYRICS_NOT_FOUND
Post Armageddon,Neo-Rista,post armageddon,neorista,anger,LYRICS_NOT_FOUND
Six,Neo-Rista,six,neorista,anger,LYRICS_NOT_FOUND
National Blvd,Neo-Rista,national blvd,neorista,anger,LYRICS_NOT_FOUND
Yo Thang Boy,Neo-Rista,yo thang boy,neorista,anger,LYRICS_NOT_FOUND
Gun Down,Neo-Rista,gun down,neorista,anger,LYRICS_NOT_FOUND
Quantum Fireball,Vinyl Stickons,quantum fireball,vinyl stickons,anger,LYRICS_NOT_FOUND
Sarah,Vinyl Stickons,sarah,vinyl stickons,anger,LYRICS_NOT_FOUND
Pick Heads (The Story),Neo-Rista,pick heads the story,neorista,anger,LYRICS_NOT_FOUND
noitacovnI,Neo-Rista,noitacovni,neorista,anger,LYRICS_NOT_FOUND
Burnt Mothership,Neo-Rista,burnt mothership,neorista,anger,LYRICS_NOT_FOUND
Chilli Faht Song,Neo-Rista,chilli faht song,neorista,anger,LYRICS_NOT_FOUND
Dying For Metaphores,Neo-Rista,dying for metaphores,neorista,anger,LYRICS_NOT_FOUND
Sounds Of BS,Neo-Rista,sounds of bs,neorista,anger,LYRICS_NOT_FOUND
O COMPLÔ  *A  MAFIA * = suppa g,O COMPLÔ,o complô a mafia suppa g,o complô,anger,LYRICS_NOT_FOUND
Bloodfeast,Alaska,bloodfeast,alaska,anger,LYRICS_NOT_FOUND
Jose,Vinyl Stickons,jose,vinyl stickons,anger,LYRICS_NOT_FOUND
Busting Barriers,Neo-Rista,busting barriers,neorista,anger,LYRICS_NOT_FOUND
Desert Song,Vinyl Stickons,desert song,vinyl stickons,anger,LYRICS_NOT_FOUND
Pacifique,Neo-Rista,pacifique,neorista,anger,LYRICS_NOT_FOUND
Electric Death Song,Alaska,electric death song,alaska,anger,LYRICS_NOT_FOUND
Hey Hey Sounds,Vinyl Stickons,hey hey sounds,vinyl stickons,anger,LYRICS_NOT_FOUND
Three Crosses,Alaska,three crosses,alaska,anger,LYRICS_NOT_FOUND
Sacking Offence,Alaska,sacking offence,alaska,anger,LYRICS_NOT_FOUND
My Idea of fun (live),The Stooges,my idea of fun live,the stooges,anger,LYRICS_NOT_FOUND
Dawn Of The Locusts  (Daleh Remix),Jello Biafra with The Melvins,dawn of the locusts daleh remix,jello biafra with the melvins,anger,LYRICS_NOT_FOUND
8 Hour Fake (Shuto Lounge Mix),Kimza International,hour fake shuto lounge mix,kimza international,anger,LYRICS_NOT_FOUND
Don't Forget Me,Mankind's Remedy,dont forget me,mankinds remedy,anger,LYRICS_NOT_FOUND
I Don't Need It,Haymaker,i dont need it,haymaker,anger,LYRICS_NOT_FOUND
Yuma Idhiri,Kimza International,yuma idhiri,kimza international,anger,LYRICS_NOT_FOUND
motherOfPearl,Nellie McKay,motherofpearl,nellie mckay,anger,LYRICS_NOT_FOUND
Freak Out Requiem,Amon Düül II,freak out requiem,amon düül ii,anger,LYRICS_NOT_FOUND
Unison Mews,Vinyl Stickons,unison mews,vinyl stickons,anger,LYRICS_NOT_FOUND
House of Rock,Tatanka Iyotake,house of rock,tatanka iyotake,anger,LYRICS_NOT_FOUND
Electric Death Song (Demo),Vinyl Stickons,electric death song demo,vinyl stickons,anger,LYRICS_NOT_FOUND
Sarah (Demo),Vinyl Stickons,sarah demo,vinyl stickons,anger,LYRICS_NOT_FOUND
If You Wanna Do The People A Favour,The Perishers,if you wanna do the people a favour,the perishers,anger,LYRICS_NOT_FOUND
When The President Talks To Go,Bright Eyes,when the president talks to go,bright eyes,anger,LYRICS_NOT_FOUND
Enchanted Thoughtfist  (Enchanted Al Remix),Jello Biafra with The Melvins,enchanted thoughtfist enchanted al remix,jello biafra with the melvins,anger,LYRICS_NOT_FOUND
Caped Crusader  (Subway Gas-Hello Kitty Mix),Jello Biafra with The Melvins,caped crusader subway gashello kitty mix,jello biafra with the melvins,anger,LYRICS_NOT_FOUND
Liquor And Cigarettes,Soilent Green,liquor and cigarettes,soilent green,anger,LYRICS_NOT_FOUND
Those Dumb Punk Kids  (Will Buy Anything),Jello Biafra with The Melvins,those dumb punk kids will buy anything,jello biafra with the melvins,anger,LYRICS_NOT_FOUND
花帰葬,志方あきこ,花帰葬,志方あきこ,anger,LYRICS_NOT_FOUND
EXEC_CHRONICLE_KEY/.,志方あきこ,exec_chronicle_key,志方あきこ,anger,LYRICS_NOT_FOUND
大地の鼓動,志方あきこ,大地の鼓動,志方あきこ,anger,LYRICS_NOT_FOUND
Pantalea,志方あきこ,pantalea,志方あきこ,anger,LYRICS_NOT_FOUND
Fuck The Police,Styles P,fuck the police,styles p,anger,LYRICS_NOT_FOUND
蒼碧の森,志方あきこ,蒼碧の森,志方あきこ,anger,LYRICS_NOT_FOUND
Licao do Vento,新居昭乃,licao do vento,新居昭乃,anger,LYRICS_NOT_FOUND
David Hamilton,カヒミ・カリィ,david hamilton,カヒミカリィ,anger,LYRICS_NOT_FOUND
春告げ ～Raggi Di Primavera～,志方あきこ,春告げ raggi di primavera,志方あきこ,anger,LYRICS_NOT_FOUND
Turbolence,Deadbeat,turbolence,deadbeat,anger,LYRICS_NOT_FOUND
"Good Morning,Herr Horst (Single Edit)",Mando Diao,good morningherr horst single edit,mando diao,anger,LYRICS_NOT_FOUND
迷夢,志方あきこ,迷夢,志方あきこ,anger,LYRICS_NOT_FOUND
Ec Tisia,志方あきこ,ec tisia,志方あきこ,anger,LYRICS_NOT_FOUND
謳う丘 ～Exec_Harvestasya/.～,志方あきこ,謳う丘 exec_harvestasya,志方あきこ,anger,LYRICS_NOT_FOUND
Justice of the Karma Law,Tangerine Dream,justice of the karma law,tangerine dream,anger,LYRICS_NOT_FOUND
誰ガ為ノ世界,志方あきこ,誰ガ為ノ世界,志方あきこ,anger,LYRICS_NOT_FOUND
イゥリプカ,志方あきこ,イゥリプカ,志方あきこ,anger,LYRICS_NOT_FOUND
Lunar Landings (B-Zet Radio Edit),Kalliope,lunar landings bzet radio edit,kalliope,anger,LYRICS_NOT_FOUND
満ち潮の夜,Zabadak,満ち潮の夜,zabadak,anger,LYRICS_NOT_FOUND
le lacrime,志方あきこ,le lacrime,志方あきこ,anger,LYRICS_NOT_FOUND
サクリファイス,志方あきこ,サクリファイス,志方あきこ,anger,LYRICS_NOT_FOUND
Black Shell,新居昭乃,black shell,新居昭乃,anger,LYRICS_NOT_FOUND
Kalliope - カリオペ,志方あきこ,kalliope カリオペ,志方あきこ,anger,LYRICS_NOT_FOUND
幻想林,志方あきこ,幻想林,志方あきこ,anger,LYRICS_NOT_FOUND
宵森人,志方あきこ,宵森人,志方あきこ,anger,LYRICS_NOT_FOUND
"Gone, Biggie, Gone",Sound Advice,gone biggie gone,sound advice,anger,LYRICS_NOT_FOUND
幽明,志方あきこ,幽明,志方あきこ,anger,LYRICS_NOT_FOUND
うみねこのなく頃に - Alternative Instrumental Suites -,志方あきこ,うみねこのなく頃に alternative instrumental suites ,志方あきこ,anger,LYRICS_NOT_FOUND
culla,志方あきこ,culla,志方あきこ,anger,LYRICS_NOT_FOUND
調和 ～風来の調べ～,志方あきこ,調和 風来の調べ,志方あきこ,anger,LYRICS_NOT_FOUND
謳う丘 ～Ar=Ciel Ar=Dor～,志方あきこ,謳う丘 arciel ardor,志方あきこ,anger,LYRICS_NOT_FOUND
Erato - エラト,志方あきこ,erato エラト,志方あきこ,anger,LYRICS_NOT_FOUND
箱庭の外で,志方あきこ,箱庭の外で,志方あきこ,anger,LYRICS_NOT_FOUND
Makeda ~Queen of Sheba~,志方あきこ,makeda queen of sheba,志方あきこ,anger,LYRICS_NOT_FOUND
The sky of twilight,志方あきこ,the sky of twilight,志方あきこ,anger,LYRICS_NOT_FOUND
Hanakisou,志方あきこ,hanakisou,志方あきこ,anger,LYRICS_NOT_FOUND
Change,Green on Red,change,green on red,anger,LYRICS_NOT_FOUND
Just a Party and Bullshit,Sound Advice,just a party and bullshit,sound advice,anger,LYRICS_NOT_FOUND
Carnaval,志方あきこ,carnaval,志方あきこ,anger,LYRICS_NOT_FOUND
謳う丘 ～Salavec rhaplanca.～,志方あきこ,謳う丘 salavec rhaplanca,志方あきこ,anger,LYRICS_NOT_FOUND
Vanetihu (LP Version),Nina Simone,vanetihu lp version,nina simone,anger,LYRICS_NOT_FOUND
