track,artist,final_emotion
domination,asseptic room,
don't be shy,george duke,
don't bother,jack simons,
don't cha,the game,
don't leave me alone,argaman,
don't let the sun go down on your grievances,clem snide,
doris,sumner mckane,
double talk,fats navarro,
down by the riverside,the dirty dozen brass band,
"down, down, down",matt howden,
downfall,sophia,
downtown,glo-worm,
dr. good,adrian sieber,
dragons,aleksi virta,
drama,k. hand,
dreaming of you,plastic noise experience,
dreams,303mansin,
dream,goldfish,
drive away,thomas newman,
droga na smolensk,bulat okudzawa,
drop it,math head,
drowning,aletta,
drunk and belligerent,adam zivojnovich,
dry flower,井元ともこ,
dub,ernesto schnack,
duel,volksweerbaarheid,
duet,inara george,
dust,ainslie henderson,
dyson,beresith,
eastern promise,clubroot,
easy rider,artur andrus,
echoes,california guitar trio,
eclipse ii,life toward twilight,
eclipse,call & response,
effigy,lost signal,
egal,spaceman spiff,
eight,faithless,
einsamkeit,die zwei,
el congo - original,celia cruz y sonora matancera,
electric death song,vinyl stickons,
electric,davy vain,
eleven,ataraxia,
elysian fields,2002,
embers,no-xygen,
embrace,c-systems,
empires,wappenbund,
empire,alex bilo & wit,
encore,bloomfield,
end credits,disko-ions,
end of the line,negative/negative,
end to end,woods family creeps,
ende,archon satani,
endless summer,anoraak,
entanglement,lucy tentacles,
entrance,hall of mirrors,
epic,karsh kale,
epilogue,angizia,
epiphany,ecanasia,
equinox,origin unknown,
erlend - original mix,"francis, ted",
erotica,aguaturbia,
estelle,contreband,
eternal love,shoshannah,
eternal sunshine,jay electronica,
ethereal awakening,divinity,
ethereal void,divinity,
etude,adrian sieber,
euphoria,circuit chase,
europa,adebisi shank,
euterpe - エウテルペ,vagrancy,
eva,gabi newman,
even now,2002,
evening,the field,
evenstar,isabel bayrakdarian,
everlasting dream,reyna,
every day,aphrodesia,
every season,nicole mordeman,
everybody,bassnectar,
everything to me,the northern coast,
everything,alfonzo hunter,
evidence,eternia,
evolution,bfc,
excite me,eating betty,
exec_chronicle_key/.,l-m-p (lost music planet),
exec_ep=nova/.,しかたあきこ,
exec_with.method_metafalica/.,shikata akiko & shimotsuki haruka,
exile,triarii,
expansion,subatomic dreams,
explode,a2z's,
exposure,jean renouard,
expression,the bridgeheads,
eyes,coldreams,
fabric,henry cowell,
faces,behan johnson,
factory girl,whiskeytown,
faded,afghan whigs,
fairy tale,ascent and argus,
fallen,gary numan,
falling (original mix),maceo plex,
falling down,jehst,
fall,cheatahs,
family,cornelius,
fast forward,el ten eleven,
fata morgana,nico,
father time,colin chin,
fear,clepsydra,
feathers,nina june,
feel good inc.,de la soul,
feel this (featuring enation),bethany joy lenz,
feelms,stidiek,
fences,entertainment for the braindead,
feral,dirty three,
festival,kino no tabi,
fight like gods,king dude & chelsea wolfe,
finale,gustav mahler,
find a way,king kooba,
fire drums,ariel kalma,
first light,converge,
first movement,georg philipp telemann,
first sight,ikson,
fish,buddhuza,
fissure,umkra,
five,mr cooper,
flinch,carla kihlstedt,
floating,[:sitd:],
flower in the universe,島みやえい子,
flume,nathan youngblood (with steve roach),
flying carpet,david starfire,
follow your heart,wynter gordon,
follow you,samara lubelski,
for my people,missy elliott,
for the fallen ones,triarii,
forbidden,the soundrops,
force awakens,hugo vazquez,
forest crunk,blockhead,
forever lost,god is an astronaut,
forever young,fire and ice,
forever,arclight,
forget me not,sieben,
forget,curse ov dialect,
forgiveness,chronos,
forgotten waltz,lost music planet,
fragile,god is an astronaut,
fragment,max richter,
frailty,rez,
free your mind,bright,
freefall,robin guthrie,
freestyle,immortal technique,
freeze,ron anderson,
free,black lung brothers,
french kisses,bloomfield,
fresh,lifeisround,
friday night,knoxville,
friendship train,the cate brothers,
friendship,viper horse,
friend,archive,
frost,lars leonhard,
fukher,geoff berner with wayne adams and diona davies,
full moon,chinmaya dunster,
funeral march,frédéric chopin,
further away,the sight below,
fuse,hudson mohawke,
future,jim rivers,
gabriel's oboe,mark joseph,
game,ムック,
ganymede,ethereal pilgrim,
gardenhead/leave me alone,jeff mangum,
garden,asteroid,
gathering dusk,project divinity,
gayatri mantra,anuradha paudwal,
get back,magda piskorczyk,
get it on,the soho cobras,
get up,50 htz,
getaway,adrienne frantz,
getting down,환희,
ghetto musick,outkast,
ghostbusters,ed rush & optical,
ghosts,biocarbon13,
gift,ポルノグラフィティ,
gimme shelter,london symphony orchestra,
giselle,stew,
give,cranes,
gjallarhorn,aurastys,
glimmer,the album leaf,
glitter,jacob allen,
gloomy sunday,artie shaw,
gloria,arvo pärt,
glorious vagina,angel boris,
go on,gore gore girls,
god bless the child,lisa simpson,
god give me strength,elvis costello live with the metropole orkest,
gold in them hills,coldplay,
goldmine,fitness club fiasco,
gone too far,the reds,
good girl gone bad,purrpurr,
good,child wage slave #324879141242,
go,a2z's,
grace,aitch,
grass,cabinet of natural curiosities,
greed,kevin cryderman,
green grass,cabinet of natural curiosities,
green light,mtume,
greensleeves,david nevue,
green,blockhead,
greetings,"haastrup, joni",
grey,nebulo,
grief,westwind,
ground zero,go sakabe,
grounded,lovebugs,
gun,atomica,
gush,maria schneider orchestra,
gypsy woman,сегодняночью,
g,zailm atoyanh,
halfway house,apricot rail,
hall of records,james call!,
hallelujah,azar baksh,
halloween ii,samhain,
hammer,c-netik & gancher & ruin,
hana,asa chang & junray,
happy birthday,pizzicato five,
happy days are here again,ben selvin orchestra,
happy days,alan starck,
happy new year,ivor game,
hard rain,alloy,
hardcore,the society of invisibles,
harlem nocturne,boots randolph,
harmony,lifeisround,
haunting me,richey hackett,
haze,blake mckibben,
he said she said,batacuda sound machine,
he's my guy,marjorie barnes,
headphones,the aluminum group,
head,gilbert,
heartache,"stay strong, cannonball",
heartbeats,elew,
heartland,kiss the anus of a black cat,
heart,beatkonexion,
heather,carpenters,
heatwave,julien creance,
heaven knows,rinaldi sings,
helicopters,laura burhenn,
helix,byetone,
helpless,audrey,
here comes the sun,michelle creber,
here i am,andrew boyd,
here,dustin evans,
heroin,john cale,
hey,crustation,
hidden hand,the budos band,
hidden,craig armstrong,
high beams,miami nights 1984,
high energy,ultrasonic,
high spirits,govi,
history,mos def,
hokkaido,amon tobin,
hold me,nathaniel slade,
holy,mono,
homewrecker,ariel winter,
home,am,
honey bunny,mgmt,
honey,doveman,
hopeless,969,
hopes and dreams,jim chappell,
hopscotch,ufomammut,
horn,kammerflimmer kollektief,
horses,aromabar,
horse,the bottomfeeders,
hospital,michael knott,
house of cards,...music video?,
how come,embrace,
how long,allison crowe,
human sacrifice,banisher,
hummingbird,george winston,
hunger,acylum,
hungry heart,the matthews brothers,
hurricane,5th projekt,
hurt so bad,grant green,
hymn to the mother of god,diverse,
hymn,age pee,
i am my beloved's,danielson famile,
i can see clearly now,even in blackouts,
i can't help it,tangoterje,
i can't let go,annie,
i can't wait,brassy,
i die,azar baksh,
i don't know you,charalambides,
i don't mind,the national,
i don't wanna,slambo,
i hate you,wizo,
i like girls,adam beebe,
i love paris,jack costanzo,
i miss you,condensia,
i need you,amp fiddler,
i need,matt lancaster,
i should tell you,jonathan larson,
i want candy,mc chris (mc pee pants),
i want you back,kt tunstall,
i'll be your lover too,rob pattinson,
i'm an asshole,chris mackey,
i'm happy,ivor cutler,
i'm in love with a german film star,sam taylor-wood,
i'm not your bird,zhuzha & petrovich,
i'm ready,allison weiss,
i'm super,big gay al,
i'm the man,lee fields,
i'm too sexy,various artists,
i'm wild about that thing,steinski,
i've seen it all,björk ft. thom yorke,
i. allegro,carl philipp emanuel bach,
icon,k.i.f.o.t.h.,
idumea,anonymous 4,
if it doesn't kill you,siouxsie and the banshees,
if ye love me,the sixteen,
ignition,for the imperium,
iii,der blutharsch,
ii,der blutharsch,
illumination,deuter,
illusion,benny benassi,
immersion,master margherita,
imperial,seefeel,
impromptu,saint-preux,
in a lonely place,joy division,
in dreams,crash my model car,
in flight,lusine icl,
in mind,the future sound of london,
in space,psyfactor,
in the air,cokiyu,
in the beginning,mike warnke,
in the hall of the mountain king,epica,
in time,arrica rose,
in your hands,jimmy ward,
inamorata,oren ambarchi,
incantation,kevin kerrigan,
independence day,barbie almalbis,
indigo,ed alleyne-johnson,
inevitable,lifeisround,
infection,biostorm,
infinity,maturo,
ink,ddamage,
inner peace,steven halpern,
innerspace,airwave,
inside,36,
insomnia,msk,
inspiration,rootjoose,
instrumental,ll cool j,
interlude,aeoliah,
intermission,coeur de pirate,
intervention,project creation,
inti zar,yahel feat. riko,
into the labyrinth,skyedance,
into the white,the lake isle,
introduction,amy weintraub,
introitus,douwe eisenga,
invasion,eminem,
invisible,leah,
io,super-a-loof,
ironic,michelle marsh,
it ain't easy,brad,
it never entered my mind,george shearing,
"it takes a lot to laugh, it takes a train to cry",al kooper; steve stills,
it's alright with me,oleta adams,
it's alright,gary b,
it's not your fault,ashley cleveland,
iv,der blutharsch,
i,cacogen,
jack in the box,logic bomb,
jagged,leslie hunt,
james call's peter and the wolf,german cars vs american homes,
jane,critical mass,
jericho,eisenfunk,
jerusalem,jeff bjorck,
jesu joy of man's desiring,paul haslem,
jetstream,lusine icl,
jewel,jun miyake,
jimmy,0167. [1973] boudewijn de groot,
johanna,ost,
journey,elane,
judgment day,taaos,
julia,broken ideology,
juliet,dj cam,
june bug,melvins,
june,marbury,
jungleland,"springstreen, bruce & the e street band",
just a thought,michael andrews,
just because,deebo mac,
just like you,tower of power,
justify my love,front line assembly,
karuna,manish vyas,
karussell,michael rother,
katharsis,nheap,
katmandu,béla fleck,
kick,colour coding,
kiiro,shugo tokumaru,
killing me softly,eva cassidy,
kinetic,dexplicit,
kisses,love and light,
komm oh tod du schlafes bruder,johann sebastian bach,
kung fu christmas,christopher guest,
kyrie,furahakören,
l'alba dei morti viventi,daemonia,
la sirene,井元ともこ,
la sola,kenji kawai,
lala,los tres,
lament,arcana,
languish,malhavoc,
last breath,aaron marshall,
last dance,husky rescue,
last song,巡音ルカ,
lazuli,bartek kolodziejczyk,
lazy,andy smith,
le lacrime,vagrancy,
leave the lights on,aughra & mosh patrol,
legendary,belle plaine,
let happiness come soon to me,mr solo,
let the tournament begin,hans zimmer and john powell,
letter,kandis,
leviathan,christopher young,
leyre,akiko shikata (志方 あきこ),
liebe,ayla,
life is beautiful,jake coco,
lifeline,edison's children,
lifestyle,david grumel,
lifetime,into the fold,
light my fire,george winston,
lilybelle,geraldine fibbers,
limbo,kevin cryderman,
lip service,lip service music,
listen up,doc powell,
list,brandy,
litany,manic street preachers,
little angel,bobby hutcherson,
little brother,aromabar,
little life,josephine foster,
little wheel,canned heat,
living dead,obszön geschöpf,
living room,emeralds,
living sacrifice,井元ともこ,
lobster,red snapper,
loki,sieben,
lolita,ink and dagger,
london town,paul mccartney,
lonely (없구나),비원에이포 (b1a4),
lonely road,firebird,
lonely star,asura,
lonely tonight,matt casella,
lonely woman,diamanda galás,
long road,eddie vedder with mike mccready and neil young,
long way down,bowery electric,
longing,anekdoten,
look away,crissi cochrane,
look up,emlyn ellis addison,
lookin' forward,vic sadot,
looking back,kerry muzzey,
lose it,devlin love,
losing control,negative for francis,
lost & found,amon tobin,
lost and found,auditory canvas,
lost for words,asc,
lothlorien,david arkenstone,
louie louie,detroit7,
louie,phil milstein,
love and hate,biuret,
love is,azar baksh,
love stinks,bile,
love you,bloomfield,
lover man,palya bea,
lover's spit,feist,
lovin' u,javier,
low red moon,maluns,
lullaby of birdland,count basie,
lullaby,balanescu quartet,
lull,peter broderick,
luna piena,akiko shikata (志方 あきこ),
luv,travis - the man who,
lux aurumque,laudate,
macbeth,laibach,
macgillycuddy's reeks,medwyn goodall,
machete,drop top,
machine,replikants,
mad world,ed alleyne-johnson,
madder sky,koutarou nakagawa,
madness,adrian belew,
magdalena,frank zappa,
maggie's farm,toots hibbert,
maggie,the durutti column,
magic,aretha henry,
magnetic,s>range,
magnet,telemetrik,
magnificat,thomas tallis,
"maiden, mother, crone",spiral rhythm,
main theme,jeremy soule,
main titles,kyle eastwood & michael stevens,
make believe,jolejnik,
makeda ～queen of sheba～,vagrancy,
making universe,zhuzha & petrovich,
"mama, you been on my mind",bob dylan & joan baez,
manana,christophe goze,
manic,bouffant idiots,
manifest destiny,sirrus,
manipulation,tense & nevermind,
maple leaf rag,joshua rifkin,
marakesh,peace orchestra,
marche funèbre,dernière volonté,
march,knut,
mare (andante molto espressivo),vagrancy,
margarita,verde 3,
marian,goldbarne,
marie,copenhagen,
marijuana,brian robbins,
marionette,mathew jonson,
marriage,bruce cropley,
mars,gustav holst,
mask,keiko matsui,
mass,aube,
maxwell's silver hammer,ukelilli,
max,junior boys,
may queen,three weird sisters,
maya,rich willison,
may,cawatana,
maze,大森俊之,
meditation,craig urquhart,
meera,dj cam,
melt,shiloh,
memento mori,the cracow klezmer band,
memorial,matters & dunaway,
memoria,kin,
memories,boat club,
memory song,meredith monk,
memory,the seatbelts,
messages,maston,
messenger,blonde redhead/david sylvian,
metropolis,amiran,
mi zúg...?,dalriada,
midnight cowboy,ferrante & teicher,
midnight express,dieselboy + evol intent + ewun,
midnight train,the falling spikes,
milk & honey,immi,
millenium,outkast,
millionaire,logistics,
mirage,terje rypdal,
miranda,michael nyman,
miserere,armin van buuren,
missa brevis,credo,
mission,leahy,
mississippi,jarboe,
misty,clinic,
mist,imprinting,
mittelmäßiger klaus,rainald grebe und die kapelle der versöhnung,
mixed feelings,logic,
mk ultra,black rebel motorcycle club,
momentum,ambient generation,
monkey talk,3/4hadbeeneliminated,
monkey,locas in love,
monolith,beta band,
monster,burɴ,
moon river,billy may,
moonlight serenade,"durham, conte, farao",
morning sun,dawn landes,
morpheus,maissouille,
mosquito,ingrid michaelson,
motion picture soundtrack,christopher o'riley,
motor,myslovitz,
mount kailash,chinmaya dunster,
mountain,emma forman,
mouth to mouth,audion,
movement,kikaruu,
mr. jones,steve howe,
mrs. robinson,bon jovi,
muted,olive,
mute,loscil,
mutineer,bob dylan,
my blue heaven,artie shaw,
my life,50 cent,
my mother was the moon,king dude & chelsea wolfe,
my own hell,mortal void,
my ride's here,bruce springsteen,
mysterium,liturgy,
mystery,ibis music,
m,la casa al mare,
naked,deela feat. inga lühning,
nancy,sangeeta,
narcotic,no second troy,
natalie portman,team sleep,
necropolis,nine inch nails,
negative,hell reverence,
nemesis,aaron parks,
neptune,break reform,
neuland,wort-ton,
never be the same,rialto,
never never,klute,
neverland,richey hackett,
nevicata,志方あきこ,
new beginning,planet boelex,
new country,jean-luc ponty,
new dawn,bliss,
new karma,adrian sieber,
new morning,takashi,
new thing,bridge underwater,
new world,destruction junkie,
new york,davy vain,
new,björk,
next time,little wings,
night of the vampire,roky erickson and the aliens,
night shift,oar,
night swimming,sounds that soothe,
nightfall,amtronic,
nightlight,castledoor,
nightshift,fable,
night,benga,
no more love,righteous boy,
no regrets,black devil,
no remorse,7 heads of destruction,
no retreat,侯珺硕,
nocturnal,cinema strange,
noise,k. hand,
norway,zailm atoyanh,
not guilty,cunninlynguists,
not here,angel grant,
not like the movies,tibursky,
not that,stephen jones,
not yet,detroit diesel,
nothing compares 2 u,dan kelly,
notturno,edvard grieg,
now or never,ashelyn summers,
now that we found love,"oh, harry",
now,alex murrel,
number nine,van dyke parks,
nursery rhyme,raymond scott,
o come all ye faithful,patty loveless,
o ecclesia,hildegard von bingen,
o holy night,mills single violano virtuoso,
o jesu christe,van berchem,
o magnum mysterium,the choir of new college oxford,
o soave fanciulla,michael bolton duet with renée fleming,
oblivion,5th projekt,
obnoxious,pia fraus,
obsession,cabaret voltaire,
obsolete,magne furuholmen,
ocean blue,the layaways,
ocean,dabney morris,
ode,david darling & jan garbarek,
oh smania! oh furie! ~ d'oreste e d'aiace,シカタ★アキコ,
ok,los zapatos muertos,
om mani padme hum,jonathan goldman,
om namah shivaya,azar baksh,
om shanti,taruna,
ominous,punishment of scaphae,
on air,saafi brothers,
on my own,delta goodrem,
on the line,vain,
once again,earl klugh,
ondine,maurice ravel,
one day,rotoscope,
one hundred years,five for fighting,
one last time,bernard weinstock,
one love,blue lunar monkey,
one meatball,bing crosby with the andrews sisters,
one of a kind,portecho,
opel,muslimgauze,
open happiness,butch walker,
open your eyes,brookes brothers,
opening,aaron zigman,
orange,art of trance,
orchestrion,michael rother,
orion,mindscape & jade,
other people,the home guard,
other side,son kite,
otherworld,delerium,
ouroboros,the mars volta,
out loud,dispatch ft. john mayer,
out of the blue,broken ideology,
out of touch,darkstar,
outremer,irfan,
outside the lines,holiday parade,
outside,aaron ackerson,
outta control,colton brown,
overkill,jackson jackson,
overland,jef stott,
overtime,emma forman,
overture,bernard cribbins,
oxygen,björk,
paedo-joy and infantile fecal play,chris mackey,
paints of war,cesare ferrari,
pain,brian square,
pan tadeusz,zebrowski & jopek,
pandora's box,erik mongrain,
paperweight,joshua radin & schuyler fisk,
paradise lost,denny earnest,
paragon,gary girouard,
parallel universe,tron vs. implant,
paranoia,harmonic 33,
paranoid,[unknown],
paris is burning,romance,
part 1,devil doll,
part 2,devil doll,
part 5,kalte container (first nebel project),
part 8,devil doll,
part i,mike oldfield,
parterre,志方あき,
party time,the mattoid,
passing through,alex smoke,
pastorale,boudewijn de groot,
peace of mind,angelzoom,
peaceful,louis landon,
pearl,metricks,
pep,polytechnic,
perfect day,beatkonexion,
pet,katie paisant,
phantasmagoria,torture garden,
phantom,broadcast,
phobos,anthony rother,
piccadilly circus,kelsey brown,
pigs,the mishap crew!!,
ping pong,speedy j,
pirates of the caribbean,井元ともこ,
place of rest,rob mccormack,
playing god,mainesthai,
plaything,roy budd,
play,adrian sieber,
plinky plonky,born ruffians,
polymnia - ポリュムニア,志方あきこ,
polymorphia,antoni wit,
ponekad,saška janković,
postcard,afternoon naps,
power to the people,geraldo pino & the heartbeats,
powerless,distorted pony,
prana,craig kohland & shaman's dream,
precipice,tribal tech,
prelude,a7ie,
premonitions,arbiter,
presto,franz schubert,
pretty baby,augustus pablo,
prick (distant fires burning mix),dementio13/distant fires burning,
pride,[:sitd:],
prime,logic,
princesa,feelms,
prince,lakey inspired,
procession,troum,
prologue,fsfreak,
prolog,march of heroes,
promenade,modest petrovich mussorgsky,
prophecy,a.j. rosales,
prototype (meant to fly),adrian sieber,
providence,deerhunter,
pure,boney james,
purple haze,johnny jones,
purple,aes dana,
q,nu moon,
rabbit,arnold,
radio edit,faithless,
rain man,broken ideology,
rain song,松任谷由実,
rainbow connection,utah state that one,
rainbow,mono,
raindrops,magic moods,
rainfall,louis philippe,
rainy day,avenue d,
rain,a7ie,
raise your hand,3d,
rape your god,xmh,
rat race,child's play,
ravine,shade empire,
razzamatazz,patti austin,
react,quasimoto,
ready,charles webster,
real life,cary grace,
reason,hartfield,
reckless,africa bambaataa feat. ub40,
red eyes,amun,
red lights,carl craig,
red sky,alex shore,
reflections,innocence,
reflex,emmanuel top,
refuge,vas,
remedy,jolejnik,
remember me,blood & time,
reminiscence,坂部剛,
remnant,alienapia,
resurrection,aslan faction,
returning home,project creation,
revelations,innerverse,
rhodes,anima sound system,
rider,will oldham,
ride,bt,
ring of fire,colin murray,
riot,flying lotus,
rising,julia rosedale,
rituals,nicola conte,
riverside,mothlite,
road head,farmer joe & the ignorant corpses,
roam,lijie,
rock island line,the lonnie donegan skiffle group,
rogue,matt uelmen,
romana,tosca,
romeo and juliet,henry mancini,
rotation,humanoid,
rotor blade axe,gold digger,
rough sex,decoder ring,
round midnight,diamanda galás,
round,jethro tull,
