track,artist,final_emotion,reason
Gayatri Mantra,Nada Shakti & Bruce Becvar,reflective,Already processed
Awakening,Ashit Desai,reflective,Already processed
Gayatri Mantra,Anuradha Paudwal,reflective,Already processed
Zero,Chloe Goodchild,sadness,Already processed
Otherworld,Gary Stadler; Stephanie,sadness,Already processed
Gayatri Mantra,Shraddha Jain,sadness,Already processed
Desert Song,Edward Sharpe & The Magnetic Zeros,sadness,Already processed
Dreams,TV on the Radio,neutral,Already processed
39,The Cure,neutral,Already processed
Intro,DMX,neutral,Already processed
The Void,Muse,neutral,Already processed
Because,Novastar,reflective,Already processed
Invisible,Skylar Grey,reflective,Already processed
Mirrorball,Peter Gabriel,sadness,Already processed
Take Your Time,Low,sadness,Already processed
Europa,Globus,excitement,Already processed
Requiem,Yoshihisa Hirano and Hideki Taniuchi,neutral,Already processed
War,James Horner,excitement,Already processed
Remember Me,Diana Ross,neutral,Already processed
Nightmare,Ronan Hardiman,neutral,Already processed
The Swimmer,Sleater-Kinney,joy,Already processed
Terraforming,Hans Zimmer,joy,Already processed
Take Me Away,Globus,joy,Already processed
Swans,Lisa Gerrard,sadness,Already processed
Blue,Vast,neutral,Already processed
The Cage,Him,neutral,Already processed
Jesus Christ,Longpigs,neutral,Already processed
Aurora,Mike Oldfield,reflective,Already processed
Berlin,Carpark North,excitement,Already processed
Trash,Roxy Music,neutral,Already processed
Flying,Faces,neutral,Already processed
Water,*shels,neutral,Already processed
Acid Rain,Grails,sadness,Already processed
El Tango De Roxanne,"Ewan McGregor, Jose Feliciano & Jacek Koman",neutral,Already processed
The Calling,Imperia,neutral,Already processed
Underneath,Jessica Simpson,excitement,Already processed
Stray,Unter Null,neutral,Already processed
Walking Wounded,The Tea Party,neutral,Already processed
Trinity,James Dooley,excitement,Already processed
Meditation,Jules Massenet,joy,Already processed
Mirror,浜崎あゆみ,neutral,Already processed
17,Tocotronic,excitement,Already processed
First Time,Styx,neutral,Already processed
Femme Fatale,Agonoize,excitement,Already processed
Haunted,Gary Numan,excitement,Already processed
Victims,The Oppressed,neutral,Already processed
Fragments,Blondie,neutral,Already processed
Uniform,Jethro Tull,neutral,Already processed
Justified,Life of Agony,neutral,Already processed
Crusade,Voltaire,neutral,Already processed
Ave Maria,Nina Hagen,neutral,Already processed
Bad Seed,Amduscia,sadness,Already processed
Close Your Eyes,L'Âme Immortelle,neutral,Already processed
Gone,Johnny Hollow,sadness,Already processed
Mars,Gustav Holst,neutral,Already processed
Nothing,Brandy,joy,Already processed
Allegretto,Karl Jenkins,excitement,Already processed
Skin,Unheilig,excitement,Already processed
Swept Away,Diana Ross,neutral,Already processed
Black Sun,Non,neutral,Already processed
I'll Be Seeing You,Etta James,reflective,Already processed
Sacrilege,Life Cried,sadness,Already processed
Voyage,Yanni,neutral,Already processed
Hell,Matt Uelmen,fear,Already processed
Вальс,Евгений Дога,neutral,Already processed
Winter,Blondie,neutral,Already processed
Death March,Aslan Faction,neutral,Already processed
Miranda,Michael Nyman,neutral,Already processed
Alone,Ohio Players,neutral,Already processed
The Fall,Unter Null,neutral,Already processed
Miserere,Armin van Buuren,neutral,Already processed
Defying Gravity,Kerry Ellis,neutral,Already processed
We Get Along,Let's Go Sailing,neutral,Already processed
Fate,Suicide Commando,fear,Already processed
Exodus,Ferrante & Teicher,excitement,Already processed
Stormwind,"Jason Hayes, Tracy W. Bush, Derek Duke, Glenn Stafford",excitement,Already processed
Bastard,Dunkelwerk,neutral,Already processed
Enemy,:Wumpscut:,neutral,Already processed
Run Away,Acylum,neutral,Already processed
Revolution,Balanescu Quartet,neutral,Already processed
Amnesia,志方あきこ,sadness,Already processed
The Night,Brightwood,neutral,Already processed
Prophecy,James Dooley,excitement,Already processed
Mask,Wynardtage,neutral,Already processed
Pride,[:SITD:],excitement,Already processed
Candy,Robbie Williams,excitement,Already processed
Magic,Future,neutral,Already processed
Manifesto,The Cat Empire,neutral,Already processed
Killing Me,Robbie Williams,neutral,Already processed
Mafia,Kelis,reflective,Already processed
Blame,Soul Coughing,excitement,Already processed
Sleep,Pornopop,joy,Already processed
Everybody,Macy Gray,neutral,Already processed
Caravan,The Mills Brothers,neutral,Already processed
I Love U,Chris Brown,joy,Already processed
Get Out,Macy Gray,neutral,Already processed
The Wanderer,Donna Summer,reflective,Already processed
Magic Touch,Clor,neutral,Already processed
Cut,Monolake,neutral,Already processed
Where Are You?,Public Image Ltd.,neutral,Already processed
Miracle,Von Hertzen Brothers,neutral,Already processed
Jerusalem,The Fall,joy,Already processed
Dear John,Cyndi Lauper,neutral,Already processed
Juliet,Stevie Nicks,neutral,Already processed
Ghetto Musick,OutKast,excitement,Already processed
Gravity,Pram,neutral,Already processed
On My Way,Grace Jones,neutral,Already processed
Nevada,John Linnell,neutral,Already processed
Shadows,Pram,excitement,Already processed
Hypnotized,The Pointer Sisters,joy,Already processed
Work Song,Zan-zan-zawa-veia,excitement,Already processed
Memoria,Kin,neutral,Already processed
Angel,Robbie Williams,excitement,Already processed
Europa,Matt Howden,neutral,Already processed
Curse,Robbie Williams,excitement,Already processed
After the Rain,Nemodog,neutral,Already processed
Rabbit,Arnold,neutral,Already processed
Socks,Vivian Stanshall,neutral,Already processed
Prophecy,M&D Substance,neutral,Already processed
Ariel,Matt Howden,neutral,Already processed
Down,Matt Howden,neutral,Already processed
Good,Child wage slave #324879141242,neutral,Already processed
"Down, Down, Down",Matt Howden,neutral,Already processed
Warm Sand,Zan-zan-zawa-veia,joy,Already processed
Terpsichora - テルプシコラ,志方あきこ & 弘田佳孝,reflective,Already processed
Happy Days,Alan Starck,calm,Already processed
Oasis,Debbie Harry,excitement,Already processed
Don't Bother,Jack Simons,neutral,Already processed
Polymnia - ポリュムニア,志方あきこ & 弘田佳孝,reflective,Already processed
Serenade,Roxy Music,joy,Already processed
Nightingale,Roxy Music,joy,Already processed
Springtime,Donald Fagen,joy,Already processed
Crave,Björk,excitement,Already processed
New,Björk,joy,Already processed
The Last Time I Saw You,Steve Harley,joy,Already processed
Enchanted,Delerium,reflective,Already processed
Nature Boy,David Bowie And Massive Attack,neutral,Already processed
Serenade,Arab Strap,sadness,Already processed
Ave Maria,E Nomine,sadness,Already processed
Shadows,Enigma,neutral,Already processed
Only You,Praise,reflective,Already processed
River,Kirsty Hawkshaw,sadness,Already processed
Siren,Rhythm of Mankind & Nature,reflective,Already processed
Sometimes,B-Tribe,neutral,Already processed
For You,Kirsty Hawkshaw,reflective,Already processed
Memory Song,Meredith Monk,joy,Already processed
One of These Days,Zend Avesta,reflective,Already processed
Enchanted,Enchanted,sadness,Already processed
Ganymede,Ethereal Pilgrim,reflective,Already processed
Infinity,Maturo,reflective,Already processed
The Beginning of the End,Silentaria,sadness,Already processed
Farewell,Silentaria,sadness,Already processed
Sadness,Enya - Enigma,reflective,Already processed
Bohemian Rhapsody,Queen,excitement,Already processed
Wake Up,Arcade Fire,excitement,Already processed
Home,Edward Sharpe & The Magnetic Zeros,excitement,Already processed
Kashmir,Led Zeppelin,excitement,Already processed
Eclipse,Pink Floyd,excitement,Already processed
The End,The Doors,excitement,Already processed
Mirrors,Justin Timberlake,excitement,Already processed
Atmosphere,Joy Division,excitement,Already processed
Judas,Lady Gaga,excitement,Already processed
Ride,Lana Del Rey,excitement,Already processed
Reunion,M83,excitement,Already processed
Echoes,Pink Floyd,excitement,Already processed
Runaway,Kanye West,excitement,Already processed
Contact,Daft Punk,excitement,Already processed
Believer,Imagine Dragons,excitement,Already processed
Conquest,The White Stripes,excitement,Already processed
Time,Hans Zimmer,excitement,Already processed
Dogs,Pink Floyd,excitement,Already processed
Welcome Home,Coheed and Cambria,excitement,Already processed
Faded,Alan Walker,excitement,Already processed
England,The National,excitement,Already processed
Fireworks,Animal Collective,excitement,Already processed
Outro,M83,excitement,Already processed
Storm,Godspeed You! Black Emperor,excitement,Already processed
Strobe,deadmau5,excitement,Already processed
On Hold,The xx,excitement,Already processed
Mirror,Lil' Wayne,excitement,Already processed
23,Jimmy Eat World,excitement,Already processed
Figure 8,Ellie Goulding,excitement,Already processed
I Love You,Woodkid,excitement,Already processed
Sleep,Godspeed You! Black Emperor,excitement,Already processed
Static,Godspeed You! Black Emperor,excitement,Already processed
Natural,Imagine Dragons,excitement,Already processed
Now,Paramore,excitement,Already processed
The Sun,The Naked and Famous,excitement,Already processed
Stargazer,Rainbow,excitement,Already processed
Intro,Bullet for My Valentine,excitement,Already processed
Buried Alive,Avenged Sevenfold,excitement,Already processed
Blackout,Linkin Park,excitement,Already processed
Gold Dust,DJ Fresh,excitement,Already processed
True Love,Coldplay,excitement,Already processed
Specialist,Interpol,excitement,Already processed
Genesis,Pendulum,excitement,Already processed
Numb,Marina & the Diamonds,excitement,Already processed
Only You,Ellie Goulding,excitement,Already processed
Everytime,Foals,excitement,Already processed
Freak,Lana Del Rey,excitement,Already processed
Cherry,Lana Del Rey,excitement,Already processed
Bros,Wolf Alice,excitement,Already processed
Sister Ray,The Velvet Underground,excitement,Already processed
Real World,The All-American Rejects,excitement,Already processed
Fury,Muse,excitement,Already processed
Liar,Built to Spill,excitement,Already processed
Small Things,Ben Howard,excitement,Already processed
Cortez The Killer,Neil Young,excitement,Already processed
I Know Places,Taylor Swift,excitement,Already processed
The Ecstasy of Gold,Ennio Morricone,excitement,Already processed
Overture,Patrick Wolf,excitement,Already processed
Fantasy,MS MR,excitement,Already processed
Coming Home,Alter Bridge,excitement,Already processed
The Golden Age,Woodkid,excitement,Already processed
Deja Vu,Eminem,excitement,Already processed
Gypsy,Lady Gaga,excitement,Already processed
Devotion,Hurts,excitement,Already processed
The River,Imagine Dragons,excitement,Already processed
Broken Heart,Spiritualized,excitement,Already processed
Innocent,Our Lady Peace,excitement,Already processed
O Fortuna,Carl Orff,excitement,Already processed
Atlantis,Ellie Goulding,excitement,Already processed
Brother,Matt Corby,excitement,Already processed
Get Free,Lana Del Rey,excitement,Already processed
Just Another Girl,The Killers,excitement,Already processed
Surf Solar,Fuck Buttons,excitement,Already processed
Threshold,Sex Bob-Omb,excitement,Already processed
Hideaway,Passion Pit,excitement,Already processed
Snowfall,God Is An Astronaut,excitement,Already processed
Circles,Digitalism,excitement,Already processed
Heroin,Lana Del Rey,excitement,Already processed
All I Need,Awolnation,excitement,Already processed
True Love,Angels & Airwaves,excitement,Already processed
Save Me,Avenged Sevenfold,excitement,Already processed
Far Away,José González,excitement,Already processed
Overture,Björk,excitement,Already processed
Nietzsche,The Dandy Warhols,excitement,Already processed
Angel,The Weeknd,excitement,Already processed
Yearning,Mono,excitement,Already processed
Megalomania,Black Sabbath,excitement,Already processed
Still Breathing,Green Day,excitement,Already processed
Empire,Shakira,excitement,Already processed
Summertime,Girls,excitement,Already processed
9,Drake,excitement,Already processed
Therapy,Moderat,excitement,Already processed
The Hunter,Mastodon,excitement,Already processed
Goodbye,Avril Lavigne,excitement,Already processed
Slow,Grouplove,excitement,Already processed
The One,Kodaline,excitement,Already processed
Hungry,Paul Revere & The Raiders,neutral,Already processed
Forever,Third Day,sadness,Already processed
Hungry,Kathryn Scott,neutral,Already processed
Hungry,Loose Ends,reflective,Already processed
Hungry,Joy Williams,sadness,Already processed
Dreams,303MANSIN,neutral,Already processed
Intro,Taiga,reflective,Already processed
Hours,Tycho,reflective,Already processed
Still,Daughter,sadness,Already processed
Winter,Daughter,joy,Already processed
For You,Angus & Julia Stone,calm,Already processed
Ascension,Tycho,joy,Already processed
You,TV on the Radio,joy,Already processed
Desert,Émilie Simon,joy,Already processed
Eli,Caribou,reflective,Already processed
Baby Blue,Emilíana Torrini,reflective,Already processed
Swing,Zero 7,calm,Already processed
Intro,Doves,calm,Already processed
Lake Shore Drive,Aliotta Haynes Jeremiah,reflective,Already processed
On Your Side,Pete Yorn,reflective,Already processed
Lovesick,Banks,joy,Already processed
Fingertips,Emilíana Torrini,calm,Already processed
Better,Banks,neutral,Already processed
Burn It Down,Daughter,joy,Already processed
The Only One,Morphine,reflective,Already processed
17,Avril Lavigne,joy,Already processed
Brother,Annuals,joy,Already processed
Stranger,Goldfrapp,joy,Already processed
Gold,Wake Owl,joy,Already processed
Desire Lines,Lush,reflective,Already processed
Hypocrite,Lush,joy,Already processed
Simone,Goldfrapp,joy,Already processed
Heaven,Clairo,joy,Already processed
Introduction,Voxtrot,calm,Already processed
Breathe,FKA twigs,sadness,Already processed
Lovelife,Lush,calm,Already processed
The Air That I Breathe,Simply Red,joy,Already processed
Vegas,Poliça,joy,Already processed
Heartbeats,Grimes,sadness,Already processed
Gravity,Lusine,neutral,Already processed
The Road,Zero 7,reflective,Already processed
Glass,Daughter,joy,Already processed
Loving You,Jennifer Lopez,excitement,Already processed
America,XYLØ,sadness,Already processed
Driving,Everything But the Girl,reflective,Already processed
Shake Ya Ass,Richard Cheese,joy,Already processed
Who Am I,London Grammar,joy,Already processed
Coming Home,The 88,excitement,Already processed
Undertow,Lush,joy,Already processed
Blackout,Lush,calm,Already processed
It's Over,Milosh,neutral,Already processed
Fantasy,Alina Baraz & Galimatias,excitement,Already processed
Hope,Daughter,joy,Already processed
Witches,Daughter,joy,Already processed
Space,Thurston Moore,joy,Already processed
Departure,Daughter,joy,Already processed
I Am What I Am,Oceanlab,reflective,Already processed
Anna,Charlotte Gainsbourg,calm,Already processed
Double,Vetiver,calm,Already processed
Voices,Daughter,joy,Already processed
Amsterdam,Rick Ross,joy,Already processed
Haunted,Zomby,sadness,Already processed
Upside Down,Ledisi,joy,Already processed
Time,Onuka,sadness,Already processed
Devils,Say Hi,joy,Already processed
Mama,Annuals,joy,Already processed
Everything,Jehro,calm,Already processed
Boy,Emma Louise,joy,Already processed
In the Morning,Kelis,joy,Already processed
Sleep,Amanaska,joy,Already processed
Twilight,Lusine,calm,Already processed
Last Day,Teedra Moses,reflective,Already processed
Thrill,Dzihan & Kamien,joy,Already processed
Father,Annuals,reflective,Already processed
Bliss,Ilya,joy,Already processed
Breeze,Lush,joy,Already processed
Sunbathing,Lush,joy,Already processed
Somewhere,Pascal Pinon,joy,Already processed
Springtime,Annuals,joy,Already processed
Lucky,Lusine,joy,Already processed
Bitter,Lush,joy,Already processed
The Real Thing,The Maccabees,joy,Already processed
Ashes,Oceanlab,reflective,Already processed
Last Night,Lush,neutral,Already processed
She,The Sundays,reflective,Already processed
This Time,Land of Talk,joy,Already processed
For All We Know,Nat King Cole,neutral,Already processed
The Only One,Roy Orbison,reflective,Already processed
Show Me,Seal,joy,Already processed
Feel,Abra,sadness,Already processed
Mute,Loscil,reflective,Already processed
Amelia,Natalie Imbruglia,joy,Already processed
Wild,Seal,calm,Already processed
Morning,The Field,calm,Already processed
I'm In Love,Mary J. Blige,joy,Already processed
My Head Is My Only House Unless It Rains,Everything But the Girl,calm,Already processed
Magic,Sophie Ellis-Bextor,excitement,Already processed
The Light,Supreme Beings of Leisure,joy,Already processed
Out of Sight,Alphawezen,joy,Already processed
Can't Let Go,Amerie,joy,Already processed
The One,Tamar Braxton,neutral,Already processed
Hate,Cibelle,reflective,Already processed
Runaway,Lush,joy,Already processed
Anywhere,Dubstar,joy,Already processed
The Childcatcher,Lush,neutral,Already processed
Lullaby,Mariah Carey,reflective,Already processed
Hanging On,People Press Play,neutral,Already processed
Already There,The Sight Below,reflective,Already processed
Hurt So Bad,Grant Green,joy,Already processed
All For You,Haerts,joy,Already processed
Everything,Nitin Sawhney,joy,Already processed
Tu,Jennifer Lopez,joy,Already processed
Space,Prince,joy,Already processed
Pretty Girl,Eric Roberson,joy,Already processed
Surfin',Memory Cassette,joy,Already processed
Hideaway,Ivy,joy,Already processed
Lost and Found,Delerium,reflective,Already processed
The World,Milosh,joy,Already processed
Magpie,Abraham,calm,Already processed
Lucky,Donna Summer,excitement,Already processed
Your Voice,Milosh,reflective,Already processed
Lush Life,Lush,joy,Already processed
Tomorrow,Electric Youth,joy,Already processed
The Moment,Vargo,reflective,Already processed
Angel,8mm,reflective,Already processed
Drunk on Love,Basia,excitement,Already processed
Still Here,Aural Float,reflective,Already processed
The Air That I Breathe,k.d. lang,joy,Already processed
On Fire,JJ Grey & Mofro,sadness,Already processed
Little Bit of Heaven,Lisa Stansfield,joy,Already processed
Unfold,Alina Baraz & Galimatias,joy,Already processed
The Look Of Love,Gladys Knight & The Pips,calm,Already processed
Me,Paula Cole,reflective,Already processed
Whatever It Takes,Anita Baker,joy,Already processed
Turn Around,Donnie,excitement,Already processed
Weakness,The Wanted,joy,Already processed
Oasis,Ugly Duckling,reflective,Already processed
Wandering,The Hidden Cameras,joy,Already processed
Take Me,Teedra Moses,joy,Already processed
Melody,Sharleen Spiteri,reflective,Already processed
Ride,Supreme Beings of Leisure,reflective,Already processed
Family,The RH Factor,joy,Already processed
Show Me,Alina Baraz & Galimatias,joy,Already processed
Rules,Anita Baker,neutral,Already processed
Company,Halou,joy,Already processed
State of Grace,Seal,reflective,Already processed
Tristan,Two Steps from Hell,joy,Already processed
Undying Love,Two Steps from Hell,neutral,Already processed
Loneliness,Mercenary,reflective,Already processed
End Credits,Michael Giacchino,neutral,Already processed
War,Vince DiCola,excitement,Already processed
In the Hall of the Mountain King,Epica,excitement,Already processed
Europa,Adebisi Shank,excitement,Already processed
Alone,Forgotten Tomb,neutral,Already processed
Threshold,Corner Stone Cues,reflective,Already processed
Diva,Mark Mancina,joy,Already processed
Monument,Burst,excitement,Already processed
Prophecy,Decoded Feedback,neutral,Already processed
Now Or Never,Dew-Scented,joy,Already processed
Broken,Letum,neutral,Already processed
Untitled,Amduscia,neutral,Already processed
Badlands,Greg Edmonson,neutral,Already processed
Resurrection,Christopher Young,neutral,Already processed
Venus,Jack or Jive,neutral,Already processed
Ascension,Kehlvin & Rorcal,neutral,Already processed
Revelation,Shams,excitement,Already processed
Gimme Shelter,London Symphony Orchestra,neutral,Already processed
Overture,Johann Strauss II,neutral,Already processed
Absence,Infantjoy,neutral,Already processed
Mi zúg...?,Dalriada,neutral,Already processed
Tempus Fugit,Hörgr,neutral,Already processed
Ave Maria,Beyonce,joy,Already processed
Wanderer,Thoribass,reflective,Already processed
Evil,The Flaming Lips,neutral,Already processed
Big Bad World,Kodaline,excitement,Already processed
Crest,Tortoise,excitement,Already processed
Ecstasy,Dolores O'Riordan,joy,Already processed
Northern Lights,Waldeck,reflective,Already processed
David,Noah Gundersen,joy,Already processed
Wilderness,Matt Uelmen,neutral,Already processed
Prophecy,Mike Oldfield,reflective,Already processed
Desert,Matt Uelmen,neutral,Already processed
Pray,Lycia,reflective,Already processed
Wake Up,소녀시대,excitement,Already processed
Birth,The Residents,reflective,Already processed
Gloomy Sunday,Artie Shaw,sadness,Already processed
07,[unknown],neutral,Already processed
Mad Pursuit,Junkie XL feat. Electrocute,excitement,Already processed
Stay Home,Bang Gang,sadness,Already processed
Europa,Blondie,joy,Already processed
End to End,Woods Family Creeps,neutral,Already processed
Crystal,Curve,excitement,Already processed
Recurring Dream,Idiot Pilot,joy,Already processed
The One,Das Pop,joy,Already processed
Sacrifice,Patrick O'Hearn,reflective,Already processed
Love,The Twilight Singers,excitement,Already processed
Waterfall,Enya,excitement,Already processed
Eleven,James Murray,joy,Already processed
Gathering Dusk,Project Divinity,calm,Already processed
Kyrie,Kalafina,neutral,Already processed
Status,Hannah Fury,reflective,Already processed
Dreams,Kings Of Tomorrow,neutral,Already processed
Today,The Legends,joy,Already processed
Another Day,Roy Harper,sadness,Already processed
Peace Of Mind,Angelzoom,joy,Already processed
No One,Ms. John Soda,neutral,Already processed
Equinox,Origin Unknown,neutral,Already processed
Orange,Cell,joy,Already processed
Out of Control,Stereo MC's,excitement,Already processed
Paint It Black,Siobhan Magnus,joy,Already processed
Untitled,Saybia,excitement,Already processed
Atomic Soda,Babybird,sadness,Already processed
The Dancer,Ane Brun,neutral,Already processed
P.S.,The Working Title,neutral,Already processed
Frozen Silence,Celestial Aeon Project,reflective,Already processed
Cemetery,Project Divinity,neutral,Already processed
Otherworld,Delerium,neutral,Already processed
Shiver,Vendetta Red,reflective,Already processed
Little One,Rose Kemp,joy,Already processed
The Cage,Jarboe,neutral,Already processed
Whisper,安室奈美恵,excitement,Already processed
Vampire,The Blakes,sadness,Already processed
Sinner,Jarboe,sadness,Already processed
Rage,Jarboe,sadness,Already processed
Mask,Keiko Matsui,joy,Already processed
Forever,Jarboe,neutral,Already processed
Mississippi,Jarboe,joy,Already processed
Medusa,An Pierlé,joy,Already processed
Mirror,X-Perience,calm,Already processed
Winter Kills,Alison Moyet,joy,Already processed
Home,Quintero,joy,Already processed
I'm Falling,Saint Etienne,excitement,Already processed
Human Fly,The Dead Brothers,neutral,Already processed
Beautiful Machine,Alina Simone,joy,Already processed
Catacomb,James Dooley,joy,Already processed
Utopia,McCoy Tyner,joy,Already processed
Harmony,Matzak,neutral,Already processed
The Call,Steve Roach,joy,Already processed
Don't Stop,Professional Murder Music,neutral,Already processed
The Long Way Home,David Arkenstone,reflective,Already processed
Melt,Shiloh,reflective,Already processed
The Electrician,Scott Walker,excitement,Already processed
Tomorrow Never Knows,Monsoon,joy,Already processed
Fire,SaReGaMa,joy,Already processed
III,Phelios,joy,Already processed
The Chase,Quintet Plays,joy,Already processed
Rhodes,Anima Sound System,joy,Already processed
Revelations,Wurdulak,sadness,Already processed
The Secret,A Cuckoo,joy,Already processed
Labyrinth,中森明菜,joy,Already processed
Temptation,Iona,joy,Already processed
Tempest,Voice of Eye,joy,Already processed
Why,Joe Jackson,joy,Already processed
Desert Song,Dead Can Dance,reflective,Already processed
Destination,The Church,neutral,Already processed
Shabda,Mike Oldfield,reflective,Already processed
Illuminated,múm,joy,Already processed
The River,Kero Kero Bonito,excitement,Already processed
Black Forest,Goblin,neutral,Already processed
Outremer,Irfan,sadness,Already processed
Pop Song,David Sylvian,neutral,Already processed
Main Theme,Jeremy Soule,joy,Already processed
Sleeping Giant,Herbie Hancock,excitement,Already processed
Lament,Arcana,sadness,Already processed
Jerusalem,Jeff Bjorck,joy,Already processed
Departure,Frozen Silence,calm,Already processed
Somewhere,Bomb the Bass,reflective,Already processed
Sunshine,Old Man River,excitement,Already processed
Avatar,Ephemeral Sun,sadness,Already processed
Swept Away,Nicholas Gunn,joy,Already processed
Adagio,Suzanne Ciani,joy,Already processed
Liebe,Ayla,joy,Already processed
Intro,P.M. Dawn,excitement,Already processed
Snake Charmer,Nox Arcana,joy,Already processed
Mercury,Kirsty Hawkshaw,reflective,Already processed
Sacrifice,Geomatic,sadness,Already processed
Strength,Bvdub,joy,Already processed
Hare Krishna,Shantala,joy,Already processed
Kyrie,Tomás Luis de Victoria,excitement,Already processed
Voices,Cabeiri,sadness,Already processed
Gayatri Mantra,Namasté,reflective,Already processed
Drowning,All About Eve,sadness,Already processed
December,New Modern Angels,excitement,Already processed
Antarctica,Alan Parsons Feat. Shpongle,excitement,Already processed
Eleven,Ataraxia,sadness,Already processed
Into the Labyrinth,Skyedance,excitement,Already processed
Theme,Jaggery,sadness,Already processed
Asleep,The Hypnomen,sadness,Already processed
Snakecharmer,iVardensphere,excitement,Already processed
Saturn,Susan Raven,excitement,Already processed
Reunion,Dada Dumdums,reflective,Already processed
Shivoham,Craig Pruess,reflective,Already processed
Home,Mono Band,excitement,Already processed
The Rebirth,Omiq Project,reflective,Already processed
Sail Away,Angela Bofill,joy,Already processed
Morpheus,Maissouille,neutral,Already processed
Pure,Spear,excitement,Already processed
On My Own,Delta Goodrem,neutral,Already processed
Sacrifice,Yuval Ron,joy,Already processed
Amazing Grace,Daniel Kobialka,joy,Already processed
Sometimes,Gribal,sadness,Already processed
Lament,Dark Arts,joy,Already processed
I Wonder,Nikita Lumet,excitement,Already processed
Reflections,Steve Dressler,excitement,Already processed
The Water Is Wide,Daniel Kobialka,joy,Already processed
Apollo,Tin Raven,reflective,Already processed
Invocation,Bohuslav Martinů,excitement,Already processed
Entrance,Hall Of Mirrors,excitement,Already processed
Flower in the Universe,島みやえい子,reflective,Already processed
Atlantis,Ecco II: Tides of Time,neutral,Already processed
Murder,River String Lizards,sadness,Already processed
Nightfall,AmTronic,excitement,Already processed
Ever After,Wendy & Lisa,reflective,Already processed
Every Season,Nicole Mordeman,reflective,Already processed
My Sweet Lord,George Harrison,joy,Already processed
Hallelujah,Leonard Cohen,reflective,Already processed
River,Leon Bridges,neutral,Already processed
Ave Maria,Michael Bublé,neutral,Already processed
Anthem,Leonard Cohen,reflective,Already processed
Save Me,Listenbee,neutral,Already processed
Benedictus,Simon & Garfunkel,joy,Already processed
Horizon,Nujabes,reflective,Already processed
Well Balanced,Oliver Shanti,reflective,Already processed
Ave Maria,Sarah Brightman,reflective,Already processed
Faith,Ghost,neutral,Already processed
Lightning,Eric Church,reflective,Already processed
Underwater,Ghostface Killah,neutral,Already processed
Run To You,The Rocket Summer,joy,Already processed
Amazing Grace,Judy Collins,joy,Already processed
Goodbye,Tracy Chapman,reflective,Already processed
In the Dark,Tracy Chapman,reflective,Already processed
Still,Hans Zimmer,joy,Already processed
Lament,Ronan Hardiman,joy,Already processed
Spiritual,John Coltrane,neutral,Already processed
In the Lord's Arms,Ben Harper & The Innocent Criminals,joy,Already processed
Ave Maria,Paul Schwartz,reflective,Already processed
God Only Knows,Cornelius,joy,Already processed
