track,artist,final_emotion,lyrics,reason
Phoner To Arizona,Gorillaz,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sense of Doubt,David Bowie,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sigur Rós,Sigur Rós,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
In the House - In a Heartbeat,John Murphy,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Koyaanisqatsi,Philip Glass,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
In Dark Trees,Brian Eno,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Loner,Burial,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Weeping Wall,David Bowie,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Know Where,Holy Other,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Uritual,Boards of Canada,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Jazz Thieves,Depeche Mode,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Come to Dust,Boards of Canada,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
11 Ghosts II,Nine Inch Nails,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Intriguing Possibilities,Trent Reznor and Atticus Ross,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Iron Sea,Keane,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Motion,Balam Acab,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Heart's All Gone Interlude,blink-182,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dragvandil,Grimes,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
In the Fog I,Tim Hecker,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Touch,Holy Other,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dark Rift,God Is An Astronaut,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Tree,Aphex Twin,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Dropsonde,Caspian,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Slow Acid,Calvin Harris,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
32 Ghosts IV,Nine Inch Nails,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Requiem on Frankfort Ave.,Eluvium,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
363N63,King Krule,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Black Noise,Nine Inch Nails,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Burnout Eyess,oOoOO,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Manipulated Living,Michael Andrews,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Old Dreams Waiting to Be Realized,The Knife,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Cellar Door,Michael Andrews,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Searchers,Amon Tobin,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Clubbed to Death (Kurayamino Variation),Rob Dougan,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Phloam,Aphex Twin,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Tangent Universe,Michael Andrews,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Cloudscape,Philip Glass,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
A Dark Knight,Hans Zimmer & James Newton Howard,joy,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Engine of Ruin,Earth,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Maximum Black,Bohren & der Club of Gore,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Driver Down,Trent Reznor,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Hatred of Music II,Tim Hecker,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
A Dios Alma Perdida,Static-X,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Subsonic,Com Truise,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Hound,Salem,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dub Gussett,Leftfield,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mind If I Cut In?,Hans Zimmer,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Matta,Brian Eno,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Resident Evil Main Title Theme,Marilyn Manson,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
In the Air I,Tim Hecker,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Confessions (feat. Leland Whitty),BADBADNOTGOOD,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Theme From Retro,Blur,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Pree-Sisters Swallowing a Donkey's Eye,Neutral Milk Hotel,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
3:14 Every Night,Trent Reznor and Atticus Ross,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Afx237 V7,Aphex Twin,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Spring Heeled Jack Flies Tonight,Tim Hecker,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Don't You Think I Do,James Blake,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Killing Spree,Chromatics,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Suspiria,Goblin,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
"Killr Punx, Scary Demons",Wavves,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
"In This Temple, as in the Hearts of Man, for Whom He Saved the Earth",Sufjan Stevens,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Shitty Chicken Gang Bang,Marilyn Manson,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
alive,Arca,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
God Is Dead,Midtown,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Conduct,The Durutti Column,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Overgrowth,Aperture Science Psychoacoustics Laboratory,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
What Have We Done to Each Other?,Trent Reznor and Atticus Ross,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Áfram Ísland,Sigur Rós,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Leo Needs a New Pair of Shoes,Ben Frost,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Crimson Tears (Epilogue),Katatonia,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Future Umbrella,Shugo Tokumaru,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Infiltration,Trifonic,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
How To Kill,Art of Noise,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Half a Pony,Igorrr,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dans ses cheveux soixante circuits,Fly Pan Am,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Waltzinblack,The Stranglers,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Remodeling,Akira Yamaoka,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Christmas Island,Depeche Mode,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Forest Temple,近藤浩治,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Nuit Silencieuse,Kaada/Patton,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
THE DOLL HOUSE I,川井憲次,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Morax,Arcturus,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Jill's America,Ennio Morricone,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Alpenrausch,Monolake,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
raw breath of danger,鷺巣詩郎,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Tristram,Matt Uelmen,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Gallery of the Invisible Woman,Aidan Baker & Tim Hecker,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Whitewater,Tortoise,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Jar,Negură Bunget,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Kryptonite Smokes the Red Line,Isotope 217,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Map Room: Dawn,John Williams,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Woolloomooloo,Jean Michel Jarre,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dream Of Chant,Kitaro,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
False Memory Syndrome,The Caretaker,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Suspiria - Originale,Goblin,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Well of the Souls,John Williams,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Madrigal Meridian,Tangerine Dream,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Edward's Hands,Sébastien Schuller,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
It Is Raped,Nine Inch Nails,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Trailer 2,Mono & World's End Girlfriend,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dreams of Leaving,Akira Yamaoka,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Isabella,Corvus Corax,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Persistent Repetition of Phrases,The Caretaker,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mio Pianto,高木正勝,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Pharotek,Frank Klepacki,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
2/1 (2004 Digital Remaster),Brian Eno,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Zoolook (Remix),Jean Michel Jarre,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Movement VIII,Vangelis,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Timetakesthetimetimetakes,Peder,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Who Am I?,植松伸夫,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Bells,Ramin Djawadi,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Intro (Season of Glass),여자친구,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Voyager,Clannad,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
2/2 (2004 Digital Remaster),Brian Eno,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Water of Mystery,Kitaro,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Laurie Knows,John Carpenter,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Oxygene Part 5,Jean Michel Jarre,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Despair,Ennio Morricone,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Self Esteem Fund,Valve,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Creeping Shadows,鷺巣詩郎,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Gehn's Theme,Robyn Miller,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Pomme Fritz (meat `n veg),The Orb,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Midna's Theme,近藤浩治,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mephisto,Matt Uelmen,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Father,Aphex Twin,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
A Day by Atmosphere Supreme,Nujabes,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Unsaid,Little People,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
I Wanna Go Back,Onra,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Magdalene,Akira Yamaoka,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dungeon,川井憲次,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Little Bit of Soul,DJ Format,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Pura-Vida,Guts,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sleep Dirt,Frank Zappa,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sand,Allan Holdsworth,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
React,Robert Rich & Ian Boddy,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
In That Quiet Earth',Genesis,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
spaceship instrumental,Kanye West,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
