track,artist,final_emotion,lyrics
Beautiful,Sevendust,anger,"200 miles per hour
That's how fast I seem to go

With the weight of the world on my
Shoulders
Slow down. come and catch us all

Wait!
Slow Down!
Take!
Slow Down!
Why can't you help me?
Slow Down!

Feel
When I'm in doubt

I need something beautiful
To fill the space we've taken up
I need something to feel real
Again before I go numb

Downward spiral. a kaleidoscope view
Is what you're seeing saying so jaded
The picture I drew

Wait!
Slow Down!
Take!
Slow Down!
Why can't you help me?
Slow Down!

Feel
When I'm in doubt

I need something beautiful
To fill the space we've taken up
I need something to feel real
Again before I go numb

Come again. Come Again. Come Again!
Wait!
Take!
Wait!
Why can't you help me?

Wait!
Take!
Wait!
Take!

Feel when I'm in doubt
Feel when I'm in doubt

I need something beautiful
To fill the space we've taken up
I need something to feel real
Again before I go numb

Are you alive?

I need something beautiful
To fill the space we've taken up
I need something to feel real
Again before I go numb

Are you alive?
Are you alive?

I'm alive
When I'm in doubt
I'm alive

I'm alive
When I'm in doubt
I'm alive"
Accelerator,Primal Scream,anger,"What's this useful optimism
Empty headed kids are bad
God I'm feeling I got a hunger
I love my soul I'm satisfied

Come on, come on
Hit the accelerator, the accelerator
Come on, come on
Hit the accelerator, the accelerator

Living on to be a sinner
Lord it's hard to be a saint
Had a sister, had a grandma
It's bad to show I can't let you in

Come on, come on
Hit the accelerator, the accelerator
Come on, come on
Hit the accelerator, the accelerator
Come on

Here we come, we're coming fast
Out the upside into the past
Forced to screaming in my head
Into the future, into the future

Come on, come on
Hit the accelerator, the accelerator
Come on, come on
Hit the accelerator, the accelerator

Come on, come on
Hit the accelerator, the accelerator
Come on, come on
Hit the accelerator, the accelerator

Come on"
#1 Hit Song,Minutemen,anger,"On the back of a winged horse
Through the sky of pearly grey

Love is leaf-like
You and me, baby

Twinkle, twinkle
Blah, blah, blah
E.T.C"
Debbie,Architecture in Helsinki,anger,"So I shook hands with you freely
Made a promise not to clean the slate
And I didn't need you 'til melody
Drew a line between love and hate
And I know I can be self righteous
And we both like to stretch the truth
But there's never been a song or a melody
That reminds me less of you

Hey there, hey there
Debbie down, Debbie down, Debbie down
Hey there, hey there
Debbie down, Debbie down, Debbie down

And I felt my head exploding
So I left it beside the road
In the tall grass where all the deer despair
At the thought of being stuffed in my home
And first we were antisocial
'Til we tried hibernating through
All the seasons where you dye your hair
In a failed attempt on blue

Said the fibber to the snake
There's an opportunist dude
Watch his mouth it's open wide
And he's trying not to eat you

Said the fibber to the snake
There's an opportunist dude
Watch his mouth it's open wide
And he's trying not to eat you

Said the fibber to the snake
There's an opportunist dude
Watch his mouth it's open wide
And he's trying not to eat you

Hey there, hey there
Debbie down, Debbie down, Debbie down
Hey there, hey there
Debbie down, Debbie down, Debbie down"
Sanctuary,Cavalera Conspiracy,anger,"Loaded with dynamite
I don't give a fuck 'cause everybody die tonight
Call me negative, call me what you want
You are nothing, never was, never will

My hostility
My sanctuary
My reality
My sanctuary, underground

Coming with the storm
You wish you were never born
Fucked up reality
I'll take your soul and plant my seed

My hostility
My sanctuary
My reality
My sanctuary, underground

No excuses, no regrets
Everybody die tonight, everybody die tonight
No divisions, no turning back
Everybody die tonight, everybody die tonight

Sanctuary, sanctuary
Everybody die tonight, everybody die tonight
Sanctuary, sanctuary
Everybody die tonight, everybody die tonight"
Blunt After Blunt,Danny Brown,anger,"Kush gott a nigga feeling awesome
Ate that bitch pussy 'til she squirted like a dolphin
Told her bend over, hit that shit doggy
Called her a cab then I told that bitch to call me
Danny Brown bitch, tell me what you need
I got some Adderall and fire ass weed
And they try to tell me I get too high
That's a lie, if so, bitch, I woulda been died
But the flow OD, don't get cochesed, capiche?
Fuck with me, fuck around and be deceased
Rest in peace wack niggas with oversized clothes
Complain about my jeans cause I'm taking all they hoes

Hold up, wait a minute
Your pussy ain't shit 'til you had some Danny in it
I'm gone off a Xanny nodding off watching menace
Rolling off some purple that my nigga call Grimmace

Bitch I ain't finish
These bars was test tubed in the lab with foreign chemist
Rolling testers on it but statistics got slumped
I'm smoking blunt after blunt

And I smoke
Blunt after blunt, after blunt, after blunt, after blunt, after blunt

And I smoke
Blunt after blunt, after blunt, after blunt, after blunt, after blunt

And I smoke
Blunt after blunt, after blunt, after blunt, after blunt, after blunt

And I smoke
Blunt after blunt, after blunt, after blunt, after blunt, after blunt

Stop
'Til my brain feels ten pounds heavier
You fell off like Tom Selleck in a Celica
Bitch give me brain for the hell of it
But to her it's heaven if she even gets a smell of it
That's why these bitches fuck with me
'Cause I eat that pussy like a female MC
You get it? How about me and your girlfriend, you with it?
Money over everything the only thing that matter
And since I been getting it my blunts been getting fatter
Take a couple puffs off it now a nigga woozy
The white hoes I fuck with consider them whooties
We 'bout to make a movie, starring me and a cast full of groupies
And I do my own stunts, I'm smoking blunt after blunt

And I smoke
Blunt after blunt, after blunt, after blunt, after blunt, after blunt

And I smoke
Blunt after blunt, after blunt, after blunt, after blunt, after blunt

And I smoke
Blunt after blunt, after blunt, after blunt, after blunt, after blunt

And I smoke
Blunt after blunt, after blunt, after blunt, after blunt, after blunt

Stop"
Full Disclosure,Fugazi,anger,"Oh, i don't want one
I don't want one
I don't want one
(X7)

I want a mutally assured destructive life
Seizing separate culture
To take me over
Moving silent like radar
Take me over, and blow out my mind now
Full disclosure, coming sponsered by no one
Take me over, and blow out my mind now

Ejected

Oh, i don't want one
I don't want one
I don't want one
(X3)

I want a mutally assured destructive life
Seizing separate culture
To take me over
Moving silent like radar
Take me over, and blow out my mind now
Full disclosure, coming sponsered by no one
Take me over, and blow out my mind now

Blow out my mind now (x2)
Full disclosure (x3)

Ejected"
Thru the Walls,Death Grips,anger,"Why can't just walk through the walls?
Through the walls
Why can't just walk through the walls?
Through the walls
(If you're delusional your call
Will be transferred to the mother ship)
Ugh! (Yes I like the drug)

I'm coming through, thought you knew, fuck if you didn't, fuck you
Plutonium lore
What this is, what this for
Feel my fists push black holes
Through your bitch ass decor
Split it back like a whore
And make you shit your fucking drawers

Scared to ride, cowards fall
Before my eyes, sound of my balls
Dragging like cannon loaded wagons
Drug by demons down your halls

Can't imagine whats fit to happen
When I get to flashing, see the small
Shrink to a fraction of what their lacking
And less than that in no time at all.
Can't believe they have the gaul
To try and act like they're not trapped
Between these walls ...

Bring it, bring it, bring it, kill it

Bring it, bring that shit heated
Sling it, bring back that shit - kill it
Bring it, bring that shit heated
Sling it, bring back that shit - kill it (kill it)
Bring it, bring that shit, that shit
Bring it, bring back that shit, bring that
Bring it, bring that shit, that shit
Bring it, bring back that shit, bring that
Bring it, bring that shit heated
Sling it, bring back that shit - kill it (kill it, kill it, kill it)

Sometimes feel like I'm close but never get there
NEVER GET THERE
Does it mean I'm a ghost if I'm still here?
WANNA LEAVE HERE
And if I am why can't I just float through the walls?
THROUGH THE WALLS
And if I can, were they even ever there at all?
NOT AT ALL

Too much time spent in the maze will drive you mad, I feel so bad
Been there so long I can't remember who I am, or where I stand
But in the end I guess I just don't give a damn
Twist a gram and keep on sticking with the original plan
Fuck it man
Judge you no more than I wish to be judged
Even on the low
But I do know what you do not speak of
Don't know but it shows
Try to hide but I see who you are because
I just know
Keep talking but you already said too much
There you go

How it is now's how it it always was
That's on my blood
How it is now's how it it always was
That's on my blood

Bring it, bring that shit heated
Sling it, bring back that shit - kill it
Bring it, bring that shit heated
Sling it, bring back that shit - kill it (kill it)
Bring it, bring that shit, that shit
Bring it, bring back that shit, bring that
Bring it, bring that shit, that shit
Bring it, bring back that shit, bring that
Bring it, bring that shit heated
Sling it, bring back that shit - kill it (kill it, kill it, kill it)

See my blood spill drip, by chances
Try to chill, quit, cuz I can't just slip into a zagthoth trance
Tongue hissing, serpent chants
Come again work it in, yeah just like that

We paint our insides black
As the shadows 'hind our flesh
And make all that we lack
The part of life that we forget
All praise due to the fact
That we've forgotten how to sweat it
Check it
Bring it
KILL IT

On everything I own
Swear would rather slit my throat and die on the run
Than be the one who ends up hangin from that rope
Tied to the thumb of the man who
Comes to empty your pockets when you choke
Got to get that shit myself and get the fuck out of this game
Before I end up getting stuck with no one but myself to blame
All the way insane
Staring at the ceiling
In the dark
Trying not to let the feeling
Tear you apart
But the silence is buzzing
And it won't stop
Tell yourself its almost over
But its not"
It's So Easy,Willy DeVille,anger,"You know you're sliding down
Against your heart
Yeah, you got one

Just close your eyes
So you can see
So you can see

No baby, I don't care
What they say
It's so easy

No baby, I don't care
What they say
It's so easy

Yeah, it's coming on
It's getting sweeter
And sweeter

If you're gonna drown
Then do it the right way
Do it the right way

I don't care what they say
It's so easy

I don't care what they say
It's so ha ha ha ha...
It's so easy
It's so easy
It's so easy
Ha ha ha ha
Oh baby...
Yeah yeah...
It's so easy
It's so easy..."
Lazy (Lazy),Architecture in Helsinki,anger,"And he's mean talking
Bean stalking icy man
My feet are walking over him
My sneakers in his hand

And with a picket for a knife
And a rocket to depart in
My life had barely started
When you jumped all on my heart

And now we're lazy, lazy
Ooh, lazy, lazy

In the galaxy of stars
With nothing in the middle
'Cept the planet that we own
And it's playing second fiddle

And we're bogged down in a delta of glee
And my mouth has sprung wide open
We got tickets they were free

And can you keep sleeping metaphysical girl?
Since the stars predicted something new
Would reconnect our worlds

And now we're lazy, we're lazy
Ooh, lazy, lazy

Can we grow, can we grow
Can we grow out? Whoa
Can we grow, can we grow
Can we grow out? Whoa

Can we grow, can we grow
Can we grow out? Whoa
Whoa, whoa, whoa
Whoa, whoa, whoa

And he's mean talking
Bean stalking icy man
My feet are walking over him
Sneakers in his hand

And with a picket for a knife
And a rocket to depart in
My life had barely started
When you jumped all on my h-h-h-heart"
Wollt Ihr Das Bett In Flammen,Rammstein,anger,"Wollt ihr das Bett in Flammen sehen?
Wollt ihr in Haut und Haaren untergehen?
Ihr wollt doch auch den Dolch ins Laken stecken
Ihr wollt doch auch das Blut vom Degen lecken

Rammstein

Rammstein

Ihr seht die Kreuze auf dem Kissen
Ihr meint, euch darf die Unschuld küssen
Ihr glaubt, zu töten wäre schwer
Doch wo kommen all die Toten her?

Rammstein

Rammstein

Rammstein

Sex ist eine Schlacht
Liebe ist Krieg
Sex ist eine Schlacht, ja
Liebe ist Krieg

Sex ist eine Schlacht
Liebe ist Krieg
Sex ist eine Schlacht, ja
Liebe ist Krieg

Wollt ihr das Bett in Flammen sehen?
Wollt ihr in Haut und Haaren untergehen?
Ihr wollt doch auch den Dolch ins Laken stecken
Ihr wollt doch auch das Blut vom Degen lecken

Rammstein

Rammstein

Rammstein

Rammstein
Rammstein
Rammstein
Rammstein

Rammstein
Rammstein
Rammstein
Rammstein

Rammstein
Rammstein
Rammstein
Rammstein

Rammstein
Rammstein
Rammstein
Rammstein"
It's Expected I'm Gone,Minutemen,anger,"I don't want to hurt
See my position was here
I mean as it was I was

So this led to the downfall of man
I can make seconds feel hours

I make certain
That my head is connected to my body

No hope
See, that's what gives me guts
Big fucking shit
Right now, man"
Melody of Certain Three,Blonde Redhead,anger,"Crawl, crawl as a child
Move like a man
Pushing like a father
Pulling like a friend
Whatever it takes forever it seems
But despite of all that all is well
Sexing like stone
Hot as the sand
Entering a life
Exiting with a man
Whatever it takes forever it seems
But despite of all that all is well
Sometimes I spin around for days
Skip and chase and say
Forget about tomorrow
Until I realize
This valid and logic motion
Is what keeps me from moving
I don't understand
Running running on tracks
With feet on the ground
It will only slow me down
And which way the wind blows
I run like a man ready to go anywhere
When I am so timid
You'll be my words
When I am most effective
You act like a stone
Whatever it takes forever it seems
But despite of all that all is well"
A Nation On Fire,Machine Head,anger,"Well I see, I feel
On my way
You close your eyes, scared to think
You might see
A world that spends more to kill than to cure
Living, writhing, diseased, so unpure
It hardens me, the things I see
But I won't break. it gives me strength
Our suffering. won't always be
We'll dominate. this nation on fire
The media it
Blinds out eyes
A people divided
And force fed lies
The black and white societies corrode
Warring, hating, blind, a rage explodes
So take my hand, across this land
I won't go down, stand my ground
Our suffering. won't always be
We'll dominate. this nation on fire
This nation's built on fighting war after war
And for my brothers, I will fight and stand for
'Cause I won't break. Your truth is fake
If blood ran red, you'd leave me for dead
A nation on fire
A nation on fire
You tell me peace, well I hear gunshots all night
The scars I have, I've earned 'cause I've had to fight
An endless pain, and it won't change
We just sat, and watched this world die
A nation on fire
A nation on fire"
Kill All the White People,Type O Negative,anger,"Kill all the white people
Kill all the white people
Then we'll be free
We'll be free

Kill all the white people
(Kill all the white people)
Kill all the white people
(Kill all the white people)
Then we'll be free (then we'll be free)
We'll be free (oh)

Uhh
Ah
Uhh
Kill them all, man
Kill them all
Ah

(1, 2, 3, 4)
(1, 2, 3, 4)
(1, 2, 3, 4, 5)

Ooh
Ah
Ooh
Ah

Then we'll be free (then we'll be free)
Then we'll be free (then we'll be free)
Then we'll be free (then we'll be free)
Then we'll be, we'll be free (oh)

Ooh power, black power
Destroy white boy

Yo by any means necessary
Word"
Killer In You,Limp Bizkit,anger,"There's a motherfucking killer on the loose
And he'll destroy every single one of you
You'd better watch it 'cause he's lookin' for your ass now
Better lock all your doors, shut the house down
He's making a list and he's checkin' it twice
He was born pissed and he's ready to slice
His reality ain't like yours and mine
He can shed blood, I hope it ain't mine
He don't give a fuck if you cryin' for help
He was born blind in the chambers of hell
Satan gave this homeboy a license to kill
And if he comes knockin' I'ma show him the deal

What the fuck you gonna do about that?
What the fuck you gonna do about that?
When the killer showing up with a gat
You gon' have to grab your ass a baseball bat
Remind this motherfucker where the home run's at
What the fuck you gonna do about that?
What the fuck you gonna do about that?
You gon' have to face the moment of truth
You know what to do
You gonna to have to go and find the killer in you

He's got a trunk full of hatchets and shit
Bombs, gasoline, matches and shit
Anything that make a human die quick
Creepin' in the night like some super-sly shit
So scandalous, everything about him wrong
Chainsaw stalk none at the crack of dawn
Leatherface is a pussy, It don't compare
He'll have you shitting in your motherfucking underwear
All you homies that can hunt better get a grip
He'll kill your wife and your baby sleeping in the crib
We gotta stop him
Shut this motherfucker down
Show his ass who runs this motherfucking town
Show his ass who runs this motherfucking town

What the fuck you gonna do about that?
What the fuck you gonna do about that?
When the killer showing up with a gat
You gon' have to grab your ass a baseball bat
Remind this motherfucker where the home run's at
What the fuck you gonna do about that?
What the fuck you gonna do about that?
You gon' have to face the moment of truth
You know what to do
You gonna to have to go and find the killer in you

Plant that motherfucker on the curb
Saw the killer in you
Show that motherfucker what the deal
What's real

Now it's real

Yeah
(Kill that motherfucker, kill that kill that motherfucker
Kill that motherfucker, kill that kill that motherfucker
Kill that motherfucker, kill that kill that motherfucker
Kill that motherfucker, kill that kill that motherfucker)

What the fuck you gonna do about that?
What the fuck you gonna do about that?
When the killer showing up with a gat
You gon' have to grab your ass a baseball bat
Remind this motherfucker where the home run's at
What the fuck you gonna do about that?
What the fuck you gonna do about that?
You gonna have to face the moment of truth
You know what to do
You gonna to have to go and find the killer in you"
Furor Divinus,Behemoth,anger,"Veto! I vomited forth
From a throat choked by rope
As lunatic mob shackled maimed feet
Tore asunder both wings

Pluck my eyes out, rip my tongue
Make me slave to gravity
Bleed dry ov tears, weep with blood
Leave to atrophy

I sought reprisal high and low
I spew forth plagues to taint their soil
I crept under the shadow ov purity
In my hour ov pious wane
I turned to boundless catechism
Behold the anathema ov benediction
Sacrilege in Gethsemane manifest
Furor Divinus
Anointed sin became flesh

Emerge, the accuser ov all
Hark the universe, cries forlorn
Bleeds from black lungs ov hell
Deflowered by the horns

And so I reversed the wheel ov my fortune
Strike blind the eye ov the lion
With every breath stolen from their lips
I raped and raped and raped the daughters ov Zion
Raise the dagger Abraham
Slit the throat ov thy only son
Reverse the history ov man
Fuck and reset the world

Pluck my eyes out, rip my tongue
Make me slave to gravity
Bleed dry ov tears, weep with blood
Leave my cross to atrophy"
Out Of My Way,Seether,anger,"Out of My Way

I can't pass up this opportunity to make myself absurd
I can't pass up this opportunity to let myself be heard
Would you, like to, be the one who sees me lose this all
Would you, like to, be the one who sees me fall

Nobody's gonna stand in my way
Give it up son, I'm doing this my way
Nobody's gonna stand in my way
Give it up son, I'm doing this my way

You like to think the worst is over now but you can't breathe at all
You like to think your owed a favor now but man you've seen it all
Did you, want to, be the one who pushed me off the wall
Did you, want to, be the one who let me fall

Nobody's gonna stand in my way
Give it up son, I'm doing this my way
Nobody's gonna stand in my way
Give it up son, I'm doing this my way

You can't hold me down
You can't hold me down
You can't hold me down
You can't hold me down

I can't pass up this opportunity to make myself absurd
I can't pass up this opportunity to let myself be heard
Would you, like to, be the one who sees me lose this all
Would you, like to, be the one who sees me fall

Nobodys Gonna Stand in My Way
Give it up son I'm doing this my way
Nobodys gonna stand in my way
Give it up I'm doing this my way
Nobodys gonna stand in my way
Give it up, I'm doing this my way
Out of My way!"
Project Mayhem,Finch,anger,"She shouts, ""The most incessant, the most deplete""
She said, ""Show me conscience with nothing to eat""
She said, ""Null the worm""
Let's sober up
Caught in time with the fizz of the burn
And so we burn
Can you begin at the ending,
So that I may begin again?
I took this from you,
I thought I was you
Now don't misunderstand me
I never meant to create you
Only mayhem"
Kerosene,Big Black,anger,"I was born in this town
Live here my whole life
Probably come to die in this town
Live here my whole life
Never anything to do in this town
Live here my whole life
Never anything to do in this town
Live here my whole life
Probably learn to die in this town
Live here my whole life
Nothing to do, sit around at home
Sit around at home, stare at the walls
Stare at each other and wait till we die
Stare at each other and wait till we die
Probably come to die in this town
Live here my whole life
There's Kerosene around, something to do
There's Kerosene around, she's something to do
There's Kerosene around, she's something to do
There's Kerosene around, we'll find something to do
Kerosene around, she's something to do
Kerosene around, set me on fire
Set me on fire, Kerosene
Set me on fire, Kerosene
Set me on fire, Kerosene
Set me on fire, Kerosene
Set me on fire
Kerosene around, something to do
There's Kerosene around, find something to do
There's Kerosene around, find something to do
Kerosene around, find something to do
Kerosene around, she's something to do
Kerosene around, set me on fire
Set me on fire, Kerosene
Set me on fire, Kerosene
Set me on fire, Kerosene
Set me on fire, Kerosene
Set me on fire
Kerosene around, she's something to do
Kerosene around, now what do we do?
Jumped Kerosene, now what do we do?
Jumped Kerosene, now what do we do?
Kerosene around, nothing to do
Jumped Kerosene, now what do we do?
Never anything to do in this town
Never anything but jump Kerosene
Never anything to do in this town
Never anything
Jump Kerosene
Set me on fire, Kerosene
Set me on fire, Kerosene
Set me on fire, Kerosene
Set me on fire, Kerosene
Set me on fire"
What If We Could,Blue October,anger,"What if we could
Put our lives on
Hold and meet some
Where inside of the world
I would meet you
Would you meet me?

2, 3, 4...

On a park bench
On a skyscrape
On a mountain
Oh yeah, whatever it takes
I would meet you
Would you meet me?

I'm glad to say that we've met
But I'm sad to say that the circumstances weren't
On our side

So go on
Go on be your own
Go on be your own star

What if we could?
Where would we go?
If it felt right
Would you want me to know
I would meet you
Would you meet me

It's like a last chance
For a first dance
You're a sunrise
Can't somehow exist
I would meet you
Would you meet me

I'm glad to say that we've met
But I'm sad to say that the circumstances weren't
On our side

So go on
Go on be your own
Go on be your own star

A simple star in my eyes
In my eyes

Look in my eyes
Just look in my eyes
My eyes
My eyes!

What if we could
Put our lives on
Hold and meet some
Where inside of the world
I would meet you
Would you meet me?

On a park bench
On a skyscrape
On a mountain
Oh yeah, whatever it takes
I would meet you
Would you meet me?

God I would
God I would
I would meet you
Would you meet me

I would meet you
I would meet you
I would meet you"
That's All Lies,Jet,anger,"My my, at it again
Put your finger in the handgun
I fall down and I try to get up
But you smack me like a pinball

Soulwhere did it go?
C-C-C climb to the top of the mountain but your still alone
K-K-K kicken' down your front door
But your never home

That's all lies
(I wanna see, yes I wanna see)
That's all lies
(but everybody close the door on me)
That's all lies
(I think I'll download a brand new head)
That's all lies
(I'm already dead)
And I think I've seen the light, Yeah I, I'm gonna be here a long time

My my, at it again
But you said you don't need it
My my, pie in the sky
Ain't ever gonna hit me

Soulwhere did it go?
C-C-C climb to the top of the mountain break ya backbone
K-K-K kicken' at your front door
But your never home

That's all lies
(I wanna see, yes I wanna see)
That's all lies
(but everybody close the door on me)
That's all lies
(I think I'll download a brand new head)
That's all lies
(I'm already dead)
And I think I've seen the light, Yeah I think I see the light, I'll be here for"
In The City,Kevin Rudolf,anger,"Every day I'm a star in the city
Walk the streets like a wanted man
All the time got my shine lookin' pretty
Motherfuckers all know who I am
Every day feel the heat in the city
Like the barrel of a smoking gun
Read the signs see the lights their so pretty
You're the one now turn me on

(Hey) give it all up for me
(Hey) give it all up for me
(Hey) give it all up for me
City boy life

Every day I'm alive in the city
She's a fire woman lit by the sun
On the street lookin' fine lookin' pretty
She sucks the heat off my-, gun
Yeah, they'll eat you alive in the city
While they pull up in fancy cars
Drinking wine, wasting time you I pity
Politicians, movie stars

(Hey) give it all up for me
(Hey) give it all up for me
(Hey) give it all up for me
City boy life
(Hey) give it all up for me
(Hey) give it all up for me
(Hey) give it all up for me
City boy life

Every day I'm a star in the city
Walk the streets like a loaded gun
All the time got my shine lookin pretty
Everybody now turn me on

(Hey) give it all up for me
(Hey) give it all up for me
(Hey) give it all up for me
This motherfucking lie
(Hey) give it all up for me
(Hey) give it all up for me
(Hey) give it all up for me
City boy life"
Biggest & The Best,Clawfinger,anger,"Nobody is perfect, but I'm pretty fucking close
And I'm here to give you all a heavy heavenly dose
I think you better listen, 'cause I know who you are
And I think that you should treat me like a superstar
Because I'm more than just a human, I'm a gift to all of you
And I'm here to make sure that my message gets through
I wonder if you're really all as dumb as you look
Or are you smart enough to learn the rules in my book
I hope you understand that the knowledge I bring
Puts me in the position of a God or a king
'Cause I'm blessed with the gift of the magic touch
And I wouldn't say that I'm asking for too much
All you have to do is get down on your knees and pray
And I promise you the remedy is on its way
But you can never be like me so don't waste your time
Because I reign supreme and my position is divine
What's wrong with being self-possessed?
Nobody's satisfied with being second best
I've got the gift and I know that I'm blessed
And I gotta get it off my chest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm not afraid of competition 'cause I know that I'm best
And you haven't got a chance to even pass my little test
Even if you wanted to you couldn't pay the price
There ain't no room for losers in my perfect paradise
'Cause life is always based upon the weight of your success
So I'll make sure that I get the most and nothing less
If I love myself then everyone will love me too
And there's nothing you can do for me that I can't do
What's wrong with being self-possessed?
Nobody's satisfied with being second best
I've got the gift and I know that I'm blessed
And I gotta get it off my chest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
So welcome to my kingdom and enjoy your little stay
Even if you can't afford it, I'll still make you pay
So you better come and get it and enjoy it while you can
Don't tell me that you're dumb enough to think I give a damn
I couldn't care less about what you achieve
And there's only one thing that you have to believe
The only thing important that you have to understand
Is that no matter what you say I'm still a God, I really am
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest
I'm the biggest, the best, better than the rest
Better than the rest"
"Hey, Cruel World...",Marilyn Manson,anger,"Hey, cruel world, you don't have what it takes
We don't need your faith, we got fucking fate
Hey, cruel world, you don't have what it takes
We don't need your faith, we got fucking fate

Creator, preserver, destroyer
Ask which one I am
There's no drugged-out devils or square-halo angels walking among us

I am among no one
I am among no one
I am among no one
No one

Hey, cruel world, you don't have what it takes
We don't need your faith, we got fucking fate
Fate, fate, fate

The centre of the universe cannot exist when there are no, no edges
The centre of the universe cannot exist when there are no, no edges

Hey, cruel world, you don't have what it takes
We don't need your faith, we got fucking fate
Fate, fate, fate
Fate

Fate, fate, fate
Fate, fate, fate

I am among no one
I am among no one
I am among no one
No one

Hey, cruel world, you don't have what it takes
We don't need your faith, we got fucking fate

Fate, fate, fate
Fate, fate, fate
Fate, fate, fate"
Enlightened By The Cold,Shadows Fall,anger,"When you never know
Is when it's always there
It seemed so clear

The slightest touch
To catch the breath
It turns it all around

Single path that I can see
Emptiness devours me

Enlightened by the cold
It overcomes the torment
(What if I could bring you back?)
Enlightened by the cold

Enough to burn through walls
Built on anguish
Can I be revived?

Let it hit with force
Strong enough to blind
The numbness heals

Single path that I can see
Emptiness devours me

Enlightened by the cold
It overcomes the torment
(What if I could bring you back?)
Enlightened by the cold

My worth is only defined
By the nest disaster

When you never know
Is when it's always there
It seemed so clear

The slightest touch
To catch the breath
It turns it all around

Single path that I can see
Emptiness devours me

Enlightened by the cold
It overcomes the torment
(What if I could bring you back?)
Enlightened by the cold

My worth is only defined
By the nest disaster
By the nest disaster"
Glow,Coal Chamber,anger,"All my might
Is funeral flight
Tonight it glows for you
It's fueled with fire
A killing desire
For people you've screwed

So what you feel now
It's coming
And what you need now
It's coming
And what you feel now
It's coming
And what you need now
It's coming

Get it you want it I've got it
I'm gonna get it good
Get it I've got it you want it
I'm gonna get it

Get it you want it I've got it
I'm gonna get it good
Get it you want it ive got it
Im gonna get it

What doesn't kill
It surely will
Make I stronger still
I'm fueled with fire
A killing desire
For people you've screwed
Screwed

Get it you want it I've got it
I'm gonna get it good
Get it I've got it you want it
I'm gonna get it

Get it i've got it you want it
I'm gonna get it good
Get it you want it i've got it
I'm gonna get it

Get it

It doesn't seem like you're yourself anymore
Just the other day I was saying to someone
I don't know what happened anymore
It's just not the same anymore

Get it you want it I've got it
I'm gonna get it good
Get it I've got it you want it
I'm gonna get it x2

Get it you want it I've got it
Got it

Get it you want it I've got it
I'm gonna get it good
Get it you want it I've got it
I'm gonna get it
Get it"
Invaders Must Die,Prodigy,anger,"We are The Prodigy

Invaders must die

Invaders must die
Invaders must die
Invaders must die
Invaders must die
Invaders must die
Invaders must die
Invaders must die
Invaders must die

We are The Prodigy

Invaders must die"
The Subtle Arts of Murder and Persuasion,Lamb of God,anger,"The dark crow man sits and stares into the oblivion
Into cold into nothingness, it's snowing in his mind.
He's created himself in his own image.
Lust held for him means naught, a knock on the door
Brings no smile to his cruel lips,
The welcome in a woman's eyes holds nothing for him.
Alone on his haunches the hair raises on the back of his neck.
His dead eyes pierce the night.
As his gaze falls down on the city it fills him the method ascertained, conviction.
He knows what to do and moves to commit the deed"
New Radio,Bikini Kill,anger,"I'm the little girl at the picnic
Who won't stop pulling her dress up
It doesn't matter who's in control now
It doesn't matter 'cause this is new radio
What the fuck
Is written
All over your pretty face
The gaps in teeth
The dirty nails
Baby boy, you can't kill what's fucking real
Turn that song down
Turn the static up
Come here baby, let me kiss you like a boy does
Woah, woah, woah, woah, woah, woah, woah
Yeah, yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
Let's wipe our cum on my parents' bed
Come on"
You Could Easily Have Me,Metronomy,anger,LYRICS_NOT_FOUND
