track,artist,final_emotion,reason,lyrics
Cool Like Free Shades,Vinyl Stickons,anger,Track was not found,
Janus,Neo-Rista,anger,Track was not found,
Manifesto,Neo-Rista,anger,Track was not found,
Closing Jam,Neo-Rista,anger,Track was not found,
burnt,Neo-Rista,anger,Track was not found,
Disgrace,Neo-Rista,anger,Track was not found,
Post Armageddon,Neo-Rista,anger,Track was not found,
Six,Neo-Rista,anger,Track was not found,
National Blvd,Neo-Rista,anger,Track was not found,
Yo Thang Boy,Neo-Rista,anger,Track was not found,
Gun Down,Neo-Rista,anger,Track was not found,
Quantum Fireball,Vinyl Stickons,anger,Track was not found,
Sarah,Vinyl Stickons,anger,Track was not found,
Pick Heads (The Story),Neo-Rista,anger,Track was not found,
noitacovnI,Neo-Rista,anger,Track was not found,
Burnt Mothership,Neo-Rista,anger,Track was not found,
Chilli Faht Song,Neo-Rista,anger,Track was not found,
Dying For Metaphores,Neo-Rista,anger,Track was not found,
Sounds Of BS,Neo-Rista,anger,Track was not found,
O COMPLÔ  *A  MAFIA * = suppa g,O COMPLÔ,anger,Track was not found,
Bloodfeast,Alaska,anger,Track was not found,
Jose,Vinyl Stickons,anger,Track was not found,
Busting Barriers,Neo-Rista,anger,Track was not found,
Desert Song,Vinyl Stickons,anger,Track was not found,
Sweet Caroline,Alaska,anger,Track was not found,
Pacifique,Neo-Rista,anger,Track was not found,
Juan,Alaska,anger,Track was not found,
Electric Death Song,Alaska,anger,Track was not found,
Hey Hey Sounds,Vinyl Stickons,anger,Track was not found,
Chungi,Alaska,anger,Track was not found,
Three Crosses,Alaska,anger,Track was not found,
O COMPLÔ  *A  MAFIA * =  a festa da mafia,O COMPLÔ,anger,Track was not found,
Noose,Alaska,anger,Track was not found,
Sacking Offence,Alaska,anger,Track was not found,
Blacklist,Alaska,anger,Track was not found,
My Idea of fun (live),The Stooges,anger,Track was not found,
Dawn Of The Locusts  (Daleh Remix),Jello Biafra with The Melvins,anger,Track was not found,
8 Hour Fake (Shuto Lounge Mix),Kimza International,anger,Track was not found,
Don't Forget Me,Mankind's Remedy,anger,Track was not found,
I Don't Need It,Haymaker,anger,Track was not found,
Born In Chicago,Paul Butterfield Blues Band,anger,Track was not found,
Yuma Idhiri,Kimza International,anger,Track was not found,
motherOfPearl,Nellie McKay,anger,Track was not found,
Funhouse,The Stooges,anger,Track was not found,
Freak Out Requiem,Amon Düül II,anger,Track was not found,
Unison Mews,Vinyl Stickons,anger,Track was not found,
House of Rock,Tatanka Iyotake,anger,Track was not found,
Electric Death Song (Demo),Vinyl Stickons,anger,Track was not found,
Sarah (Demo),Vinyl Stickons,anger,Track was not found,
Pretty Smiles And Shattered Teeth,Soilent Green,anger,Track was not found,
If You Wanna Do The People A Favour,The Perishers,anger,Track was not found,
When The President Talks To Go,Bright Eyes,anger,Track was not found,
Enchanted Thoughtfist  (Enchanted Al Remix),Jello Biafra with The Melvins,anger,Track was not found,
Caped Crusader  (Subway Gas-Hello Kitty Mix),Jello Biafra with The Melvins,anger,Track was not found,
Forgive and Regret,Soilent Green,anger,Track was not found,
Liquor And Cigarettes,Soilent Green,anger,Track was not found,
Those Dumb Punk Kids  (Will Buy Anything),Jello Biafra with The Melvins,anger,Track was not found,
うみねこのなく頃に,志方あきこ,anger,Track was not found,
Let's Leave,Allison Weiss,anger,Track was not found,
花帰葬,志方あきこ,anger,Track was not found,
EXEC_CHRONICLE_KEY/.,志方あきこ,anger,Track was not found,
大地の鼓動,志方あきこ,anger,Track was not found,
Pantalea,志方あきこ,anger,Track was not found,
Fuck The Police,Styles P,anger,Track was not found,
蒼碧の森,志方あきこ,anger,Track was not found,
Keep Your Hand on the Plow,Mahalia Jackson,anger,Track was not found,
Licao do Vento,新居昭乃,anger,Track was not found,
白夢の繭 ～Ricordando il passato～,志方あきこ,anger,Track was not found,
David Hamilton,カヒミ・カリィ,anger,Track was not found,
春告げ ～Raggi Di Primavera～,志方あきこ,anger,Track was not found,
Turbolence,Deadbeat,anger,Track was not found,
"Good Morning,Herr Horst (Single Edit)",Mando Diao,anger,Track was not found,
迷夢,志方あきこ,anger,Track was not found,
Ec Tisia,志方あきこ,anger,Track was not found,
謳う丘 ～Exec_Harvestasya/.～,志方あきこ,anger,Track was not found,
Justice of the Karma Law,Tangerine Dream,anger,Track was not found,
誰ガ為ノ世界,志方あきこ,anger,Track was not found,
イゥリプカ,志方あきこ,anger,Track was not found,
Lunar Landings (B-Zet Radio Edit),Kalliope,anger,Track was not found,
満ち潮の夜,Zabadak,anger,Track was not found,
le lacrime,志方あきこ,anger,Track was not found,
サクリファイス,志方あきこ,anger,Track was not found,
Black Shell,新居昭乃,anger,Track was not found,
Kalliope - カリオペ,志方あきこ,anger,Track was not found,
幻想林,志方あきこ,anger,Track was not found,
宵森人,志方あきこ,anger,Track was not found,
"Gone, Biggie, Gone",Sound Advice,anger,Track was not found,
幽明,志方あきこ,anger,Track was not found,
うみねこのなく頃に - Alternative Instrumental Suites -,志方あきこ,anger,Track was not found,
culla,志方あきこ,anger,Track was not found,
調和 ～風来の調べ～,志方あきこ,anger,Track was not found,
謳う丘 ～Ar=Ciel Ar=Dor～,志方あきこ,anger,Track was not found,
Erato - エラト,志方あきこ,anger,Track was not found,
箱庭の外で,志方あきこ,anger,Track was not found,
Makeda ~Queen of Sheba~,志方あきこ,anger,Track was not found,
The sky of twilight,志方あきこ,anger,Track was not found,
Hanakisou,志方あきこ,anger,Track was not found,
Change,Green on Red,anger,Track was not found,
Just a Party and Bullshit,Sound Advice,anger,Track was not found,
Carnaval,志方あきこ,anger,Track was not found,
アラベスク,志方あきこ,anger,Track was not found,
謳う丘 ～Salavec rhaplanca.～,志方あきこ,anger,Track was not found,
Vanetihu (LP Version),Nina Simone,anger,Track was not found,
No Meaning No (feat. Fine Arts Militia),Chuck D,anger,Track was not found,
ライラニア,志方あきこ,anger,Track was not found,
記憶の残滓,志方あきこ,anger,Track was not found,
I'm No Heroine (live),Ani DiFranco,anger,Track was not found,
調和 ～泡沫の子守唄～,志方あきこ,anger,Track was not found,
Dirty Old Dog,The M's,anger,Track was not found,
Agnus Dei,志方あきこ,anger,Track was not found,
風は遥かな明日を知る,志方あきこ,anger,Track was not found,
ヒュメン,志方あきこ,anger,Track was not found,
玄冬,志方あきこ,anger,Track was not found,
透明ノスタルジア,志方あきこ,anger,Track was not found,
ラ・シェール,志方あきこ,anger,Track was not found,
光降る場所で～Promesse～,志方あきこ,anger,Track was not found,
Chi vuol la zingarella,志方あきこ,anger,Track was not found,
Dolce Vita,葉加瀬太郎,anger,Track was not found,
君の名前,志方あきこ,anger,Track was not found,
ナゾ？,志方あきこ,anger,Track was not found,
くれなゐ,志方あきこ,anger,Track was not found,
雨やどり,志方あきこ,anger,Track was not found,
英雄葬,志方あきこ,anger,Track was not found,
La luna,志方あきこ,anger,Track was not found,
Nishikaze no okurimono,志方あきこ,anger,Track was not found,
終の果て,志方あきこ,anger,Track was not found,
Call,志方あきこ,anger,Track was not found,
Kalliope,志方あきこ,anger,Track was not found,
カササギ －Τα εννέα πουλιά －,志方あきこ,anger,Track was not found,
セイレーン － Ήρωες Αργοναύτες －,志方あきこ,anger,Track was not found,
恋ヒ数え,志方あきこ,anger,Track was not found,
螺旋の涙,志方あきこ,anger,Track was not found,
Saint Bleu,新居昭乃,anger,Track was not found,
Terpsichora - テルプシコラ,志方あきこ,anger,Track was not found,
絢,志方あきこ,anger,Track was not found,
救世主-花白-,志方あきこ,anger,Track was not found,
Sorriso～Venitelo a vedere 'l mi' piccino～,志方あきこ,anger,Track was not found,
Euterpe - エウテルペ,志方あきこ,anger,Track was not found,
Erato,志方あきこ,anger,Track was not found,
Forgotten waltz,志方あきこ,anger,Track was not found,
sorriso～Memoria,志方あきこ,anger,Track was not found,
Rovina,志方あきこ,anger,Track was not found,
Kiniro no Chousou ~Uruwashi no Bansan~,志方あきこ,anger,Track was not found,
Thaleia - タレイア,志方あきこ,anger,Track was not found,
HDYM Everyone,Keshco,anger,Track was not found,
Horizon Blue,志方あきこ,anger,Track was not found,
白梟のテーマ,志方あきこ,anger,Track was not found,
Lai-La,志方あきこ,anger,Track was not found,
little holy place,志方あきこ,anger,Track was not found,
エウリュディケ － Μοναδική αγάπη －,志方あきこ,anger,Track was not found,
箱庭の外で～Agnus Dei,志方あきこ,anger,Track was not found,
"Danza, fanciulla gentile",志方あきこ,anger,Track was not found,
Innocent Place,志方あきこ,anger,Track was not found,
Luce,志方あきこ,anger,Track was not found,
Bazar,志方あきこ,anger,Track was not found,
Le Lacrime～薄明～終末への歯車,志方あきこ,anger,Track was not found,
Se l' aura spira,志方あきこ,anger,Track was not found,
不条理≧楽しい?,志方あきこ,anger,Track was not found,
LAYLANIA,志方あきこ,anger,Track was not found,
激情 － Άδης －,志方あきこ,anger,Track was not found,
Mean Mr. Mustard,Haley Bonar,anger,Track was not found,
或るK氏の華麗なる食卓～望郷,志方あきこ,anger,Track was not found,
Blood and Fire,Goddess,anger,Track was not found,
Running Up That Hill,Kiki & Herb,anger,Track was not found,
Nevica Fitto Fitto,志方あきこ,anger,Track was not found,
Kuro no Liliana ~Melancholia~,志方あきこ,anger,Track was not found,
フェアリー,志方あきこ,anger,Track was not found,
NU ALREST,黒百合姉妹,anger,Track was not found,
Ourania - ウラニア,志方あきこ,anger,Track was not found,
Astral Highway,Goddess,anger,Track was not found,
Sink Into Syngamy,Keshco,anger,Track was not found,
Mata no Hi ~Prologo~,志方あきこ,anger,Track was not found,
Melpomene - メルポメネ,志方あきこ,anger,Track was not found,
We Had Such A Lovely Time,Keshco,anger,Track was not found,
Wax Violet,Keshco,anger,Track was not found,
をかし,志方あきこ,anger,Track was not found,
Au GuMu,志方あきこ,anger,Track was not found,
blue forest,黒百合姉妹,anger,Track was not found,
Fato,志方あきこ,anger,Track was not found,
Voodoo Blues,Goddess,anger,Track was not found,
Climate Dance,Keshco,anger,Track was not found,
Shiver,Amy Courts,anger,Track was not found,
Sexual,Goddess,anger,Track was not found,
Not The End,OK Punk!,anger,Track was not found,
オトシモノ,志方あきこ,anger,Track was not found,
EXEC_with.METHOD_METAFALICA/.,志方あきこ & 霜月はるか,anger,Track was not found,
Under del Linden,黒百合姉妹,anger,Track was not found,
Robert's Doogies Song,Keshco,anger,Track was not found,
Messiah,柚楽弥衣,anger,Track was not found,
The Spiral,Goddess,anger,Track was not found,
The Wheel Of Fortune - Fortuna,Tomoko Imoto,anger,Track was not found,
SACRIFICE,志方あきこ,anger,Track was not found,
籠の鳥,志方あきこ,anger,Track was not found,
或るK氏の？,志方あきこ,anger,Track was not found,
百鬼夜行,志方あきこ,anger,Track was not found,
花鳥風月,志方あきこ,anger,Track was not found,
森羅,志方あきこ,anger,Track was not found,
FAIRY,志方あきこ,anger,Track was not found,
Digital Veil,Goddess,anger,Track was not found,
Indecent Majority,Keshco,anger,Track was not found,
Pantalea ～散夜花影～,志方あきこ,anger,Track was not found,
Asian Parfait - Jasmine,Tomoko Imoto,anger,Track was not found,
Araldo,志方あきこ,anger,Track was not found,
Scene IV (Act IV Scene II): Boris's Final Prayer,Modest Petrovich Mussorgsky,anger,Track was not found,
Kaze Ha Harukana Asu Wo Shiru,志方あきこ,anger,Track was not found,
風薫る,志方あきこ,anger,Track was not found,
Living Sacrifice,Tomoko Imoto,anger,Track was not found,
Pirates of the Caribbean,Tomoko Imoto,anger,Track was not found,
Farfalle,志方あきこ,anger,Track was not found,
Santo,志方あきこ,anger,Track was not found,
Makuai Kaokageuo Sonokoro Danintachiha Kentoutigainahoukouwo Daisousaku,志方あきこ,anger,Track was not found,
The Wheel Of Fortune,Tomoko Imoto,anger,Track was not found,
La Sirene,Tomoko Imoto,anger,Track was not found,
Fujouri Tanoshii,志方あきこ,anger,Track was not found,
Dry Flower,Tomoko Imoto,anger,Track was not found,
Oh smania! oh furie! ~ D'Oreste e d'Aiace,Tomoko Imoto,anger,Track was not found,
I've Told You Before,Keshco,anger,Track was not found,
Rovaio,志方あきこ,anger,Track was not found,
The Trial Of Your Betrayal,Shadow Keep,anger,Track was not found,
ゆめのあと,志方あきこ,anger,Track was not found,
How To Make You Die,Shark Eye,anger,Track was not found,
Long Hard Road,Crome Syrcus,anger,Track was not found,
Inferia,志方あきこ,anger,Track was not found,
Show Business Martyrs,Kiki & Herb,anger,Track was not found,
Parterre,志方あきこ,anger,Track was not found,
ヨモスガラ停留所,志方あきこ,anger,Track was not found,
Favilla,志方あきこ,anger,Track was not found,
ここんがこん,志方あきこ,anger,Track was not found,
御停め心,志方あきこ,anger,Track was not found,
Mark Of The Usurper,Shadow Keep,anger,Track was not found,
Corruption Within,Shadow Keep,anger,Track was not found,
Arena,志方あきこ,anger,Track was not found,
Nostalgico,志方あきこ,anger,Track was not found,
森羅 ～遣らずの雨～,志方あきこ,anger,Track was not found,
Ancella,志方あきこ,anger,Track was not found,
空,志方あきこ,anger,Track was not found,
儚,志方あきこ,anger,Track was not found,
tirawa,志方あきこ,anger,Track was not found,
Mamma,志方あきこ,anger,Track was not found,
Shit,Shit,anger,Track was not found,
Lovelife,Jason Rowe,anger,Track was not found,
Meta-morale,Shadow Keep,anger,Track was not found,
Dum spiro spero,志方あきこ,anger,Track was not found,
Sorso,志方あきこ,anger,Track was not found,
Catastrofe,志方あきこ,anger,Track was not found,
Flower in the Universe,妙,anger,Track was not found,
追想の欠片,志方あきこ,anger,Track was not found,
月待ち茶話 (LAYLANIA CLUBお茶会での『月下水夢』デモンストレーションBGM),志方あきこ,anger,Track was not found,
Picture Of A Man,Our Lady J,anger,Track was not found,
Saté san,Ofasia,anger,Track was not found,
Dirty Boy,Goddess,anger,Track was not found,
かくれんぼ,志方あきこ,anger,Track was not found,
黒のリリアナ ～メランコリア～ (Kuro no Liliana ~Melancholia~),Akiko Shikata (志方 あきこ),anger,Track was not found,
Pantalea ～散夜花影～ -Instrumental,志方あきこ,anger,Track was not found,
Soldier On,The Home Guard,anger,Track was not found,
Malinconia,志方あきこ,anger,Track was not found,
LastPandemic,志方あきこ,anger,Track was not found,
ImitationRED,志方あきこ,anger,Track was not found,
Think Alike,Keshco,anger,Track was not found,
エンブリヲ,志方あきこ,anger,Track was not found,
Fairy land,椿カオリ,anger,Track was not found,
螺旋の涙 ～Piano featuring arrange～,志方あきこ,anger,Track was not found,
エルーシア ～Instrumental～,志方あきこ,anger,Track was not found,
