track,artist,final_emotion
羅刹国,DIR EN GREY,anger
Dog,Sebastian,anger
"Time Will Let You Go, All Alone, I Break",Raised Fist,anger
A Pack of Wolves,Black Eyes,anger
"Come To Daddy, Pappy Mix",Aphex Twin,anger
You Get Yours,Sophie Ellis-Bextor,anger
The Long Walk,Doomriders,anger
I'm Comin',Silkk The Shocker,anger
Lovedivided,Diablo,anger
Symphony of Tourette,Manic Street Preachers,anger
The Blister Exists (live),Slipknot,anger
Angeldust,D'espairsRay,anger
TV as Eyes,Chrome,anger
Razor Hoof,High on Fire,anger
I'm Happy,Terra Naomi,anger
Hey Phatty,Jamie Madrox,anger
Electric Head: The Agony (Pt. 1),White Zombie,anger
Getdafucout,Onyx,anger
Paperinukke,Stam1na,anger
Cop Killer,Body Count,anger
Drivel,The Union Underground,anger
Sphere,John Frusciante,anger
Intro,Kid Rock,anger
Indifferent,Beatsteaks,anger
Spun,Babes in Toyland,anger
Shallow,Unwritten Law,anger
Everything They Owe,2Pac,anger
Electronic Battle Weapon 9,The Chemical Brothers,anger
Furious,Ja Rule,anger
Who's To Blame,Sacred Reich,anger
Shutdown,Pitchshifter,anger
Crusher,The Haunted,anger
"If You Got It At Five, You Got It At Fifty",Norma Jean,anger
Blitz,Schelmish,anger
Down,Jawbreaker,anger
Damone,Deftones,anger
The Remedy,Abandoned Pools,anger
Come to Daddy [Pappy Mix],Aphex Twin,anger
A Better Son-Daughter,Rilo Kiley,anger
Miststück,Megaherz,anger
Adam and Eve,Ani DiFranco,anger
I Might Have Been Queen,Tina Turner,anger
My Niggas,DMX,anger
Blaze,Monoxide,anger
'They' Schools,dead prez,anger
That's Why,Raised Fist,anger
Greed,Ice Cube,anger
Finding Faith,Blacklisted,anger
BORN,D'espairsRay,anger
Sadistikal,Danzig,anger
Statement,Boris,anger
Bringer of Light,Entombed,anger
Womb Envy,Paint It Black,anger
Midas Touch,The Red Chord,anger
Objection Overruled,Exodus,anger
Hammer,Diablo,anger
Trash,Silverchair,anger
Eureka Pile,Ministry,anger
Awaiting the Winter Frost,Sentenced,anger
Judas,The Agony Scene,anger
Tobacco Road,Eric Burdon,anger
Lines of Suicide,The Agony Scene,anger
I'm Your Boogieman,White Zombie,anger
Asleep,Strike Anywhere,anger
Monster's Ball,Vinnie Paz,anger
I'm A Cloud,Boy Hits Car,anger
The Sauce,Eminem,anger
Must Attack,Extrawelt,anger
I Go To Work,Kool Moe Dee,anger
In a Coma,Exilia,anger
Street Symphony,Monica,anger
Breaking the Back,Million Dead,anger
Crucify Your Beliefs,God Forbid,anger
Real Solution #9 (Mambo Mania mix),White Zombie,anger
Sadiddy,Brandy,anger
This Love You Breathe,Eyes Set to Kill,anger
World Destruction,Time Zone,anger
Arsenal,Kidneythieves,anger
Walk In New York,Onyx,anger
Subject To Status,Pitchshifter,anger
Tread On The Necks Of Kings,The Red Chord,anger
Badlands,Metal Church,anger
Juggernaut,Cave In,anger
Garbage Dump,Charles Manson,anger
"Howwhywuz, Howwhyam",The Mighty Mighty Bosstones,anger
Portrait of Homicide,Dawn of Ashes,anger
Alpha,Sevendust,anger
If You See Kaye,Turbonegro,anger
Raise Hell,(hed) Planet Earth,anger
Worthless,Doomriders,anger
Hallo Spaceboy (Pet Shop Boys Remix),David Bowie,anger
Damaged 1,Black Flag,anger
On The Breath Of Poseidon,Symphony X,anger
Happy Camper (carpe B.U.M.),Strapping Young Lad,anger
Chromosome Damage,Chrome,anger
Bye Nancy Boy,Hot Snakes,anger
Champion,Grinspoon,anger
Grease Paint and Monkey Brains (Sin Centers of Suburbia mix),White Zombie,anger
Concrete Rage,:Wumpscut:,anger
Don't Do Anything Illegal,Charles Manson,anger
"Blood, Milk and Sky (Miss September mix)",White Zombie,anger
Intelligence Has Been Compromised,The Red Chord,anger
Naaras,Ajattara,anger
Massacra,Hellhammer,anger
Maggots,GWAR,anger
Super Bitch,Authority Zero,anger
For I Am Cursed,Youth Code,anger
Suck My D**k,Lil' Kim,anger
Yuppie Cadillac,Jello Biafra with The Melvins,anger
Shifftee,Onyx,anger
Between the Demons,Raised Fist,anger
Blur the Technicolor (Poker From Stud to Strip mix),White Zombie,anger
Broken,Digital Summer,anger
Fever,The Hives,anger
Guilt by Association,Grendel,anger
Marry of the blood,D'espairsRay,anger
Margaret Freeman,The Residents,anger
Car Fiction,Echobelly,anger
Once In A Lifetime,The Exies,anger
Coffin Text,Unwritten Law,anger
Wasted Words,Death By Stereo,anger
Blur The Technicolor [Poker From Stud To Strip Mix],White Zombie,anger
Braincracking,Neophyte,anger
Hand That Holds True,Taproot,anger
Captor of Sin,At the Gates,anger
AFX 114,Caustic Window,anger
Volume 4,Rollins Band,anger
10 Miles High (Version),Nine Inch Nails,anger
Open Eyed Beast Attack,The Red Chord,anger
Transylvania Blues,Silver Jews,anger
Moment Of Weakness,Bif Naked,anger
4039,Dry Kill Logic,anger
Shoot Out At The Fantasy Factory,Traffic,anger
Cannibal Holocaust,Soulfly,anger
Optimisitic,Radiohead,anger
Round and Round,L'Arc~en~Ciel,anger
Hardly Wait,Juliette Lewis,anger
Parricide,Pestilence,anger
Bully,Gob,anger
School Street,DMX,anger
A Devil In Gods Country,Lamb of God,anger
Cowboys From Hell (live),Pantera,anger
Buried in Black,Kingdom of Sorrow,anger
Paint It Black,Eric Burdon & The Animals,anger
Bone Needle,The Red Chord,anger
It's Never Enough,Type O Negative,anger
Waste Of Time,The Unseen,anger
Happy Fucking Birthday,Combichrist,anger
Corroded Breed,:Wumpscut:,anger
Control Freak,Recoil,anger
My Will Be A Dead Man,Project 86,anger
We Don't Need it,Anti-Flag,anger
Tilt-A-Whirl,Insane Clown Posse,anger
Kiss and Makeup (All Bets Are Off),Funeral for a Friend,anger
Brain Stew (Live),Green Day,anger
The Tower,Ice-T,anger
2 Different Tears,Wonder Girls,anger
Choking Game,Chevelle,anger
Dissident Aggressor (Judas Priest Cover),Slayer,anger
Rock N Roll Nigger,Marilyn Manson,anger
Act A Fool (Dirty),Ludacris,anger
The Emerald Law (feat. Wino),Probot,anger
Sweet Victory,David Glen Eisley,anger
Rain Water,Brother Ali,anger
Drowning,Jesus On Extasy,anger
Leave No Seed,X-Fusion,anger
Disaster Blaster,White Zombie,anger
Conflict (live),Disturbed,anger
LUCY,ANNA TSUCHIYA inspi' NANA (BLACK STONES),anger
Unstoppable,Death By Stereo,anger
II,Deathspell Omega,anger
Majestic,Killing Joke,anger
Alien Blueprint,Rollins Band,anger
Buscandome,Nonpoint,anger
Demonized,Shade Empire,anger
Rat Patrol,Naked Raygun,anger
"""Forbidden""",D'espairsRay,anger
BDSM,Alien Vampires,anger
Предательская,Слот,anger
deutschland brennt,Steinkind,anger
Losing My Religion (REM),Scary Kids Scaring Kids,anger
Sexual Abuse,Guttermouth,anger
Steppin In Her I. Miller Shoes,Betty Davis,anger
These Eyes (Have Seen),Biohazard,anger
Abstract Nympho,Chrome,anger
I Want Love (Studio Mix),Mary Elizabeth McGlynn,anger
What a Life,Juliana Hatfield,anger
Virus,SHNARPH!,anger
Half Machine Lip Moves,Chrome,anger
Shout,Michael Jackson,anger
Revenge,White Zombie,anger
Herbie Goes Ballistic,Venetian Snares,anger
Judge Yr'self,Manic Street Preachers,anger
Gewissen,Letzte Instanz,anger
Sortajan Kaipuu,Ajattara,anger
Krieg der Herzen,Letzte Instanz,anger
Våld,Skitsystem,anger
Prelude,Slipknot,anger
Tired n' Lonely,Roadrunner United,anger
Hurricane 2000,Scorpions & Berliner Philharmoniker,anger
Es kotzt mich an,Knorkator,anger
Defragmentation,Nasum,anger
Dethroned,Hate Eternal,anger
You've Been Duplicated,Chrome,anger
Ratmouth,White Zombie,anger
Mondo Anthem,Chrome,anger
Terror,My Ruin,anger
Elephant,Idiot Pilot,anger
Disasterpiece (live),Slipknot,anger
The Monitors,Chrome,anger
Acid Flesh,White Zombie,anger
Mitten Ins Herz,Oomph!,anger
"Kill, Inc., Motherfuckers",Amduscia,anger
Police Oppression,Angelic Upstarts,anger
Race with the Devil,The Gun,anger
Riddles Are Abound Tonight,Sausage,anger
Seminar,The Red Chord,anger
All The Young Punks,The Clash,anger
Mate Spawn & Die,Lard,anger
Laser Beam,Boris,anger
Sacrilege of Hate,Hate Eternal,anger
Bag Lady,Manic Street Preachers,anger
Northern Lights,Amorphis,anger
Voted Off The Island,Jello Biafra with The Melvins,anger
Burn (Alleged remix),Alkaline Trio,anger
Wake Up,(hed) Planet Earth,anger
Dust,Crystal Antlers,anger
Anne Boleyn,The Pastels,anger
F _ _ _ tha Police,N.W.A,anger
Sweating Blood,F-Minus,anger
Man Without Skin,Boy Hits Car,anger
This World Hell,Killing Joke,anger
Love To Hate You,Die Happy,anger
Murderworld,White Zombie,anger
Seven Nation Army,Alice Russell,anger
I Hate Everything About You (Live Acoustic - Rolling Stone Original (EP)),Three Days Grace,anger
An Angel's Funeral,Agathodaimon,anger
Identify,The Jon Spencer Blues Explosion,anger
The Cruzifixus - Anus Dei,Belphegor,anger
Take It,Taproot,anger
Mad World,Corrosion of Conformity,anger
Where I'm From (Feat. Nate Dogg) (Produced By Focus),The Game,anger
As I Watch The Sun Fuck The Ocean,Boy Hits Car,anger
Consuming Guilt,Youth Code,anger
Ultra Violence,The Oppressed,anger
Power Hungry,White Zombie,anger
Shack Of Hate,White Zombie,anger
Armageddon's Raid,Belphegor,anger
Gentleman Junkie,White Zombie,anger
Staatsfeind,Agonoize,anger
Godslayer,White Zombie,anger
Down,Pitchshifter,anger
Turned Around,Chrome,anger
Streets Of New York,Kool G Rap,anger
Homecoming,Hans Zimmer,anger
Judas Goat,Killing Joke,anger
Everytime I See You Around,Paul Stanley,anger
Buildings,Honey is Cool,anger
Red,Angelspit,anger
Harvesters of Death,Shade Empire,anger
Legion of Doom,Carnivore,anger
Gimme Noise,The Replacements,anger
Vexation,Crystal Antlers,anger
Zero Time,Chrome,anger
Gaigan Go Home,Suicidal Tendencies,anger
Trickster,D'espairsRay,anger
Modern Democracy,Biohazard,anger
Jam-Master Jammin',Run-D.M.C.,anger
The Heretics Age,Primordial,anger
Breakdown,Pzychobitch,anger
She'll Return It,The Animals,anger
"Ratfinks, Suicide Tanks And Cannibal Girls",White Zombie,anger
Schwarzwaldklinik,Die Toten Hosen,anger
Strong Reaction,Pegboy,anger
Minus All,Imperative Reaction,anger
"Crush, Kill, Destroy",Sarcófago,anger
Daremo Inai Ie,ムック,anger
Blood Comes,Mouse on Mars,anger
Creature Eternal,Chrome,anger
Sliver (live),Nirvana,anger
Dead on It,Prince,anger
What Happens on the Road Always Comes Home,Coalesce,anger
Schüchtern,Knorkator,anger
Party People (feat. Fergie),Nelly,anger
Dawn of the Locusts,Jello Biafra with The Melvins,anger
From da Back,Three 6 Mafia,anger
Dub,Pylon,anger
Halo Of Flies,Jello Biafra with The Melvins,anger
Lessons In What Not To Become,Jello Biafra with The Melvins,anger
Children of Decay,FGFC820,anger
Super Ok,Zolof The Rock & Roll Destroyer,anger
Back To Avalon,Heart,anger
Tentacles,Crystal Antlers,anger
Come On - Go Off,KMFDM,anger
Appendage,Nine Inch Nails,anger
Knuckle Up,Snowgoons,anger
MaVERiCK,D'espairsRay,anger
Fuck Off,Angerfist,anger
Precaution,Pylon,anger
Es war einmal...,Samsas Traum,anger
The Immortal Ones,Hate Forest,anger
Hellraiser,Suicide Commando,anger
Shoot You In The Back (Live),Motörhead,anger
Demonspeed,White Zombie,anger
Time's Up,3Teeth,anger
Месяц,Агата Кристи,anger
The Ending of Our Yesterday,Agathodaimon,anger
Ruiner,Unter Null,anger
Broken Sword,Evol Intent,anger
To Love Somebody,Eric Burdon & The Animals,anger
Am I Sexy,Lords of Acid,anger
The Golden,Shinichi Osawa,anger
Endgame,Pig Destroyer,anger
Shanghai Honey,ORANGE RANGE,anger
Suffer the season,Shadows Fall,anger
Hammer Battalion,Unleashed,anger
Pain Is Like An Animal,Danzig,anger
Spit to See the Shine,Babes in Toyland,anger
gentou sanka,ムック,anger
Ebenbild,Megaherz,anger
Grinding Process,Melvins,anger
Your Children Will Burn,Unleashed,anger
Our Love Will Carry On,King Dude,anger
Manan lapset,Ajattara,anger
Victim,Front Line Assembly,anger
Not Even Dead,Dimension Zero,anger
My Precious Lunatic Asylum,Annihilator,anger
My Neighbor Satan,Boris,anger
'Till the Wheels Fall Off,L7,anger
Watch Out,Fleetwood Mac,anger
You're Blind,Run-D.M.C.,anger
Drowning The Colossus,White Zombie,anger
I Thought,Brandy,anger
Take It Or Leave It,Arctic Monkeys,anger
The Body,Android Lust,anger
Псы с городских окраин,Чайф,anger
King Of Souls,White Zombie,anger
Arcturus,Crystal Antlers,anger
Pieces of Me,Fates Warning,anger
Pony,Dame,anger
17 Kerzen am Dom,Eisregen,anger
Morituri Salutant,Heimataerde,anger
Now a Limo,Melvins,anger
Boom Blast,Freestylers,anger
Get Away,Biohazard,anger
Angels Fuck,Jack Off Jill,anger
Look Away,Sepultura,anger
Ghosts,Juliette Lewis,anger
Eleventh Century Folklore,The Jonbenet,anger
Последнее желание,Агата Кристи,anger
Over the Edge,Hole,anger
Cheating,The Animals,anger
Headbanger,EPMD,anger
Easy as It Was,Melvins,anger
Airborne,Wussy,anger
Supa Solo (feat. Swings),G.NA,anger
Diamond Ass,White Zombie,anger
Sellout,Abigail's Ghost,anger
Super Space Invaders,Eisenfunk,anger
Silence,Outerspace,anger
Just To Prove A Point,KRS-One,anger
Hör varningen!,Martyrdöd,anger
Distorted,Diablo,anger
Ice Queen (live at Leidse Kade),Within Temptation,anger
Triumph (Feat Cappadonna),Wu-Tang Clan,anger
Cavern of Mind,Saviours,anger
Hadrons,Lento,anger
Gangsta Bitch,Apache,anger
Karma,Twiztid,anger
Finale Vollendung,Straftanz,anger
The Lion's Mouth,Kajagoogoo,anger
Mercenaries,Pain Confessor,anger
Abel to Cain,D'espairsRay,anger
Doomsday Clock,Born from Pain,anger
The Wolf,Jedi Mind Tricks,anger
Crow III,White Zombie,anger
Truck On Fire,White Zombie,anger
