track,artist,track_clean,artist_clean,final_emotion
allegri: miserere,the tallis scholars (directed by peter phillips),allegri miserere,the tallis scholars directed by peter phillips,sadness
allegro con fuoco,antonín dvořák,allegro con fuoco,antonín dvořák,romantic
allegro vivace,felix mendelssohn,allegro vivace,felix mendelssohn,joy
alleluia,juan diego flórez,alleluia,juan diego flórez,excitement
alley-oop,the bonzo dog band,alleyoop,the bonzo dog band,joy
alma,teddybears,alma,teddybears,reflective
almost there,delta goodrem,almost there,delta goodrem,calm
already there,the sight below,already there,the sight below,reflective
always look on the bright side of life,brobdingnagian bards,always look on the bright side of life,brobdingnagian bards,neutral
always on my mind,square sounds,always on my mind,square sounds,romantic
amen,georg friedrich händel,amen,georg friedrich händel,excitement
american girl,jeffrey lewis,american girl,jeffrey lewis,neutral
amesais rmx,zailm atoyanh & the removers,amesais rmx,zailm atoyanh the removers,excitement
amoeba,phrulex,amoeba,phrulex,joy
amos moses,alabama 3,amos moses,alabama 3,reflective
amsterdam,anberlin,amsterdam,anberlin,reflective
an apology,indiefox,an apology,indiefox,sadness
anahata,bamboo forest,anahata,bamboo forest,excitement
andalucia,bill whelan,andalucia,bill whelan,excitement
andromeda,kai del noi,andromeda,kai del noi,joy
andy,the affair,andy,the affair,neutral
anna (el negro zumbon),esquivel,anna el negro zumbon,esquivel,joy
annihilation,retractor,annihilation,retractor,sadness
anodyne,mark dougherty,anodyne,mark dougherty,reflective
another lonely day,ben harper & the innocent criminals,another lonely day,ben harper the innocent criminals,sadness
antarctica,absinthe blind,antarctica,absinthe blind,reflective
anti-climax,the beebe brothers,anticlimax,the beebe brothers,excitement
antithesis,nigil caenaan,antithesis,nigil caenaan,reflective
anxiety,temperament,anxiety,temperament,fear
anything goes,ana johnsson,anything goes,ana johnsson,reflective
anyway,matthias tanzmann,anyway,matthias tanzmann,excitement
aphelion,fridge,aphelion,fridge,romantic
aphrodite,vanessa daou,aphrodite,vanessa daou,romantic
apocalypse,akir,apocalypse,akir,reflective
apollo,tin raven,apollo,tin raven,reflective
april,piana,april,piana,joy
arabesque,henry mancini & his orchestra,arabesque,henry mancini his orchestra,anger
aria,5th projekt,aria,th projekt,neutral
ariel,matt howden,ariel,matt howden,neutral
armageddon,judas iscariot,armageddon,judas iscariot,sadness
around us,lifeisround,around us,lifeisround,joy
around you,ingrid michaelson,around you,ingrid michaelson,reflective
arrival,sun kil moon,arrival,sun kil moon,calm
ascension,bryan el,ascension,bryan el,calm
ascent,jeff greinke,ascent,jeff greinke,sadness
asshole,a,asshole,a,neutral
astimelusa,taraxia,astimelusa,taraxia,romantic
astrology,mr. solo,astrology,mr solo,excitement
astrology,mr. solo,astrology,mr solo,excitement
at my heels,daedelus,at my heels,daedelus,calm
at night,peter gabriel,at night,peter gabriel,fear
atlantic,the aluminum group,atlantic,the aluminum group,joy
atlantis,color collapse,atlantis,color collapse,joy
audrey,van morrison,audrey,van morrison,reflective
aura,figure,aura,figure,neutral
aurora,(noou),aurora,noou,joy
ausklang,pascal feos,ausklang,pascal feos,reflective
ausklang,pascal feos,ausklang,pascal feos,sadness
autumn leaves,anne guus teerhuis trio,autumn leaves,anne guus teerhuis trio,neutral
avatar,anti gravity league,avatar,anti gravity league,joy
ave maria,alexander goldscheider,ave maria,alexander goldscheider,sadness
avenue of trees,john foxx & harold budd,avenue of trees,john foxx harold budd,sadness
awakening,ashit desai,awakening,ashit desai,reflective
awake,griffin l.o.g.,awake,griffin log,reflective
axis,lacarno & burns,axis,lacarno burns,neutral
baby can i hold you,discover guys,baby can i hold you,discover guys,romantic
baby doll,sunny leone,baby doll,sunny leone,excitement
"baby, it's cold outside",al hirt; margret ann,baby its cold outside,al hirt margret ann,reflective
bachelorette,badi assad,bachelorette,badi assad,romantic
back where i started,curtis peoples,back where i started,curtis peoples,reflective
backward,volor flex,backward,volor flex,calm
bad boy,9 lazy 9,bad boy,lazy 9,reflective
bad city,feelms,bad city,feelms,joy
bad girls,相川七瀬,bad girls,相川七瀬,excitement
bad seed,amduscia,bad seed,amduscia,sadness
bad trip,lee fields,bad trip,lee fields,reflective
bad,matthew dekay vs proluctors,bad,matthew dekay vs proluctors,sadness
bang,jadakiss,bang,jadakiss,sadness
baraka,mercan dede,baraka,mercan dede,calm
barcelona,freddie mercury & montserat caballé,barcelona,freddie mercury montserat caballé,reflective
barracuda,diffraction,barracuda,diffraction,joy
bath,divine comedy,bath,divine comedy,excitement
battle,beats antique,battle,beats antique,romantic
be happy,perpetual loop,be happy,perpetual loop,sadness
be still my soul,aled jones,be still my soul,aled jones,excitement
be thou my vision,pete huttlinger,be thou my vision,pete huttlinger,excitement
beautiful girl,aitch,beautiful girl,aitch,sadness
beautiful world,freetempo,beautiful world,freetempo,excitement
because we can,lostep,because we can,lostep,neutral
before i go,yanni,before i go,yanni,calm
before,contriva,before,contriva,reflective
behave,econochrist,behave,econochrist,excitement
believe,afta-1,believe,afta1,romantic
bell tower,kitaro,bell tower,kitaro,reflective
bells,the bats,bells,the bats,sadness
berceuse,the funky lowlives,berceuse,the funky lowlives,neutral
bessie smith,bob dylan and the band,bessie smith,bob dylan and the band,sadness
betray,大森俊之,betray,大森俊之,fear
better than this,harris tweed,better than this,harris tweed,reflective
better than,vineyard music,better than,vineyard music,joy
between the lines,farma g,between the lines,farma g,reflective
between us,subtractivelad,between us,subtractivelad,neutral
between,the dead hensons,between,the dead hensons,joy
big boy,the reds,big boy,the reds,anger
big sky,armin van buuren,big sky,armin van buuren,joy
bingo,lacto ovo,bingo,lacto ovo,sadness
bipolar,aktivehate,bipolar,aktivehate,neutral
bird song,buffalo daughter,bird song,buffalo daughter,joy
bitter sweet,soulsberry,bitter sweet,soulsberry,romantic
bitter,basilisk,bitter,basilisk,sadness
black and white,blisargon demogorgon,black and white,blisargon demogorgon,neutral
black cat,psychic tv,black cat,psychic tv,romantic
black celebration,unfactory,black celebration,unfactory,neutral
black forest,goblin,black forest,goblin,neutral
black leather,nightmares on wax,black leather,nightmares on wax,neutral
black magic,kliment,black magic,kliment,reflective
black sun,non,black sun,non,neutral
black water,blu mar ten,black water,blu mar ten,neutral
blackjack,swati,blackjack,swati,sadness
blanche,klaus schulze,blanche,klaus schulze,reflective
blessed youth (tech mix),gold digger,blessed youth tech mix,gold digger,joy
blind love,c.n.blue,blind love,cnblue,romantic
bliss,falik,bliss,falik,excitement
blood money,primal scream,blood money,primal scream,excitement
blossom,komeda,blossom,komeda,joy
blow,e-z rollers,blow,ez rollers,reflective
blue room,tangerine dream,blue room,tangerine dream,sadness
blues,dubska,blues,dubska,reflective
blur,aphex twin,blur,aphex twin,neutral
blur,aphex twin,blur,aphex twin,reflective
blutrausch,cyborg attack,blutrausch,cyborg attack,sadness
bob,cipher,bob,cipher,neutral
bolero,arthur lyman,bolero,arthur lyman,excitement
bonus track,dilated peoples,bonus track,dilated peoples,sadness
boom,wild beasts,boom,wild beasts,joy
borderland,the revs,borderland,the revs,sadness
born,andrea liuzza,born,andrea liuzza,joy
boundaries,my dad is dead,boundaries,my dad is dead,sadness
brain damage,robbie krieger,brain damage,robbie krieger,sadness
brain death,re_agent,brain death,re_agent,neutral
break out,protoculture,break out,protoculture,reflective
breakfast of champions,tokyo 2005,breakfast of champions,tokyo 2005,sadness
breakfast,green handshake,breakfast,green handshake,neutral
breakin' up,g. love,breakin up,g love,reflective
breakthrough,broken ideology,breakthrough,broken ideology,romantic
break,portugal the man,break,portugal the man,joy
breath,mendelayev,breath,mendelayev,excitement
bright side,lissie,bright side,lissie,joy
broken,amy lee,broken,amy lee,reflective
bruises,majandra delfino,bruises,majandra delfino,reflective
buildings,jenny omnichord,buildings,jenny omnichord,reflective
bullet,freshfabrik,bullet,freshfabrik,excitement
bull,same old shiver,bull,same old shiver,reflective
burned,no second troy,burned,no second troy,sadness
burning times,elaine silver,burning times,elaine silver,reflective
burning,ben folds,burning,ben folds,excitement
butterfly song,heritage kids,butterfly song,heritage kids,joy
bye bye love,brødrene olsen,bye bye love,brødrene olsen,sadness
c'est la vie,andrzej zaucha,cest la vie,andrzej zaucha,sadness
cake,pony,cake,pony,neutral
caligula,quakes,caligula,quakes,neutral
calling you,jan johnston,calling you,jan johnston,joy
calm,freddie joachim,calm,freddie joachim,calm
can you hear me,lions,can you hear me,lions,excitement
can't hold back,georg levin,cant hold back,georg levin,excitement
can't stop,conya doss,cant stop,conya doss,romantic
canela,santana,canela,santana,calm
cannonball,2 many dj's,cannonball,many djs,joy
canon,clogs,canon,clogs,calm
captain hook,shel silverstein,captain hook,shel silverstein,reflective
captive,mercan dede,captive,mercan dede,romantic
capture me,terry oldfield,capture me,terry oldfield,calm
caramel,doc gyneco,caramel,doc gyneco,calm
caravan,buddhuza,caravan,buddhuza,reflective
carnaval,しかたあきこ,carnaval,しかたあきこ,anger
carried away,bassnectar,carried away,bassnectar,calm
casablanca,so cow,casablanca,so cow,excitement
catacomb,james dooley,catacomb,james dooley,joy
catastrophe,the telephones,catastrophe,the telephones,excitement
catherine,sylvie joly,catherine,sylvie joly,joy
catwalk,siouxsie and the banshees,catwalk,siouxsie and the banshees,neutral
cat,abanda shake,cat,abanda shake,joy
cavity,vices i admire,cavity,vices i admire,romantic
cellophane,violet vision,cellophane,violet vision,neutral
cemetery,project divinity,cemetery,project divinity,neutral
cenere,renato ventura,cenere,renato ventura,sadness
ceremony,ah*nee*mah,ceremony,ahneemah,calm
change the beat,fab 5 freddy,change the beat,fab 5 freddy,reflective
change the world,juliana down,change the world,juliana down,neutral
checkpoint,25th daybreak,checkpoint,th daybreak,romantic
cherish,aeoliah,cherish,aeoliah,reflective
cherry blossom girl,hope sandoval,cherry blossom girl,hope sandoval,neutral
cherubic hymn,dmitri hvorostovsky,cherubic hymn,dmitri hvorostovsky,excitement
chi vuol la zingarella (who wants the gypsy girl?),akiko shikaka,chi vuol la zingarella who wants the gypsy girl,akiko shikaka,anger
chicago,claro intelecto,chicago,claro intelecto,excitement
childhood's end,john young band,childhoods end,john young band,neutral
childhood,craig armstrong,childhood,craig armstrong,reflective
china doll,rachel loshak,china doll,rachel loshak,sadness
chloroform,blue sky black death,chloroform,blue sky black death,romantic
christina,earl klugh,christina,earl klugh,sadness
cinderella,gioacchino rossini,cinderella,gioacchino rossini,excitement
citizen,procreation,citizen,procreation,romantic
cliché (original version),mishap crew,cliché original version,mishap crew,neutral
click,ciara,click,ciara,excitement
climbing,"lars danielsson, david liebman, jon christensen og bobo sten",climbing,lars danielsson david liebman jon christensen og bobo sten,neutral
cloudburst,critters buggin,cloudburst,critters buggin,joy
clouds,nick elward,clouds,nick elward,excitement
cock,mary & the boy / felizol,cock,mary the boy felizol,excitement
code,berserk in a hayfield,code,berserk in a hayfield,sadness
collapse,sonic mayhem,collapse,sonic mayhem,reflective
collide,elks,collide,elks,joy
colorado,david allen slater,colorado,david allen slater,romantic
coma,god is an astronaut,coma,god is an astronaut,reflective
combat,univers zero,combat,univers zero,fear
come home,hecq,come home,hecq,reflective
come raggio di sol,vagrancy,come raggio di sol,vagrancy,reflective
come to me,illusion of light,come to me,illusion of light,joy
come what may (original film version),nicole kidman & ewan mcgregor,come what may original film version,nicole kidman ewan mcgregor,romantic
comets,super extra bonus party,comets,super extra bonus party,joy
coney island girl,aleksandra kwasniewska and the belgian sweets,coney island girl,aleksandra kwasniewska and the belgian sweets,romantic
confession,b t s,confession,b t s,reflective
contact,claro intelecto,contact,claro intelecto,excitement
contradictions,natalie imbruglia,contradictions,natalie imbruglia,reflective
contradiction,apparat,contradiction,apparat,calm
contrasto,akiko shikata (志方 あきこ),contrasto,akiko shikata 志方 あきこ,anger
control,control alt deus,control,control alt deus,neutral
cornelius,the smiles and frowns,cornelius,the smiles and frowns,joy
cosa,9 lazy 9,cosa,lazy 9,sadness
couleur cafe,voodoo gang,couleur cafe,voodoo gang,reflective
coyote,harold budd,coyote,harold budd,calm
cradle,mattafix,cradle,mattafix,calm
crave,björk,crave,björk,excitement
creation,michelle mays,creation,michelle mays,reflective
critical mass,misled convoy,critical mass,misled convoy,reflective
crown him with many crowns,vineyard music,crown him with many crowns,vineyard music,reflective
cruella de vil,disney,cruella de vil,disney,fear
cruelty,the wolfhounds,cruelty,the wolfhounds,reflective
crunchy,pbnj band,crunchy,pbnj band,joy
crushed,cocteau twins,crushed,cocteau twins,sadness
cry me a river,swans,cry me a river,swans,neutral
crystal,a pink,crystal,a pink,neutral
cumulus,blu mar ten,cumulus,blu mar ten,neutral
curious,holopaw,curious,holopaw,calm
curse,robbie williams,curse,robbie williams,excitement
curtain call,friday mile,curtain call,friday mile,reflective
cycles,maetrik,cycles,maetrik,neutral
c,8otto,c,otto,excitement
damage,david sylvian & robert fripp,damage,david sylvian robert fripp,reflective
damascus,devaldi,damascus,devaldi,excitement
dance with me,griffin l.o.g.,dance with me,griffin log,neutral
dance,derek webb,dance,derek webb,romantic
dangerous game,frank wildhorn,dangerous game,frank wildhorn,neutral
dark moon,大森俊之,dark moon,大森俊之,fear
dark room,virtual><embrace,dark room,virtualembrace,neutral
darkroom,rez,darkroom,rez,neutral
david,labradford,david,labradford,romantic
daybreak,maneki neko,daybreak,maneki neko,reflective
days go by,lightning dust,days go by,lightning dust,sadness
de profundis,arvo pärt,de profundis,arvo pärt,reflective
de verzoening,liesbeth list,de verzoening,liesbeth list,calm
dead but dreaming,fields of the nephilim,dead but dreaming,fields of the nephilim,sadness
dead by dawn,depth charge,dead by dawn,depth charge,neutral
dead skunk,larry groce,dead skunk,larry groce,joy
dead,komeda,dead,komeda,joy
dear jane,destruction junkie,dear jane,destruction junkie,sadness
dear prudence,across the universe,dear prudence,across the universe,joy
death march,aslan faction,death march,aslan faction,neutral
december,alexander piterskiy,december,alexander piterskiy,joy
deep blue,keiko matsui,deep blue,keiko matsui,calm
deep water,jude johnstone,deep water,jude johnstone,joy
default living,floodline,default living,floodline,joy
delicate,angie hart,delicate,angie hart,romantic
delightful spekkio,yasunori mitsuda,delightful spekkio,yasunori mitsuda,excitement
delta,the higher intelligence agency,delta,the higher intelligence agency,sadness
demolition,loco,demolition,loco,sadness
denial,pure,denial,pure,calm
der weg,arbeit,der weg,arbeit,reflective
descent,darkened heart,descent,darkened heart,sadness
desert,matt uelmen,desert,matt uelmen,neutral
desperate man,tibursky,desperate man,tibursky,excitement
destroy,fixmer/mccarthy,destroy,fixmermccarthy,sadness
detachable penis,the flaming lips,detachable penis,the flaming lips,joy
deus ex machina,omar a. rodriguez-lopez,deus ex machina,omar a rodriguezlopez,sadness
devotion,aeoliah,devotion,aeoliah,reflective
diane,gravenhurst,diane,gravenhurst,sadness
die fete,rainald grebe und die kapelle der versöhnung,die fete,rainald grebe und die kapelle der versöhnung,neutral
dilemma,max enforcer & waverider,dilemma,max enforcer waverider,joy
dirty boy,mississippi sludge,dirty boy,mississippi sludge,reflective
dirty little secret,thievery corporation,dirty little secret,thievery corporation,romantic
dirt,sleep,dirt,sleep,neutral
distance,cesium_137,distance,cesium_137,sadness
distant,overgrowing,distant,overgrowing,neutral
dis,fungus funk,dis,fungus funk,sadness
diva,jean michel jarre,diva,jean michel jarre,excitement
dizzy,joe robinson,dizzy,joe robinson,joy
do what you want,david ryan harris,do what you want,david ryan harris,calm
do you realize?,orenda fink,do you realize,orenda fink,sadness
do you wanna rock and roll?,adam beebe-infanticide and friends,do you wanna rock and roll,adam beebeinfanticide and friends,neutral
domination,asseptic room,domination,asseptic room,sadness
don't be shy,george duke,dont be shy,george duke,sadness
don't bother,jack simons,dont bother,jack simons,neutral
don't cha,the game,dont cha,the game,neutral
don't leave me alone,argaman,dont leave me alone,argaman,sadness
don't let the sun go down on your grievances,clem snide,dont let the sun go down on your grievances,clem snide,joy
doris,sumner mckane,doris,sumner mckane,sadness
double talk,fats navarro,double talk,fats navarro,excitement
down by the riverside,the dirty dozen brass band,down by the riverside,the dirty dozen brass band,excitement
"down, down, down",matt howden,down down down,matt howden,neutral
downfall,sophia,downfall,sophia,sadness
downtown,glo-worm,downtown,gloworm,excitement
dr. good,adrian sieber,dr good,adrian sieber,romantic
dragons,aleksi virta,dragons,aleksi virta,joy
drama,k. hand,drama,k hand,reflective
dreaming of you,plastic noise experience,dreaming of you,plastic noise experience,sadness
dreams,303mansin,dreams,mansin,neutral
dream,goldfish,dream,goldfish,calm
drive away,thomas newman,drive away,thomas newman,calm
droga na smolensk,bulat okudzawa,droga na smolensk,bulat okudzawa,sadness
drop it,math head,drop it,math head,neutral
drowning,aletta,drowning,aletta,sadness
drunk and belligerent,adam zivojnovich,drunk and belligerent,adam zivojnovich,sadness
dry flower,井元ともこ,dry flower,井元ともこ,anger
dub,ernesto schnack,dub,ernesto schnack,reflective
duel,volksweerbaarheid,duel,volksweerbaarheid,reflective
duet,inara george,duet,inara george,joy
dust,ainslie henderson,dust,ainslie henderson,sadness
dyson,beresith,dyson,beresith,neutral
eastern promise,clubroot,eastern promise,clubroot,sadness
easy rider,artur andrus,easy rider,artur andrus,reflective
echoes,california guitar trio,echoes,california guitar trio,joy
eclipse ii,life toward twilight,eclipse ii,life toward twilight,reflective
eclipse,call & response,eclipse,call response,sadness
effigy,lost signal,effigy,lost signal,sadness
egal,spaceman spiff,egal,spaceman spiff,reflective
eight,faithless,eight,faithless,excitement
einsamkeit,die zwei,einsamkeit,die zwei,neutral
el congo - original,celia cruz y sonora matancera,el congo original,celia cruz y sonora matancera,sadness
electric death song,vinyl stickons,electric death song,vinyl stickons,anger
electric,davy vain,electric,davy vain,neutral
eleven,ataraxia,eleven,ataraxia,sadness
elysian fields,2002,elysian fields,,calm
embers,no-xygen,embers,noxygen,joy
embrace,c-systems,embrace,csystems,joy
empires,wappenbund,empires,wappenbund,excitement
empire,alex bilo & wit,empire,alex bilo wit,neutral
encore,bloomfield,encore,bloomfield,romantic
end credits,disko-ions,end credits,diskoions,reflective
end of the line,negative/negative,end of the line,negativenegative,neutral
end to end,woods family creeps,end to end,woods family creeps,neutral
ende,archon satani,ende,archon satani,fear
endless summer,anoraak,endless summer,anoraak,sadness
entanglement,lucy tentacles,entanglement,lucy tentacles,reflective
entrance,hall of mirrors,entrance,hall of mirrors,excitement
epic,karsh kale,epic,karsh kale,excitement
epilogue,angizia,epilogue,angizia,neutral
epiphany,ecanasia,epiphany,ecanasia,joy
equinox,origin unknown,equinox,origin unknown,neutral
erlend - original mix,"francis, ted",erlend original mix,francis ted,neutral
erotica,aguaturbia,erotica,aguaturbia,romantic
estelle,contreband,estelle,contreband,reflective
eternal love,shoshannah,eternal love,shoshannah,sadness
eternal sunshine,jay electronica,eternal sunshine,jay electronica,reflective
ethereal awakening,divinity,ethereal awakening,divinity,reflective
ethereal void,divinity,ethereal void,divinity,reflective
etude,adrian sieber,etude,adrian sieber,romantic
euphoria,circuit chase,euphoria,circuit chase,joy
europa,adebisi shank,europa,adebisi shank,excitement
euterpe - エウテルペ,vagrancy,euterpe エウテルペ,vagrancy,anger
eva,gabi newman,eva,gabi newman,neutral
even now,2002,even now,,calm
evening,the field,evening,the field,romantic
evenstar,isabel bayrakdarian,evenstar,isabel bayrakdarian,sadness
everlasting dream,reyna,everlasting dream,reyna,calm
every day,aphrodesia,every day,aphrodesia,joy
every season,nicole mordeman,every season,nicole mordeman,reflective
everybody,bassnectar,everybody,bassnectar,reflective
everything to me,the northern coast,everything to me,the northern coast,joy
everything,alfonzo hunter,everything,alfonzo hunter,romantic
evidence,eternia,evidence,eternia,anger
evolution,bfc,evolution,bfc,reflective
excite me,eating betty,excite me,eating betty,excitement
exec_chronicle_key/.,l-m-p (lost music planet),exec_chronicle_key,lmp lost music planet,anger
exec_ep=nova/.,しかたあきこ,exec_epnova,しかたあきこ,reflective
exec_ep=nova/.,しかたあきこ,exec_epnova,しかたあきこ,reflective
exec_with.method_metafalica/.,shikata akiko & shimotsuki haruka,exec_withmethod_metafalica,shikata akiko shimotsuki haruka,anger
exile,triarii,exile,triarii,reflective
expansion,subatomic dreams,expansion,subatomic dreams,reflective
explode,a2z's,explode,a2zs,joy
exposure,jean renouard,exposure,jean renouard,reflective
expression,the bridgeheads,expression,the bridgeheads,joy
eyes,coldreams,eyes,coldreams,neutral
fabric,henry cowell,fabric,henry cowell,reflective
faces,behan johnson,faces,behan johnson,romantic
factory girl,whiskeytown,factory girl,whiskeytown,sadness
faded,afghan whigs,faded,afghan whigs,joy
fairy tale,ascent and argus,fairy tale,ascent and argus,reflective
fallen,gary numan,fallen,gary numan,fear
falling (original mix),maceo plex,falling original mix,maceo plex,romantic
falling down,jehst,falling down,jehst,fear
fall,cheatahs,fall,cheatahs,reflective
family,cornelius,family,cornelius,joy
fast forward,el ten eleven,fast forward,el ten eleven,joy
fata morgana,nico,fata morgana,nico,joy
father time,colin chin,father time,colin chin,neutral
fear,clepsydra,fear,clepsydra,neutral
feathers,nina june,feathers,nina june,reflective
feel good inc.,de la soul,feel good inc,de la soul,excitement
feel this (featuring enation),bethany joy lenz,feel this featuring enation,bethany joy lenz,excitement
feelms,stidiek,feelms,stidiek,reflective
fences,entertainment for the braindead,fences,entertainment for the braindead,sadness
feral,dirty three,feral,dirty three,sadness
festival,kino no tabi,festival,kino no tabi,joy
fight like gods,king dude & chelsea wolfe,fight like gods,king dude chelsea wolfe,neutral
finale,gustav mahler,finale,gustav mahler,joy
find a way,king kooba,find a way,king kooba,romantic
fire drums,ariel kalma,fire drums,ariel kalma,joy
first light,converge,first light,converge,joy
first movement,georg philipp telemann,first movement,georg philipp telemann,sadness
first sight,ikson,first sight,ikson,joy
fish,buddhuza,fish,buddhuza,joy
fissure,umkra,fissure,umkra,sadness
five,mr cooper,five,mr cooper,sadness
flinch,carla kihlstedt,flinch,carla kihlstedt,neutral
floating,[:sitd:],floating,sitd,sadness
flower in the universe,島みやえい子,flower in the universe,島みやえい子,reflective
flume,nathan youngblood (with steve roach),flume,nathan youngblood with steve roach,sadness
flying carpet,david starfire,flying carpet,david starfire,romantic
follow your heart,wynter gordon,follow your heart,wynter gordon,joy
follow you,samara lubelski,follow you,samara lubelski,sadness
for my people,missy elliott,for my people,missy elliott,excitement
for the fallen ones,triarii,for the fallen ones,triarii,neutral
forbidden,the soundrops,forbidden,the soundrops,sadness
force awakens,hugo vazquez,force awakens,hugo vazquez,sadness
forest crunk,blockhead,forest crunk,blockhead,neutral
forever lost,god is an astronaut,forever lost,god is an astronaut,reflective
forever young,fire and ice,forever young,fire and ice,joy
forever,arclight,forever,arclight,sadness
forget me not,sieben,forget me not,sieben,reflective
forget,curse ov dialect,forget,curse ov dialect,neutral
forgiveness,chronos,forgiveness,chronos,reflective
forgotten waltz,lost music planet,forgotten waltz,lost music planet,anger
fragile,god is an astronaut,fragile,god is an astronaut,reflective
fragment,max richter,fragment,max richter,calm
frailty,rez,frailty,rez,neutral
free your mind,bright,free your mind,bright,joy
freefall,robin guthrie,freefall,robin guthrie,romantic
freestyle,immortal technique,freestyle,immortal technique,reflective
freeze,ron anderson,freeze,ron anderson,neutral
free,black lung brothers,free,black lung brothers,calm
french kisses,bloomfield,french kisses,bloomfield,romantic
fresh,lifeisround,fresh,lifeisround,joy
friday night,knoxville,friday night,knoxville,excitement
friendship train,the cate brothers,friendship train,the cate brothers,excitement
friendship,viper horse,friendship,viper horse,sadness
friend,archive,friend,archive,neutral
frost,lars leonhard,frost,lars leonhard,reflective
fukher,geoff berner with wayne adams and diona davies,fukher,geoff berner with wayne adams and diona davies,reflective
full moon,chinmaya dunster,full moon,chinmaya dunster,reflective
funeral march,frédéric chopin,funeral march,frédéric chopin,romantic
further away,the sight below,further away,the sight below,calm
fuse,hudson mohawke,fuse,hudson mohawke,joy
future,jim rivers,future,jim rivers,calm
gabriel's oboe,mark joseph,gabriels oboe,mark joseph,sadness
game,ムック,game,ムック,joy
ganymede,ethereal pilgrim,ganymede,ethereal pilgrim,reflective
gardenhead/leave me alone,jeff mangum,gardenheadleave me alone,jeff mangum,sadness
garden,asteroid,garden,asteroid,sadness
gathering dusk,project divinity,gathering dusk,project divinity,calm
gayatri mantra,anuradha paudwal,gayatri mantra,anuradha paudwal,reflective
get back,magda piskorczyk,get back,magda piskorczyk,reflective
get it on,the soho cobras,get it on,the soho cobras,neutral
get up,50 htz,get up,htz,anger
getaway,adrienne frantz,getaway,adrienne frantz,romantic
getting down,환희,getting down,환희,romantic
ghetto musick,outkast,ghetto musick,outkast,excitement
ghostbusters,ed rush & optical,ghostbusters,ed rush optical,reflective
ghosts,biocarbon13,ghosts,biocarbon13,sadness
gift,ポルノグラフィティ,gift,ポルノグラフィティ,joy
gimme shelter,london symphony orchestra,gimme shelter,london symphony orchestra,neutral
giselle,stew,giselle,stew,excitement
give,cranes,give,cranes,excitement
gjallarhorn,aurastys,gjallarhorn,aurastys,joy
glimmer,the album leaf,glimmer,the album leaf,reflective
glitter,jacob allen,glitter,jacob allen,neutral
gloomy sunday,artie shaw,gloomy sunday,artie shaw,sadness
gloria,arvo pärt,gloria,arvo pärt,reflective
glorious vagina,angel boris,glorious vagina,angel boris,excitement
