track,artist,track_clean,artist_clean,final_emotion
Arcturus,Crystal Antlers,arcturus,crystal antlers,anger
Morituri Salutant,Heimataerde,morituri salutant,heimataerde,anger
Boom Blast,Freestylers,boom blast,freestylers,anger
Look Away,Sepultura,look away,sepultura,anger
Последнее желание,Агата Кристи,последнее желание,агата кристи,anger
Hör varningen!,Martyrdöd,hör varningen,martyrdöd,anger
Cavern of Mind,Saviours,cavern of mind,saviours,anger
Hadrons,Lento,hadrons,lento,anger
Finale Vollendung,Straftanz,finale vollendung,straftanz,anger
Abel to Cain,D'espairsRay,abel to cain,despairsray,anger
The Wolf,Jedi Mind Tricks,the wolf,jedi mind tricks,anger
Slip it to the Android,Chrome,slip it to the android,chrome,anger
Cobrastyle,Teddy Bears,cobrastyle,teddy bears,anger
Take Me to Your Leader,Hanzel und Gretyl,take me to your leader,hanzel und gretyl,anger
Violet,Fuck...I'm Dead,violet,fuckim dead,anger
All of This for You,Joy Division,all of this for you,joy division,anger
Deshumanization,Tamtrum,deshumanization,tamtrum,anger
Wardrobe,Einstürzende Neubauten,wardrobe,einstürzende neubauten,anger
Magnetic Dwarf Reptile,Chrome,magnetic dwarf reptile,chrome,anger
Your Spears,Crystal Antlers,your spears,crystal antlers,anger
Puppet,Mankind Is Obsolete,puppet,mankind is obsolete,anger
Aftermath,Dioxyde,aftermath,dioxyde,anger
Oskillatah,Skream,oskillatah,skream,anger
Driving School,Pylon,driving school,pylon,anger
Mocking Bird,Eminem,mocking bird,eminem,anger
Hot City Nites,Armand van Helden,hot city nites,armand van helden,anger
Conquer,Eisenfunk,conquer,eisenfunk,anger
In Gefangenschaft,Feindflug,in gefangenschaft,feindflug,anger
Where's Bill?,Venetian Snares,wheres bill,venetian snares,anger
Meet You In the Subway,Chrome,meet you in the subway,chrome,anger
The Vanishing Prairie,Drowning Pool,the vanishing prairie,drowning pool,anger
Several Tongues,Crystal Antlers,several tongues,crystal antlers,anger
Real World,Snowgoons,real world,snowgoons,anger
The sin,Wynardtage,the sin,wynardtage,anger
Pharoah Chromium,Chrome,pharoah chromium,chrome,anger
dakukuu,ムック,dakukuu,ムック,anger
Evil Playground,Front Line Assembly,evil playground,front line assembly,anger
Broadcast,Corrupt Souls,broadcast,corrupt souls,anger
Virgin Soil,Illnath,virgin soil,illnath,anger
Oboro no tsuki,D'espairsRay,oboro no tsuki,despairsray,anger
End of Days (Pt. 2),Ministry,end of days pt 2,ministry,anger
MAZE,D'espairsRay,maze,despairsray,anger
Streets of London,Sex Pistols,streets of london,sex pistols,anger
Top Shelf,Outerspace,top shelf,outerspace,anger
Ananga-Ranga,Merzbow,anangaranga,merzbow,anger
Jenny (feat. Spalding Rockwell),Armand van Helden,jenny feat spalding rockwell,armand van helden,anger
last Human,Uberbyte,last human,uberbyte,anger
Flight on Broken Wings,Eyes Set to Kill,flight on broken wings,eyes set to kill,anger
El Consuelo Final,Amduscia,el consuelo final,amduscia,anger
Killing of Kings,Secret Chiefs 3,killing of kings,secret chiefs 3,anger
Power Company,Eric Burdon,power company,eric burdon,anger
The Hand That Feeds (Dub Mix),Nine Inch Nails,the hand that feeds dub mix,nine inch nails,anger
Eisenfunk,Eisenfunk,eisenfunk,eisenfunk,anger
Railways,Juzhin,railways,juzhin,anger
Pale forest,Wyrd,pale forest,wyrd,anger
Tanzflaechenmann,Accessory,tanzflaechenmann,accessory,anger
Brainwashing (feat. Virgin Killer),Armand van Helden,brainwashing feat virgin killer,armand van helden,anger
Repeat,Acrnym,repeat,acrnym,anger
Six Inch Gold Blade,The Birthday Party,six inch gold blade,the birthday party,anger
Morituri Te Salutant,C-Drone-Defect,morituri te salutant,cdronedefect,anger
Dusted Decks,The Chemical Brothers,dusted decks,the chemical brothers,anger
vengeance,Concord Dawn,vengeance,concord dawn,anger
Mindkill,Rotten Sound,mindkill,rotten sound,anger
Ubermensch,Angerfist,ubermensch,angerfist,anger
Nihilistic Elitist,Jr Ewing,nihilistic elitist,jr ewing,anger
Obeyer's of their own Death,Xasthur,obeyers of their own death,xasthur,anger
Total War,:Wumpscut:,total war,wumpscut,anger
My War,Henry Rollins,my war,henry rollins,anger
Pimps of Gennesaret,Grand Belial's Key,pimps of gennesaret,grand belials key,anger
Tonight the City Burns (ft. Cahir O'Doherty & Johnny Black),And So I Watch You From Afar,tonight the city burns ft cahir odoherty johnny black,and so i watch you from afar,anger
Is this the End,Wynardtage,is this the end,wynardtage,anger
NY3,Robert Fripp,ny3,robert fripp,anger
Rapid Fire,Testament,rapid fire,testament,anger
Superloop,I Will Never Be The Same,superloop,i will never be the same,anger
Cleaning Out My Closet,Eminem,cleaning out my closet,eminem,anger
Dead Wrong,The Notorious B.I.G.,dead wrong,the notorious big,anger
Snake Charmer,Rage Against the Machine,snake charmer,rage against the machine,anger
Obsession,Gesaffelstein,obsession,gesaffelstein,anger
Save Me From Myself,Head,save me from myself,head,anger
Arpeggiator,Fugazi,arpeggiator,fugazi,anger
Pneumonic,Jakob,pneumonic,jakob,anger
Ngised Wen (Main Version),Motograter,ngised wen main version,motograter,anger
"Hate, Rain on Me",Andrew Jackson Jihad,hate rain on me,andrew jackson jihad,anger
Valhalla,30 Seconds to Mars,valhalla,seconds to mars,anger
Vice Campaign,The Black Dahlia Murder,vice campaign,the black dahlia murder,anger
Pointless,Dinosaur Jr.,pointless,dinosaur jr,anger
We Didn't Come Here to Rock,Andrew Jackson Jihad,we didnt come here to rock,andrew jackson jihad,anger
The Archer's Bows Are Broken,Brand New,the archers bows are broken,brand new,anger
Single K.O.,Wire,single ko,wire,anger
Delivering the Groceries at 138 Beats per Minute,Don Caballero,delivering the groceries at 138 beats per minute,don caballero,anger
Mother/Father,Swans,motherfather,swans,anger
Let's Go (Nothing for Me),New Order,lets go nothing for me,new order,anger
Olde(y) Tyme(y),Andrew Jackson Jihad,oldey tymey,andrew jackson jihad,anger
U And Ur Hand,Pink,u and ur hand,pink,anger
The LSB,Make Model,the lsb,make model,anger
A Heavy Hearted Work of Stagge,Anberlin,a heavy hearted work of stagge,anberlin,anger
Song of the Highwire Shrimper,Tim Hecker,song of the highwire shrimper,tim hecker,anger
What I've Learned,Lewis Black,what ive learned,lewis black,anger
Top 3 Selected,Ghetto,top 3 selected,ghetto,anger
Scenesters,Andrew Jackson Jihad,scenesters,andrew jackson jihad,anger
My Daughter's First Date,David Cross,my daughters first date,david cross,anger
Без нас,Дельфин,без нас,дельфин,anger
Netlon Sentinel,Autechre,netlon sentinel,autechre,anger
Adagio,Franz Schubert,adagio,franz schubert,anger
She's Not Me,Lana Del Rey,shes not me,lana del rey,anger
Because Of All The Things You Say,Comeback Kid,because of all the things you say,comeback kid,anger
Heaven's Gate,Lewis Black,heavens gate,lewis black,anger
Hand of God,Fall Out Boy,hand of god,fall out boy,anger
Sailing Through,Neutral Milk Hotel,sailing through,neutral milk hotel,anger
Mississippi River,David Banner,mississippi river,david banner,anger
Moron Bros,Rancid,moron bros,rancid,anger
Calling,Archive,calling,archive,anger
God Hates Us All,Slayer,god hates us all,slayer,anger
Next To Nothing,Bowery Electric,next to nothing,bowery electric,anger
Cold Knees (In April),Don Caballero,cold knees in april,don caballero,anger
Breathe (remix),Blu Cantrell,breathe remix,blu cantrell,anger
Out of Control,Yo La Tengo,out of control,yo la tengo,anger
Seamless  Version (Explicit)),American Head Charge,seamless version explicit,american head charge,anger
"P, P, P, Antless",Don Caballero,p p p antless,don caballero,anger
SUBG,Kelly,subg,kelly,anger
Toucher ce vide béant attise ma fascination,Celeste,toucher ce vide béant attise ma fascination,celeste,anger
El Distorto de Melodica [Instrumental],Everclear,el distorto de melodica instrumental,everclear,anger
A Violent Reaction  Version (Explicit)),American Head Charge,a violent reaction version explicit,american head charge,anger
Down a Stair Backward,Oxbow,down a stair backward,oxbow,anger
Rat In A Cage,The Smashing Pumpkins,rat in a cage,the smashing pumpkins,anger
The Sad Witch,Hefner,the sad witch,hefner,anger
Pressure Torture,Venetian Snares,pressure torture,venetian snares,anger
Drunk and Belligerent,Adam Sapphire,drunk and belligerent,adam sapphire,fear
Enchanted Thoughtfist,Jello Biafra with The Melvins,enchanted thoughtfist,jello biafra with the melvins,anger
Bonus Track 1,dead prez,bonus track 1,dead prez,anger
Vietnow (live),Rage Against the Machine,vietnow live,rage against the machine,anger
Louie Louie,The Clash,louie louie,the clash,anger
Buisness,Eminem,buisness,eminem,anger
They Want Us To Make A Symphon,Le Tigre,they want us to make a symphon,le tigre,anger
Scarlet Sunrise,Soilent Green,scarlet sunrise,soilent green,anger
The Theme,Kimza International,the theme,kimza international,anger
Southern Spirit Suite,Soilent Green,southern spirit suite,soilent green,anger
Pledge Of Allegiance,Jello Biafra,pledge of allegiance,jello biafra,anger
Paper Cut,Soilent Green,paper cut,soilent green,anger
fast forward to the gore,Annihilation Time,fast forward to the gore,annihilation time,anger
Uuu...,Jyoji,uuu,jyoji,anger
Cobalto Azul,Jyoji,cobalto azul,jyoji,anger
Night and Day (Drunk),Kimza International,night and day drunk,kimza international,anger
Fam (Members Only) ft Rza and,GZA/Genius,fam members only ft rza and,gzagenius,anger
Wholly Bun-Bull,Jello Biafra with The Melvins,wholly bunbull,jello biafra with the melvins,anger
Oishii? (Taste Good?) Feat. Kana Sakaguchi,Kimza International,oishii taste good feat kana sakaguchi,kimza international,anger
Overdrive Generation,Kimza International,overdrive generation,kimza international,anger
Jonny Machine Music,PENTAGONIC,jonny machine music,pentagonic,anger
Air Mattress,Florian Filsinger,air mattress,florian filsinger,anger
Talk on Censorship,Jello Biafra,talk on censorship,jello biafra,anger
Lonely One,Kimza International,lonely one,kimza international,anger
99 ovosoK,GeorgeShinshu,ovosok,georgeshinshu,anger
Aha Bullshit,GeorgeShinshu,aha bullshit,georgeshinshu,anger
I'm Infected with AIDS,GG Allin,im infected with aids,gg allin,anger
Mind as A Weapon Feat Hellraza,Killah Priest,mind as a weapon feat hellraza,killah priest,anger
Miso Shabu Documentary,Kimza International,miso shabu documentary,kimza international,anger
Cyalis,Florian Filsinger,cyalis,florian filsinger,anger
8 Hour Fake (Prototune),Kimza International,hour fake prototune,kimza international,anger
Further Maths,PENTAGONIC,further maths,pentagonic,anger
Jonny! Never Go Home,PENTAGONIC,jonny never go home,pentagonic,anger
Marinetti,Neo-Rista,marinetti,neorista,anger
Prison Break,Irving Joseph,prison break,irving joseph,anger
The Dance: The Desert (Part 2),Diamanda Galás,the dance the desert part 2,diamanda galás,anger
Sugar On My Tongue,Vinyl Stickons,sugar on my tongue,vinyl stickons,anger
How Many Licks (dirty,Lil' Kim,how many licks dirty,lil kim,anger
Neo-rista,Neo-Rista,neorista,neorista,anger
The Underflesh,Superjoint Ritual,the underflesh,superjoint ritual,anger
Alien Axe,Neo-Rista,alien axe,neorista,anger
Pick Heads (Intro),Neo-Rista,pick heads intro,neorista,anger
You!,Fleshies,you,fleshies,anger
YOAKE,Neo-Rista,yoake,neorista,anger
Ge Washa,Neo-Rista,ge washa,neorista,anger
Indica Trail,Neo-Rista,indica trail,neorista,anger
Tracy Dick,Neo-Rista,tracy dick,neorista,anger
When The Days Fall,Neo-Rista,when the days fall,neorista,anger
White Beat,Neo-Rista,white beat,neorista,anger
Fear Is the Door (Version),Neo-Rista,fear is the door version,neorista,anger
Melacholy,Neo-Rista,melacholy,neorista,anger
Demolition 2,Neo-Rista,demolition 2,neorista,anger
Ocean Pollution,Wouter Bruys,ocean pollution,wouter bruys,anger
Plecid,Neo-Rista,plecid,neorista,anger
Inbetween,Vinyl Stickons,inbetween,vinyl stickons,anger
Mountains Of You,Vinyl Stickons,mountains of you,vinyl stickons,anger
Demolition 1,Neo-Rista,demolition 1,neorista,anger
Paradise Gone,Neo-Rista,paradise gone,neorista,anger
When I Dream,Neo-Rista,when i dream,neorista,anger
ChinaWhite StarTrek,Neo-Rista,chinawhite startrek,neorista,anger
SHINJUKU,Neo-Rista,shinjuku,neorista,anger
Mr. TACHIBANA,Neo-Rista,mr tachibana,neorista,anger
Cool Like Free Shades,Vinyl Stickons,cool like free shades,vinyl stickons,anger
Janus,Neo-Rista,janus,neorista,anger
Manifesto,Neo-Rista,manifesto,neorista,anger
Closing Jam,Neo-Rista,closing jam,neorista,anger
burnt,Neo-Rista,burnt,neorista,anger
Disgrace,Neo-Rista,disgrace,neorista,anger
Post Armageddon,Neo-Rista,post armageddon,neorista,anger
Six,Neo-Rista,six,neorista,anger
National Blvd,Neo-Rista,national blvd,neorista,anger
Yo Thang Boy,Neo-Rista,yo thang boy,neorista,anger
Gun Down,Neo-Rista,gun down,neorista,anger
Quantum Fireball,Vinyl Stickons,quantum fireball,vinyl stickons,anger
Sarah,Vinyl Stickons,sarah,vinyl stickons,anger
Pick Heads (The Story),Neo-Rista,pick heads the story,neorista,anger
noitacovnI,Neo-Rista,noitacovni,neorista,anger
Burnt Mothership,Neo-Rista,burnt mothership,neorista,anger
Chilli Faht Song,Neo-Rista,chilli faht song,neorista,anger
Dying For Metaphores,Neo-Rista,dying for metaphores,neorista,anger
Sounds Of BS,Neo-Rista,sounds of bs,neorista,anger
O COMPLÔ  *A  MAFIA * = suppa g,O COMPLÔ,o complô a mafia suppa g,o complô,anger
Bloodfeast,Alaska,bloodfeast,alaska,anger
Jose,Vinyl Stickons,jose,vinyl stickons,anger
Busting Barriers,Neo-Rista,busting barriers,neorista,anger
Desert Song,Vinyl Stickons,desert song,vinyl stickons,anger
Sweet Caroline,Alaska,sweet caroline,alaska,anger
Pacifique,Neo-Rista,pacifique,neorista,anger
Juan,Alaska,juan,alaska,anger
Electric Death Song,Alaska,electric death song,alaska,anger
Hey Hey Sounds,Vinyl Stickons,hey hey sounds,vinyl stickons,anger
Chungi,Alaska,chungi,alaska,anger
Three Crosses,Alaska,three crosses,alaska,anger
O COMPLÔ  *A  MAFIA * =  a festa da mafia,O COMPLÔ,o complô a mafia a festa da mafia,o complô,anger
Noose,Alaska,noose,alaska,anger
Sacking Offence,Alaska,sacking offence,alaska,anger
Blacklist,Alaska,blacklist,alaska,anger
My Idea of fun (live),The Stooges,my idea of fun live,the stooges,anger
Dawn Of The Locusts  (Daleh Remix),Jello Biafra with The Melvins,dawn of the locusts daleh remix,jello biafra with the melvins,anger
8 Hour Fake (Shuto Lounge Mix),Kimza International,hour fake shuto lounge mix,kimza international,anger
Don't Forget Me,Mankind's Remedy,dont forget me,mankinds remedy,anger
I Don't Need It,Haymaker,i dont need it,haymaker,anger
Born In Chicago,Paul Butterfield Blues Band,born in chicago,paul butterfield blues band,anger
Yuma Idhiri,Kimza International,yuma idhiri,kimza international,anger
motherOfPearl,Nellie McKay,motherofpearl,nellie mckay,anger
Funhouse,The Stooges,funhouse,the stooges,anger
Freak Out Requiem,Amon Düül II,freak out requiem,amon düül ii,anger
Unison Mews,Vinyl Stickons,unison mews,vinyl stickons,anger
House of Rock,Tatanka Iyotake,house of rock,tatanka iyotake,anger
Electric Death Song (Demo),Vinyl Stickons,electric death song demo,vinyl stickons,anger
Sarah (Demo),Vinyl Stickons,sarah demo,vinyl stickons,anger
Pretty Smiles And Shattered Teeth,Soilent Green,pretty smiles and shattered teeth,soilent green,anger
If You Wanna Do The People A Favour,The Perishers,if you wanna do the people a favour,the perishers,anger
When The President Talks To Go,Bright Eyes,when the president talks to go,bright eyes,anger
Enchanted Thoughtfist  (Enchanted Al Remix),Jello Biafra with The Melvins,enchanted thoughtfist enchanted al remix,jello biafra with the melvins,anger
Caped Crusader  (Subway Gas-Hello Kitty Mix),Jello Biafra with The Melvins,caped crusader subway gashello kitty mix,jello biafra with the melvins,anger
Forgive and Regret,Soilent Green,forgive and regret,soilent green,anger
Liquor And Cigarettes,Soilent Green,liquor and cigarettes,soilent green,anger
Those Dumb Punk Kids  (Will Buy Anything),Jello Biafra with The Melvins,those dumb punk kids will buy anything,jello biafra with the melvins,anger
うみねこのなく頃に,志方あきこ,うみねこのなく頃に,志方あきこ,anger
Let's Leave,Allison Weiss,lets leave,allison weiss,anger
花帰葬,志方あきこ,花帰葬,志方あきこ,anger
EXEC_CHRONICLE_KEY/.,志方あきこ,exec_chronicle_key,志方あきこ,anger
大地の鼓動,志方あきこ,大地の鼓動,志方あきこ,anger
Pantalea,志方あきこ,pantalea,志方あきこ,anger
Fuck The Police,Styles P,fuck the police,styles p,anger
蒼碧の森,志方あきこ,蒼碧の森,志方あきこ,anger
Keep Your Hand on the Plow,Mahalia Jackson,keep your hand on the plow,mahalia jackson,anger
Licao do Vento,新居昭乃,licao do vento,新居昭乃,anger
白夢の繭 ～Ricordando il passato～,志方あきこ,白夢の繭 ricordando il passato,志方あきこ,anger
David Hamilton,カヒミ・カリィ,david hamilton,カヒミカリィ,anger
春告げ ～Raggi Di Primavera～,志方あきこ,春告げ raggi di primavera,志方あきこ,anger
Turbolence,Deadbeat,turbolence,deadbeat,anger
"Good Morning,Herr Horst (Single Edit)",Mando Diao,good morningherr horst single edit,mando diao,anger
迷夢,志方あきこ,迷夢,志方あきこ,anger
Ec Tisia,志方あきこ,ec tisia,志方あきこ,anger
謳う丘 ～Exec_Harvestasya/.～,志方あきこ,謳う丘 exec_harvestasya,志方あきこ,anger
Justice of the Karma Law,Tangerine Dream,justice of the karma law,tangerine dream,anger
誰ガ為ノ世界,志方あきこ,誰ガ為ノ世界,志方あきこ,anger
イゥリプカ,志方あきこ,イゥリプカ,志方あきこ,anger
Lunar Landings (B-Zet Radio Edit),Kalliope,lunar landings bzet radio edit,kalliope,anger
満ち潮の夜,Zabadak,満ち潮の夜,zabadak,anger
le lacrime,志方あきこ,le lacrime,志方あきこ,anger
サクリファイス,志方あきこ,サクリファイス,志方あきこ,anger
Black Shell,新居昭乃,black shell,新居昭乃,anger
Kalliope - カリオペ,志方あきこ,kalliope カリオペ,志方あきこ,anger
幻想林,志方あきこ,幻想林,志方あきこ,anger
宵森人,志方あきこ,宵森人,志方あきこ,anger
"Gone, Biggie, Gone",Sound Advice,gone biggie gone,sound advice,anger
幽明,志方あきこ,幽明,志方あきこ,anger
うみねこのなく頃に - Alternative Instrumental Suites -,志方あきこ,うみねこのなく頃に alternative instrumental suites ,志方あきこ,anger
culla,志方あきこ,culla,志方あきこ,anger
調和 ～風来の調べ～,志方あきこ,調和 風来の調べ,志方あきこ,anger
謳う丘 ～Ar=Ciel Ar=Dor～,志方あきこ,謳う丘 arciel ardor,志方あきこ,anger
Erato - エラト,志方あきこ,erato エラト,志方あきこ,anger
箱庭の外で,志方あきこ,箱庭の外で,志方あきこ,anger
Makeda ~Queen of Sheba~,志方あきこ,makeda queen of sheba,志方あきこ,anger
The sky of twilight,志方あきこ,the sky of twilight,志方あきこ,anger
Hanakisou,志方あきこ,hanakisou,志方あきこ,anger
Change,Green on Red,change,green on red,anger
Just a Party and Bullshit,Sound Advice,just a party and bullshit,sound advice,anger
Carnaval,志方あきこ,carnaval,志方あきこ,anger
アラベスク,志方あきこ,アラベスク,志方あきこ,anger
謳う丘 ～Salavec rhaplanca.～,志方あきこ,謳う丘 salavec rhaplanca,志方あきこ,anger
Vanetihu (LP Version),Nina Simone,vanetihu lp version,nina simone,anger
No Meaning No (feat. Fine Arts Militia),Chuck D,no meaning no feat fine arts militia,chuck d,anger
ライラニア,志方あきこ,ライラニア,志方あきこ,anger
記憶の残滓,志方あきこ,記憶の残滓,志方あきこ,anger
I'm No Heroine (live),Ani DiFranco,im no heroine live,ani difranco,anger
調和 ～泡沫の子守唄～,志方あきこ,調和 泡沫の子守唄,志方あきこ,anger
Dirty Old Dog,The M's,dirty old dog,the ms,anger
Agnus Dei,志方あきこ,agnus dei,志方あきこ,anger
風は遥かな明日を知る,志方あきこ,風は遥かな明日を知る,志方あきこ,anger
ヒュメン,志方あきこ,ヒュメン,志方あきこ,anger
玄冬,志方あきこ,玄冬,志方あきこ,anger
透明ノスタルジア,志方あきこ,透明ノスタルジア,志方あきこ,anger
ラ・シェール,志方あきこ,ラシェール,志方あきこ,anger
光降る場所で～Promesse～,志方あきこ,光降る場所でpromesse,志方あきこ,anger
Chi vuol la zingarella,志方あきこ,chi vuol la zingarella,志方あきこ,anger
