track,artist,_2,lyrics
9,sedativ,Already processed,"Nouă ne pasă de voi
Sedativ e în efect pe scenă
Vreți mai mult? Haideți cu noi în arenă
Eliberăm forțe noi, mai aproape de voi
Voi, ăia care ne iubiți pe noi
Știm cine sunteți și ce vreți
Știm ce căutați și ce pretenții aveți
Știm că v-ați retras discret
Din fața maldărului de grotesc
Nu mai stați în fața blocului seară de seară
Ascultând, disecând, iubind și plângând sau râzând
Îndrăgostiți de sunetul nebun care obișnuia
Să vă transporte așa…
Dintr-o lume minunată, plină de povești
Plină de senzații, numai cu băieți - băieți
Gravitați inconștient, sufocați permanent
Într-un ocean de nimic indecent
Nouă, nouă, nouă, nouă, nouă
Nouă ne pasă de voi
Nouă, nouă, nouă, nouă, nouă
Nouă ne pasă de voi
Nouă, nouă, nouă, nouă, nouă
Nouă ne pasă de voi
Nouă, nouă, nouă, nouă, nouă
Nouă ne pasă de voi
Nouă ne pasă de voi
O mișcare subtilă, versatilă
Imprimă o incoerență credibilă, stabilă
Suntem presați să acceptăm ușor
Că ne place cum ne integrăm în acest decor
Învățăm la TV să ne intoxicăm elegant în mod flagrant
Să-nălțăm aberații la nivel înalt
Dintr-o lume minunată, plină de povești
Plină de senzații, numai cu băieți - băieți
Gravitați inconștient, sufocați permanent
Într-un ocean de nimic indecent
Nouă, nouă, nouă, nouă, nouă
Nouă ne pasă de voi
Nouă, nouă, nouă, nouă, nouă
Nouă ne pasă de voi
Nouă, nouă, nouă, nouă, nouă
Nouă ne pasă de voi
Nouă, nouă, nouă, nouă, nouă
Nouă ne pasă de voi"
9,sunny day real estate,Already processed,"Rain song, so beautiful my dream overcome
Rain song, rain song, so beautiful my dream overcome

Drives me crazy, look on the side, the lighter side
Set in store that split the night, that I bring pain
Put a word to these, this thin line greased
I can't see fingers stain my gold

Sweet clover, sweet clover, sweet clover, sweet

Which side you on? Which side you on?
The silence near the battle cry, hollow victory
Which lie do you own? Which lie do you own?
The lines divide, I walk away, blazing sun sets on my back

Sweet clover, sweet clover, sweet clover, sweet

I can't despise them, inside them
Inside them I am, inside them I am
Inside them I am, inside them I am

Help me God
The silence near the battle cry, hollow victory
Which lie do you own? Which lie do you own?
The lines divide, I walk away, blazing sun sets on my back

Sweet clover, sweet clover, sweet clover, sweet

I can't despise them, inside them
Inside them I am, inside them I am
Inside them I am, I can't despise you
Inside you, him, inside him when we might be down"
[untitled],interpol,Already processed,"Surprise, sometimes, will come around

Surprise, sometimes, will come around

I will surprise you sometime
I'll come around
Oh, I will surprise you sometime
I'll come around, when you're down"
[untitled],neutral milk hotel,Already processed,LYRICS_NOT_FOUND
a dream,lou reed & john cale,Already processed,"It was a very cold clear fall night
I had a terrible dream
Billy name and brigid were playing under my stair case on the second floor about two o'clock in the morning

I woke up because amos and archie had started barking
That made me very angry because I wasn't feeling well and I told them I was very cross the real me that they just better remember what happened to sam the bad cat that was left at home and got s
Nd went pussy heaven

It was a very cold clear fall night
Some snowflakes were falling
Gee, it was so beautiful
And so I went to get my camera to take some pictures
And then I was taking the pictures
But the exposure thing wasn't right
And I was going to call fred or gerry
To find out how to get set it
I was too late
And then I remembered they were still probably at dinner
And anyway
I felt really bad and didn't want to talk to anybody
But the snowflakes were so beautiful and real looking
And I really wanted to hold them
And that's when I heard the voices
From down the hall near the stairs
So I got a flashlight
And I was scared and I went out into the hallway
There's been all kinds of troubles
Lately in the neighborhood
And someone's got to bring home the bacon and anyway
There were brigid and billy playing

And under the stair case
Was a little meadow sort of like the park at 23rd street
Where all the young kids go and play frisbee
Gee, that must be fun
Maybe we should do an article on that in the magazine
But they'll just tell me I'm stupid and it won't sell
But I'll just hold my ground this time, I mean
It's my magazine, isn't it?

So I was thinking that as the snowflakes fell
And I heard those voices having so much fun
Gee, it would be so great to have some fun
So I called billy
But either he didn't hear me or he didn't want to answer
Which was so strange
Because
Even if I don't like reunions I've always loved billy
I'm so glad he's working
I mean it's different than ondine
He keeps touring with those movies
And he doesn't even pay us and the film
I mean the film's just going to disintegrate and then what
I mean he's so normal off of drugs
I just don't get it

And then I saw john cale
He's been looking really great
He's been coming by the office to exercise with me
Ronnie said I have a muscle
But he's been really mean since he went to aa
I mean what does it mean
When you give up drinking and then you're still so mean
He says I'm being lazy but I'm not
I'm just can't find any ideas
I mean I'm just not

Let's face it
Going to get any ideas up at the office

And seeing john made me think of the velvets
And I had been thinking about them
When I was on st. marks place
Going to that new gallery those sweet new kids have opened
But the thought I was old
And then I saw the old dom
The old club where we did our first shows
It was so great
And I don't understand about that velvet's first album
I mean I did the cover
I was the producer
And I always see it repackaged
And I've never gotten a penny from it
How could that be
I should call henry
But it was good seeing john
I did a cover for him
But I did in black and white and he change it to color
It would have been worth more if he'd left it my way
But you can never tell any body anything I've leaned that

I tried calling again to billy and john
They wouldn't recognize me it was like I wasn't there
Why won't they let me in

And then I saw lou
I'm so mad at him
Lou reed got married and didn't invite me
I mean is it because he thought I'd bring too many people
I don't get it
Could have at least called
I mean he's doing so great
Why doesn't he call me?
I saw him at the mtv show
And he was one row away and he didn't even say hello
I don't get it
You know I hate lou
I really do
He won't even hire us for his videos
And I was proud of him

I was so scared today
There was blood leaking thought my shirt
From those old scars from being shot
And the corset I wear to keep my insides in was hurting
And I did three sets of fifteen pushups
And four sets of ten setups
But then my insides hurt
And I saw drops of blood on my shirt and I remember
The doctors saying I was dead
And then later they had to take blood out of my hand
'Couse they ran out or veins
But then
All this thinking was making me an old grouch
And you can't do anything anyway so
If they wouldn't let me play with them in my own dream
I was just going to have to make another
And another
And another
Gee, wouldn't it be funny if I died in this dream
Before I could make another one up

And nobody called

And nobody came"
a million years,david gray,Already processed,"Flat out, I'm running
Through walls of concrete
Let fall from my spirit
A lifetime of hate

That shone in our faces
A million years

They're screeching and yelling, yeah
I don't hear no sound
The blue light of heaven
Rising up from the ground

That shone in our faces
A million years

No fear coming over
Nor doubt taking hold of me
Preparing my face
For the gates of eternity, yeah

They're fastening my ankles
They're strapping my wrists
They're sending me someplace
Where pain don't exist

That shone in our faces
A million years
A million years

No fear coming over
Nor doubt taking hold of me
Preparing my face
For the gates of eternity, yeah

Like frost on the branches now
Like foam on the surf
If it's nothing I came from Lord
Then it's nothing I'm worth

That shone in our faces
A million years
A million years
A million years
A million years"
a million years,teddy geiger,Already processed,"Caught up in whats in.
Caught up in the things that everyone wants.
Caught up in whats out.
Caught up in the things that you could do without.
Well what if I was one of them?
So I will say,

If I live for a million years i
Would be Right there to catch your tears.
Will you get over it this time?
And is this the last time?

On this night we breathe air.
What makes it so different?
What makes you not care?
Well I wish that we could be the same.
And I wish that you could give up this game.
Don't wanna be one of them.
And so I will say,

Well if I live for a million years.
I would be right there to catch your tears.
And will you get over it this time?
If this the last time?

Will you say goodbye before you leave?
Will you say goodnight?
Just one more time please.
And will you call my phone out of regret?
And will you love again?
With other than me.
Other than me.
Will you speak at me?
With other than me.
And will you remember me?
And will you remember me?
And will you remember me?

If I live for a million years
I would be right there to catch your tears.
Will you get over it this time?
And is this the last time?
Is this the last time?
Is this last time my dear?
Is this the last time?
Is this last time my dear?
Is this the last time?
Is this the last time my dear?
Is it the last time?
I think its the last time for us."
a song for you,carpenters,Already processed,"I've been so many places in my life and time
I've sung a lot of songs I've made some bad rhyme
I've acted out my love in stages
With ten thousand people watching
But we're alone now and I'm singing this song for you
I know your image of me is what I hope to be
I've treated you unkindly but darlin' can't you see
There's no one more important to me
Darlin' can't you please see through me
Cause we're alone now and I'm singing this song for you
You taught me precious secrets of the truth withholding nothing
You came out in front and I was hiding
But now I'm so much better and if my words don't come together
Listen to the melody cause my love is in there hiding
I love you in a place where there's no space or time
I love you for in my life you are a friend of mine
And when my life is over remember when we were together
We were alone and I was singing this song for you
You taught me precious secrets of the truth withholding nothing
You came out in front and I was hiding
But now I'm so much better and if my words don't come together
Listen to the melody cause my love is in there hiding
I love you in a place where there's no space or time
I love you for in my life you are a friend of mine
And when my life is over remember when we were together
We were alone and I was singing this song for you
We were alone and I was singing this song for you"
abide with me,the priests,Already processed,"Abide with me, fast falls the eventide
The darkness deepens, Lord with me abide
When other helpers fail and comforts flee
Help of the helpless, oh abide with me
I need Thy presence every passing hour
What but Thy grace can foil the tempter's power?
Who like Thyself my guide and stay can be?
Through cloud and sunshine Lord abide with me"
about you,the jesus and mary chain,Already processed,"I can see
That you and me
Live our lives in the pouring rain
And the raindrops beat out of time to our refrain

And you and me
Will win, you'll see
People die in their living rooms
But they do not need this God almighty gloom

There's something warm about the rain
There's something warm
There's something warm
There's something warm in everything

I know there's something good
There's something good
About you
About you
About you

I know there's something warm
There's something warm
There's something warm
Good, about you"
accelerator,therapy?,Already processed,"You son-of-a-bitch: you'v got no friends,
You'v got no steady job, you'v got no girlfriend
You say I'm cheap. you're just like me
The answer to the question put to you by me

I'm the driver: I'm in control

I've got no motivation, I don't need friends
All my destinations are leased for my own ends
I only answer to my own mind
This speed is what I need to help me kill some time

I'm the driver: I'm in control

Need to drive, I feel good...
Need to drive, I'm alive...
Acceleratex 4
Need to drive, feel so alive...
Need to drive, keep you alive...

I'm the driver: I've lost control"
adam,me'shell ndegéocello,Already processed,LYRICS_NOT_FOUND
addicted,marc almond,Already processed,"I just can't get enough
I just can't get enough

And I wake up
And it's there like a freezing cloud
Passing over the sun
And I open my eyes
I'm not moving
White as a ghost
And stiff as a gun
And I wake up my senses
And I push all the stars from my head
Is this what it's like to be dead

And my heartbeat races onward to the other side of the city
Where you await for me to feed my addiction to you my love
I just can't get enough

I'm a lover, unrequited
There's a desperate look in my eyes
And I come with the night like a panther
With a longing for you in my sight
And I'm burning a candle at the window
Hoping you'll be drawn into the light

And my heartbeat races onward to the other side of the city
Where you await for me to feed my addiction to you my love
I'm addicted to you, I've got to have a little of your love
I just can't get enough

Getting hungry, feeling lovesick
Shivering cold with the longing for love
I'm above, like an eagle, flying low
But I know where to go I've the soul of a dove
Love's a need that consumes me gets into me
And of you I just can't get enough

And my heartbeat, races onward to the other side of the city
Where you await for me to feed my addiction to you my love
I can't get enough"
addiction,infekktion,Already processed,"Addiction

i look at you and all i see
a poisoned soul through black-hole-eyes
abused your body for one shot
your lonely heart needs love and cries

stinking assholes fuck your mind
and day by day they come again
you don't mean a thing to them
but all you need is that shit in your vains

once...
you had one to dry your tears
once...
your parents didn't see your fears
once...
your books could tell you fairy tales
once...
you could still hope for better days

weary, standing on the edge
tears full of pain run down your face
they're burning deep within your heart
but they don't seem to leave a trace"
addiction,kanye west,Already processed,"You make me smile with my heart, oh

Why everything that's 'posed to be bad make me feel so good?
Everything they told me not to is exactly what I would
Man, I tried to stop, man, I tried the best I could
But you make me smile

What's your addiction? Is it money? Is it girls? Is it weed?
I've been afflicted by not one, not two, but all three
She's got the same thing, about me, but more, about us
She's coming over, so I guess, that means, I'm her drugs (you make me smile)

Just let me peek now, I mean, damn, I'm so curious
She's got a lover, so the lies, and the lust, is a rush
Time's of the essence, I need you to be spontaneous
Roll up the doja, Henny and Co-Co-Coca-Cola (you make me smile with my heart, oh)
Then I'm co-coming over 'cause it's ne-never over

Why everything that's 'posed to be bad make me feel so good?
Everything they told me not to is exactly what I would
Man, I tried to stop, man, I tried the best I could
But you make me smile

I see the emotion in your eyes, that you try not to show
We get the closest when you high, or you drunk, or you blown
So I pour the potion, so we could both get high, as we could go
Then I'll get the lotion, and do somethin' to me, when your thighs is exposed (you make me smile)
There's no turning back now, I mean I don't mean to impose
Not now but right now, I need you to undress, and then pose
I'm into that now, catch a vibe, when the doors, get closed
Roll up the doja, Henny and Co-Co-Coca Cola (you make me smile with my heart)
And I keep co-coming over 'cause it's ne-never over

Why everything that's 'posed to be bad make me feel so good?
Everything they told me not to is exactly what I would
Man, I tried to stop, man, I tried the best I could
But you make me smile

Why everything that's 'posed to be bad make me feel so good?
Everything they told me not to is exactly what I would
Man, I tried to stop, man, I tried the best I could
But you make me smile

I just wanted to ask you
Just wanted to um, let me, how would I put this, uh
Let's say, all your friends, remember the one
You said, if you ever, she would be the one
Okay, okay, okay (you make me smile with my heart)
Well, I was thinking, hypothetically
I mean, don't take this seriously
Don't take me, I mean, just, uh, not credibly
I'm feeling incredibly, I mean, let's let it be
I just let it be
I mean you, her and me (you make me smile with my heart)
I mean you, her and me
Maybe, baby, baby, baby, baby
You know I was just kidding
Unless you gon' do it (you make me smile)"
adrenaline,the gathering,Already processed,"What makes you forget is the structure
You're in, all your life
Can't you feel there is the animal inside
Growing roots, still, inside your mind

Suppress your underbeing and let them rule
You don't care, yeah you don't give a damn
As long as you've got your car
Do you actually go so far, as giving in your
Adrenaline away"
adrift,tycho,Already processed,LYRICS_NOT_FOUND
afraid,espers,Already processed,"(Nico Cover)

Cease to know or to tell
Or to see or to be your own
Cease to know or to tell
Or to see or to be your own
Have someone else's will as your own
Have someone else's will as your own

You are beautiful and you are alone
You are beautiful and you are alone

Often the adolescent plague
Reward your grace
Often the adolescent plague
Reward your grace

Confuse your hunger capture the fake
Confuse your hunger capture the fake

Banish the faceless reward your grace
Banish the faceless reward your grace"
afraid,j moss,Already processed,"(chorus)
not gonna be afraid no more
fear dont live here no more
not gonna be afraid no more
pain just walked out that door
that spirit aint here with me
God didnt put that in me
But the spirit of power and love
and oof sound mind
of sound mind

verse 1
waking up every day
thinking what im gonna pay
with the money i made
thinking what im gonna say
when the wife ask me
where the money we saved
use the loot for the gas bill
to pay the rent
more loot from the light bill i spent
dont wanna get the phone
cause it just keeps ringin

alot of things through the mail
got me thinkin i can make it
if i use more debt
get a refi on the crib
but the loan man keep sayin not yet
i rob pete make a deal with paul
prayin that pink slip dont fall
brother aint got time
too much on the grind
im gone let it go
trust God let Him know

Chorus

Seems like every day
somethin worse poppin up
on the news report

should i keep the kids home from school
should i stay away from the airport
using fear as a weapon revoke hate
everybody think the world aint a safe place
dont wanna use the phone cause it might be
shhh somebodies listening

alot of views got me all confused
and i really dont know what to think
(we got)
executives, liberals, activist, sprital, hipocrits
on the brink
one nations deadly call
results in another nations fall
people aint got time
too much on the grind
we gone let it go
trust God let Him know

Chorus

gas up through the roof
and i just bought a hummer and convertibl coupe
tryna keep a little juice in the boose
in my trunk
but the loots in use
PAJAMs working over time
keeping hope alive
keeping Moss in the ministry and public eye
but hypothetically what happens if the phone stops ringin
its my belief (not gonna be afraid no more)
of poverty (not gonna be afraid no more)
not losing sleep (not gonna be afraid no more)
of running out of money (not gonna be afraid no more)
racist (not gonna be afraid no more)
terrorists (not gonna be afraid no more)
brother aint got time
too much on the grind
imma let it go
trust God let Him know

Chorus (x2)"
africa,karl wolf,Already processed,"It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had
Run di track
Ah dem wan fi try and hold mi back
Mi say wolf and culture gwan to di top
Ride di track
The riddim is sweet and di dancehall hot
Crowd of people never wan we fi stop
Run di track
Ah we run di show
Mi say we run di shop
We ah di don numba one and mi say we run dat
We ah the king inna di place
Mi say ride pon di shock
Put your hand inna di air we ah gon burn down di spot
It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had
And as I'm walking through the subway
All I feel is everybody's piercing eyes (piercing eyes)
I'm following the footsteps all I can imagine is that I'm a guy
You never know maybe she's afraid
And everything around her is so damn fake
I feel like that we've met before
Hurry boy she's waiting
It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had
The sun is rising on east side and every former life is waking up
The feeling of seclusion makes you wanna dream away and fall in love
She drags you in, not afraid
Everything feels like fate
What wrong with you, don't let her go
Hurry boy it's waiting
It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
We're gonna take some time to do the things we never had
Hurry boy it's waiting there for you
(Down in A) It's gonna take a lot to drag me away from you (Oh)
There's nothing that a hundred men or more could ever do (No oh.)
I bless the rains down in Africa (Rains down in Africa)
I bless the rains down in Africa (Oh bless the rains)
I bless the rains down in Africa (Down in Africa)
I bless the rains down in Africa (Down in Africa)
We're take some time to do the things we never had"
after all,pink turns blue,Already processed,"I cannot hide my tearful eyes
I cannot stand you start to cry
No chance to change my mind

A thousand voices in my head
Nothing I could understand
How could a boy feel so alone

Now I play my favourite song
It does not change I feel alone
How I tried to reach your lonely heart

Still I stay here at this place
Although I know I lost my race
No chance be with you again

I see you walking down the street
Can't you see how much I bleed
After all it was you and me

I cannot stand we're losing time
Without a love it means a crime
After all it was you and me

You and me
You and me
You and me

Who has left me with those tears
Heavy weight of words to bear
I always knew it was telling lies

Is there anything I could do
I really lost my love to you
No excuses offered anyway

I see you walking down the street
Can't you see how much I bleed
After all it was you and me

I cannot stand we're losing time
Without a love it means a crime
After all it was you and me

You and me
You and me
You and me

I see you walking down the street
Can't you see how much I bleed
After all it was you and me

I cannot stand we're losing time
Without a love it means a crime
After all it was you and me

I see you walking down the street
Can't you see how much I bleed
After all it was you and me

I cannot stand we're losing time
Without a love it means a crime
After all it was you and me

You and me
You and me
You and me
You and me"
after all,sondre lerche,Already processed,"I like you too much
After too little time
I hold back my heart's crazy rambling
The fear that I should overwhelm your smile
Frightens the spiders inside me

Oh this could be magic
After all, after all

You daren't define which has happened to us
Well, I've had a name for it for some time
You try to find what it is that you feel
I long to tell you so truly

Oh this could be trouble
After all, after all

And I say is it a dream like it was back then
Is it a dream like it was back in the stars
Could I be so wrong? Could I be so wrong?

Chew every word to prevent what I know
From slipping right out of my fingers
Out of control, I don't know where to go
Cause you were my map when I found you

Oh this could get lonely
After all, after all

And I say is it a dream like it was back then
Is it a dream like it was back in the stars
Could I be so wrong? Could I be so wrong?

No one can say all the things that they feel
Without the risk of a failure
So keep in my cards close to my heart
All of you I loved from a distance

Oh this should be magic
After all, after all"
after dark,le tigre,Already processed,"I got your name and number, you seem kinda surprised.
Maybe it's 'cause I can be, you know, like cold as ice.
In crowded situations I always want to go.
And if I see you leaving, I beat you to the door.
I'm gonna tell you something, you're better than fake-wild.
I see the future.
In it, they try to kill your style, your manner, and your motives.
I've seen the way it goes.
So memorize my number, that's why I got a phone.
Call me after dark.

I can make the sun rise daily right up from your landscape painting.
I will be in the front row later when your brush becomes a mic.
Maybe we could change this game forever.
Shapes our breath makes in cold weather.
They might say we're both crazy... I'm just glad I found you, baby.
I don't want someone telling me no-oh-oh, ""you're out of time""
I don't mind being debated as long as you're with me tonight.
I'm not gonna give up easy, we were made to cross the line.
I don't want the things that we do... I don't want to let them die."
after dark,tito & tarantula,Already processed,"Watching her strolling in the night, so white
Wondering why it's only after dark

In her eyes, a distant fire light burns bright
Wondering why it's only after dark

I find myself in her room
Feel the fever of my doom
Falling, falling through the floor
I'm knocking on the devil's door, yeah

In the dawn I wake up to find her gone
And the note says ""Only after dark""

Burning, burning in the flame
Now I know her secret name
You can tear her temple down
But she'll be back and rule again, yeah

In my heart, a deep and dark and lonely part
Wants her and waits for after dark
After dark, after dark
After dark"
after the rain,xyz,Already processed,"A tear in your eyes
Is an eclipse of the sun.
But i realize life goes on.

Oh, my love, it's only a cloud to go.
Oh, my love, it's only a cloud.
Tell me you know.
After the rain, after the rain.
Never again, after the rain.

I'm tired and cold
But i'm feeling so strong.
We've been on this road for so long.

Oh my love, it's only a cloud to go.
Oh my love, it's only a cloud.
Tell me you know.
After the rain, after the rain.
It'll never, never be the same
Ohh, after the rain.
After th rain."
afterglow,garbage,Already processed,"Center on the wide horizon
Focus on the galaxy
Sweep away your expectations
And recognize your enemies

But here you're talking to yourself
You're stripping off for someone else
You've got to learn to love yourself
It's all that counts
There's little else

You're always looking for affection
And all its possibilities
Your sense is searching for attention
In urgent need of gravity

I think you think you're someone else
You've got to learn to save yourself
Before you find there's nothing left
But bitterness
And hollowness

And afterglow
And afterglow"
